person,text
(Interviewer:,"Andrea L'Hommedieu) June 19, 2009 Andrea L'Hommedieu: This is an interview for the Shoe Workers Oral History Project at Museum L-A. The date is June 19th, 2009. This is Andrea L'Hommedieu , and I'm here with John Allard, at the museum. John, could you start just by giving me your full name?"
JA:,My name is John Allard.
AL:,"Where, and when were you born?"
JA:,"I was born in Brunswick, Maine."
AL:,And your date of birth?
JA:,"December 31 , 1951 ."
AL:,You were a New Year baby.
JA:,"Yes. No, not New Year's, New Year's Eve"
AL:,"New Year's Eve, yes. And did you grow up in Brunswick?"
JA:,"No, I only lived there as a baby, and my parents moved to Lewiston, and remained in Lewiston for most of my life."
AL:,And what were your parents' names?
JA:,"My father's name was Antonio Allen , and my mother's name was Rose Anna Allen ."
AL:,And did you have any brothers and sisters?
JA:,"Yes, I have three sisters."
AL:,What part of Lewiston did you grow up in?
JA:,"The lower part of Lewiston, Lincoln Street, right in the city area."
AL:,And what did your parents do for work?
JA:,"My mother was a stay-at-home mom, taking care of the kids, and my father was a mechanic."
AL:,How did you come to go into shoe work?
JA:,"I needed a job. I quit school and I was looking for work, and my sister got me a job at Clark Shoe."
AL:,Was she working there?
JA:,"Yes, she was. She was working there, and she got me a job tack pulling, so that's how I started ."
AL:,"What age was that, about sixteen?"
JA:,I lied about my age. I was actually fifteen .
AL:,"And they weren't as strict with following up with age at that time, or did they just need workers? Do you have a sense of how you slipped by?"
JA:,"No, I think it's just plainly, when you do this, they don't really look at it."
AL:,So your first job was a Clark Shoe. And how long did you stay there?
JA:,"I was only there for a couple of months and then I got a job someplace else. Again , I lied about my age later, and I got a job, actually I got a job at different places, it wasn 't a factory. It was Carl's Supermarket, and then when I left there I went to work at Lown Shoe. They wanted you to be seventeen years of age, I lied about my age again. I was actually sixteen ."
AL:,And did you do different work there?
JA:,"Over there I did maintenance, all around helping, doing different things."
AL:,"You went from shoe shop to shoe shop in the early years. Was that because you 'd get better money in different places, or what was your reason for moving?"
JA:,"Well , I went to work at Eastland Leather. The owner owned Eastland Leather, and also Maine Stamping, and I went to work over there, I needed a job. The boss's name was Junior (name), and I told him, I says, I really need a job, and he put me doing laminating. And then when I got used to that job, then he put me on hand cutting with a mallet. When I got to be eighteen years of age, he says, you can go on machine now. I didn't want to go on the machine, because I enjoyed with the mallet, just hitting the die with the mallet. So he says, no, you 're eighteen , you 're going to go on the machine. So I did, and getting paid about minimum wage. Then a friend of mine told me that they were hiring at Falcon Shoe, for shoe cutters. I didn't know how to cut shoes, but I said, well I'll go over there, then I said , I'm willing to learn. So they talked to me and they said okay, we'll teach you, and if you can make it, you can make it, and if you can 't, you can 't. They saw that I had potential, and I was fast, so they kept me. I've been at Falcon shoe, probably four times, I went back, after quitting, went back, got fired once, went back, and then quit again . So I worked there four times. I've just recently been laid off from there again . So, I could say that I've spent most of my life working at Falcon Shoe, as a shoe cutter, and I also became a leather assessor."
AL:,A leather what?
JA:,Assessor. That's taking care of the whole thing.
AL:,Making sure of the quality?
JA:,"Making sure of the quality of the leather, as well as the cuttability, and also the inventory that's taken there, so that you have enough leather to manufacture all the shoes."
AL:,"So, you quit and came back, then what led you to keep coming back to Falcon? Was it because it was one of the few places left, or?"
JA:,"Yes and no. I came back because I was used to cutting children 's shoes, and I enjoyed cutting children's shoes. That was the first reason. But then , yes, because there was very few places left. But later on, that's the reason why I came back. And also, familiar grounds. When you 're used to something, you know, you hate change."
AL:,"In terms of the owner of Falcon Shoe and the management, did that change over the years, or was it fairly constant?"
JA:,"That's changed. The owner, the original owner was Ted Johansson , which I admire very much . He was a very good man , and very fair. I worked right underneath him as the leather assessor, because that was his, he called , his baby, that certain job. So everything came right straight from him to me. Even though I had a foreman that was my boss, Ted had the last word . So if I wasn 't sure of something, I went straight to Ted , and talked to Ted . Ted was very reasonable and just told me, do this, and I did it, and that was it, no matter what management would say."
AL:,"What time period was it, that you saw the shoe shops declining, and something was really changing with the industry?"
JA:,"I would say the real time that was really, really changing, was about 1980. I think it had been changing all along, but it really drastically changed about 1980. That's when I saw shoe shops just dropping out real quickly. That was too bad, because all manufacturing now is gone. If there is manufacturing, there's still Falcon shoe that's open, and there's places where they make shoes that are more expensive, that somebody's willing to pay a lot of money for, and those places are still surviving, but there's also greed in that, where, why can 't we go overseas and have them done, and still sell them for a big amount, you know. So, those are leaving too."
AL:,"Tell me about what it was like growing up in Lewiston . You were in the Lincoln Street area, and this was in the 19-?"
