"person","text"
"(Interviewer:","Andrea L'Hommedieu) December 12, 2005"
"(Translator:","Rachel Desgrosseilliers)"
"(Note:","Where Rachel is translating and answering for her father in English, we are using her father’s initials, “CB”, throughout the transcript. When she is answering or commenting herself, we are using her initials, “RD”. The transcript is a reflection of the conversation in English, as it was translated, for clarity of reading. This might be an interesting project to have someone French-speaking, add the French conversation in a revised version of the transcript.) Andrea L'Hommedieu: This is an interview for the Mill Workers Oral History Project. The date is December 2nd, the year 2005, we're at the home of Cyrille and Emma Baillargeon, and this is Andrea L'Hommedieu. Today, Rachel Desgrosseilliers, the daughter, will be helping to translate from English to French and French to English. Rachel, could you first start by asking your dad where and when he was born? Cyrille Baillargeon: Nineteen eighteen, July 22, 1918."
"AL:","And did he grow up there?"
"CB:","He came at thirteen years."
"AL:","And did he move to Lewiston at that time?"
"CB:","Yes."
"AL:","And what was the reason for moving from Canada, his parents leaving?"
"CB:","He says because his father came down first with his brother and sister, because there was no work in Canada so they came here to work, and when they saw there was work here they sold everything in Canada and moved everybody down here. They lived in Labosse Canada, which is a section that, if you say Labosse people know exactly where that is, so he wanted to say that."
"AL:","And was it the mills that gave the work to his parents, to bring them here?"
"CB:","His father came to work in the woods as a logger, a lumberjack, and he went to work with them as a lumberjack also when he first came. 1"
"AL:","So at age thirteenish."
"RD:","Yes."
"AL:","Already working in the woods."
"RD:","As a lumberjack, yeah."
"AL:","And how long did he do that?"
"CB:","Two, three years."
"AL:","And is that when you entered the mill?"
"CB:","He went to Hill for a couple of months, and then he moved over to Bates and stayed there for thirty eight years, yeah, thirty seven years he stayed at Bates."
"AL:","So he entered the mill at about sixteen years old?"
"CB:","Had to be sixteen, yeah, sixteen."
"AL:","Now I'd like to switch to your mom and get her background, and start with the same sorts of questions."
"RD:","She can answer her own."
"AL:","Okay, could you tell me where and when you were born? Emma Baillargeon: I was born in Lewiston, Maine, and I stayed in Lewiston until the and of five, at five we moved in Auburn, Middlefield's Corner, and at age of sixteen when I was about to graduate from the eighth grade, seeing I was sixteen my father wanted me to go to work so they got a job for me. I worked in one shoe shop doing some staining of the side of the shoes, and from there then we moved over to Lewiston, and from there that's where I got a job at Bates Mill as the (unintelligible word) inspector."
"AL:","So at the time you were growing up, the shoe shops were still very big in Auburn especially. 2"
"EB:","Oh, yes, yes. I don't remember what shop it was, but it was on Court Street. That was a long time ago."
"AL:","Did your parents work in the shoe industry as well?"
"EB:","My mother worked at the Flap, Flap Shoe, after we moved in Lewiston. And my father, he was, I don't know, worked in the (name) Company, whatever that is, I don't know."
"RD:","Feldspar Company?"
"EB:","Is that what that, I don't know. Then I think he landed in a shoe shop, too."
"AL:","And how many brothers and sisters did you have?"
"EB:","I had three sisters and four brothers. I got only one brother living, and two sisters are still living."
"AL:","Have they all stayed in the Lewiston area?"
"EB:","No, one of my brothers moved in Monmouth, he was (unintelligible word) and he moved in Monmouth."
"AL:","And can you ask your dad how many brothers and sisters he had?"
"CB:","They were twelve, eight, there were eight girls and four brothers, and four boys, including him, so there were twelve, twelve children. He's the only boy left, and there's only three sisters."
"AL:","My question is how did you make ends meet, how did the family do that with all those children?"
"CB:","They worked on the, well when they were little they worked on the farms, and then when they got here, well they, that's why they started working young so that they would help with the family, they all started getting checks and stuff, so."
"RD:","(Continues on her own) But it was a tough, they did with a, I remember my grandparents, and when we were little they did with little, you know, they didn't spend a lot on frivolous things, it was, so."
"AL:","Now, in Lewiston, did they have a garden, a vegetable garden? 3"
"CB:","No, no, they didn't have any."
