"person","text"
"(Interviewer:","Andrea L'Hommedieu) June 23, 2005 Andrea L'Hommedieu: This is an interview with Lucille Barrett at her home at 42 Louise Avenue in Lewiston, Maine on June 23rd, 2005, and this is Andrea L'Hommedieu. This is an interview for the Mill Workers Oral History Project. Lucille, could you start just by giving me your full name, including your maiden name? Lucille Barrett: It's Lucille Gastonguay Blais Barrett. My first husband passed away, so I, I worked in the mill for a long time on Blais, Lucille Blais, and then I married and my name became Barrett."
"AL:","Is Blais, B-L-A-I-S?"
"LB:","Yes."
"AL:","And so, when and where were you born?"
"LB:","I was born in Lewiston, on River Street in Lewiston."
"AL:","And your birth date?"
"LB:","4-20-25, I'm eighty years old."
"AL:","And did you grow up in that area of Lewiston?"
"LB:","Yes, yes I did. What they call Little Canada?"
"AL:","Yes."
"LB:","That's the area where I was born, I was raised, and I married there. Lived there until, well fifty years ago I moved here, we built this house here and I moved here."
"AL:","Oh, you built, you and your husband?"
"LB:","No, not my husband, my brother did, my brother built this house. But that was fifty years ago, 1955, so I've been here fifty years. So I started working at Bates in 1952. That was, what, fifty two, fifty three years ago, fifty three years ago, but I stopped about three or four years, when they closed down anyway, I was there until they closed down. Because I retired in 1990, I was sixty-five and I said, this is it, you know, my forty hours a week, and then I stopped. And then a year or so later they asked me to go back. They closed down the area where I was working, I was a stitcher, and they closed down the finishing room and being a stitcher, I guess, I retired and six months later they closed down the area. And then I guess they decided they wanted samples and there was nobody there, so they called me. And I went in to do a few samples, and then later on this lady, they started picking up business, 1 they started needing stitchers, so then this lady was sick so they called me in again. So I replaced this one and then I replaced that one, and then I go home and I work for two weeks, three weeks, and then I was out, and then, out for two or three months, then I was back in again. Anyway, I worked until it was 1995, whatever. It was great, you know, I didn't mind it. You know, if it's something you learn when you get older, it's hard. But if you've done it all your life it comes so easy, it's just a repeat of what you've been doing all your life. So I worked there for about fifty years. I stitched about maybe forty-eight years, I was a stitcher on bedspreads. I loved it, I enjoyed it. And I was better using my hands than I was with my head."
"AL:","Can you tell me what Little Canada was like during the days you grew up there?"
"LB:","Oh, it was very, I would say congested, there were so many people there. There were apartment buildings, and some of these apartments had four apartments, you know, four families, and some of them had eight, and even twelve families would live, and it was so, you know, one house next to the other. Everything was so close by that five or ten feet between the buildings, so it was very dangerous for a fire hazard. They were very afraid of fires in that area because they were so congested, you know, so many people living there. But they were all friendly people, and I'd say ninety-five, ninety nine percent of the people were French. They were all French Canadian, come from Canada. Most of them was working in the mill, they worked at Bates, the Hill, the Androscoggin, you know, all these mills around town. A little, maybe ten or twenty percent worked in the shoe shops, but it was mostly a mill town with people working in the mill. I mean, the money wasn't that good, but it was steady, you know, very few layoffs and people stuck to it. So it was a good life. I enjoyed it, really, and you enjoyed that you knew all the neighbors, and people very, very friendly, we'd to one another. And we knew everyone, and I guess I enjoyed it, I really enjoyed it."
"AL:","Your parents, did they both come from Lewiston or Canada?"
"LB:","No, no, no, Canada, my parents came from Canada, way down Quebec, way down, where they call it Riviere (name), close by in this neighborhood, what back when. Well, my mother would be, what, a hundred and, my gosh, twelve and five, seventeen, I think she'd be a hundred seventeen and my father would be a hundred and twenty one years old. So that was quite a family. We were a large family anyway."
"AL:","How many children were there?"
"LB:","There was nine of us, so I was one of the last. I had a brother younger than I was, but, so, but I had a brother, the oldest brother and the other one worked in the mill, and the others were, the two, I had two sisters that worked in the shoe shop, and then they went in the service, coming back from the service, well, one was an electrician, one was a carpenter. I guess I started working in the, I went to high school and when I come out I was working in the office. But there was something wrong with me, I didn't know what was the matter, I could not, I had a hard time to type or shorthand. The moment she'd say go, I'd start shaking and I couldn't keep my hands on the board, so I mainly passed it but, you know, it's ironic, never knowing what it was then. But it didn't stop me from stitching, though. I mean, no, you know, so I enjoyed using my hands where I could do it, so I did well."
"AL:","Did your father work in the mill, too? 2"
"LB:","Yes, and then he had an accident and then he became an insurance agent. My mother never worked. With nine kids."
"AL:","With nine kids, that was work, wasn't it."
"LB:","I tell you, it was a time, yes it was, especially without, you know, they didn't have too much of facilities or anything gadget to work with as you do today. But great, we had a good family. My father died young, my father was in his sixties when he died. And my mother died, she was eighty-four when she died of an accident. I think she could have lived longer if she hadn't died. So, that's the name of the game."
"AL:","Tell me about being a stitcher in the mill, and how did you get your job there? Because your brothers were there, or?"
"LB:","No, I just, at the time I had worked at the Androscoggin mill in the office for two years, and then I said, the heck with that, I want where the money is, and stitching was a pieceworker, so I went in Bates, I applied at Bates and I got in right off and they gave me as a general hand for a few months, and then I went on stitching. That's where the money was, and at the time we had built this house, so we needed the money. And I stayed there, I thought I would be there for a few years, but God, I stayed until I was seventy, well seventy-five. God, it just, a long life, isn't it? But, you know, it kept me going as I started, after I retired I started going to the Y, I go swimming every morning. I'm in the Y, at quarter to six in the morning I'm in that pool. I love it, it's great."
"AL:","Well, being at the mill, were there social groups that you developed with other women?"
"LB:","The union wives, the union wives, yeah, the union wives. And I think, I think, I lost my first husband in 1971, and naturally I got involved with the union. It was a, you know, way out, I needed something to keep me busy. So at the time I had two girls gone, I had two girls who were married but then I had two more at home, and I decided to start working for the union as a shop steward, and I got to be secretary and then I got to be, what is it, well, I was president for ten years. I enjoyed it, really."
"AL:","What were some of the issues that you had to work with in that time?"
"LB:","Well, you know, most of the issues would be seniority rights, you know, people, I mean sometimes they'd give a job to somebody that was a junior, just came in, and then they give them the best jobs, and naturally the older people that had been in, they wanted their turn. Hey, you know, I got seniority and I should be entitled to that job. So you used to, it was more like a, crazy as it may sound, it was more like a lawyer. You were there as a shop steward defending these people that couldn't defend themselves, you know, you'd say, well, hey, you'd go to the office and say, well, this person was here first and I don't see why you don't give him a chance to get on that job. Or, you know, little odd jobs. And sometimes fights between two people, that they didn't agree. That was hard. You know, you had two members so it's, one had to be right and the other one had to be wrong, so you didn't favor either one of them but when the outcome would come out, you know, it was, one was right anyway so the other one would be (unintelligible word) bitching against you because you didn't help her out. But it was mostly, especially I was in the finishing room and it was mostly women, ninety percent of the people in that room was all women, and sometimes there was a little envy or resentment, a little here or there. But, I mean, it wasn't a union duty, union duty was more to take care of the work, you know, worker, or else somebody would be assigned more than a hundred percent of a job, so then you'd 3 go in and then say, hey, she's got too much work. And fair play, about who was going to get the good work and the bad work, and who was dividing the work. And mostly that's it, or somebody didn't get paid for a holiday and then you had to go in and say, how come she didn't get paid, the reason for. And sometimes, you know, it was right, but you had to be fair play. You just didn't say for the people, say every time the people was right, sometimes the people weren't right. But you had to make them see that they were not, and that was the hardest part. But another thing, you couldn't bear down on the company too much, because if you did you could close down the place. So you had to be fair-minded and, like pollution, people would complain about pollution. Naturally there's an awful lot of lint, in a textile mill there was an awful lot of lint and they complained about the lint. But you can do so much, but you can do too much where it would cost the company too much that their profit would just go down the drain. Another thing I think that did close down these mills was that workmen's comp. People were having carpal tunnel or any of these injuries, and they'd sue or, and the company was, you know, at a loss all the time. I was told once that, the president told me once that from January until April 1st, all the money that they had profit, that they made in these three months, went to workmen's comp because of all the cases they had. And a time for a while, I guess, we had three cases of AIDS, and you were not supposed to say anything but I remember one meeting the president started to say something, he says, yeah, our cost has gone up because we have three cases of AIDS, and then he took back. I guess he wasn't supposed to say anything, but I picked that up right off. And he says it was expensive, you know, the treatment would go sky high and, what else can you do. They had a good insurance program, though, really. Yeah, for a while they had Union Mutual, and they paid pretty well. But, otherwise it was a good time, and good work. I loved it, really, and I really enjoyed, oh, some days were bad, like everything else. You work with a machine, sometimes the machine works and sometimes it don't work. I mean, you're not bucking with people, you're bucking with a machine. And, you know, it went pretty good. All in all I can't complain, I had a good time, it was a good time."
"AL:","So all your years were at the Bates mill?"
"LB:","From 1952 until 1995, yup."
"AL:","Were there sports teams at the mill?"
"LB:","At the time, a little bit I guess. They used to have a baseball club I guess, and then they had -"
"AL:","Hockey?"
"LB:","Hockey, they had hockey, and then they had bowling, they had bowling clubs. I did for a while and then I stopped. Naturally, I was working on the second shift at first when I went in, so it was hard for me to join. But for a while I did some bowling, and then all of a sudden it dropped out, not enough people signed for it so they had to drop it. But as far as, they had hockey, I know they had hockey and they had baseball. Otherwise than that, I don't think there was much of anything else. Not to my knowledge."
"AL:","Did you work with any other union representatives that represented different areas of the mill?"
