"person","text"
"(Interviewer:","Andrea L 'Hommedieu) February 20, 2008 Andrea L'Hommedieu: This is an interview for the Shoe Workers Oral History Project of the Museum L-A. This is Andrea L'Hommedieu, the date is February 20th, 2008, and I am interviewing Lydia Beaulieu. Is, did I pronounce that correctly? Lydia Beaulieu: Yeah."
"AL:","And, Lydia, where and when you were born?"
"LB:","Oh, in Canada."
"AL:","What part?"
"LB:","Quebec City, you know."
"AL:","Right."
"LB:","All in the little village, well."
"AL:","And what's your date of birth?"
"LB:","May 3rd."
"AL:","Nineteen?"
"LB:","Eleven."
"AL:","Eleven, yeah, so you're ninety six?"
"LB:","I'm ninety six, but May, next May, I'm going to be ninety seven. And (unintelligible phrase) twelve, twelve kids. And the kitchen, before you put the stove in, you put the table for fifteen people all the time. We're, we're didn't have the chair, we couldn't use the chair. My father made a big bench, you know, it's near the wall and the table was in front of that, and everyone, they were all, all around the table. And we were twelve kids."
"AL:","Were you in the younger or the older half?"
"LB:","Well, what happened, my father got married the first time, they both get married twice, and my, my father was married. He had his first, they had their child was a girl, but he must have been the baby of his family. So when he gets married, my mother had lost her first husband also. She was married five years, and when she gets remarried, and she, the, she was married five months and she had married a man by, his last name was Racine. So she, she used to live in Quebec, near Morin, in Quebec, you know, and when my father had the first baby, his wife, she, she died, so she never know her mother, but she had some pictures of my mother. She stayed with her grammy, you know, that was when she was born. My grammy had lost her husband, so she stayed with her mother. When she turned sixteen, she make it, go in, in the convent, and make, she got to be a nun, you know. So my mother, when she had the first baby, with her first husband, Racine, well, she, he knew my mother because the man she married, Racine, they were both in the same village. He knew my mother, so she got married with him, so."
"AL:","So and then, after their spouses died, they got together, your parents?"
"LB:","Yeah."
"AL:","And then you were born?"
"LB:","Yeah, so."
"AL:","So how many children did they have together?"
"LB:","We stayed in the same building that grammy was on the, on the other side. She had that, that (unintelligible word). and on our side, they had twelve kids and a mother and a father. Put the stove, and put in a new table, all the family, and then the cupboards were all here, over here and above, with all the furniture around, that's what we had in the place, the table, all around, so we didn't have any, we couldn't put any chairs because we, we had about two or three chairs, so all sides. That gets to, it was a bench, a bench . So we, first thing you know, well, don't take all the room, well, I'm at the end, (unintelligible phrase). and more -."
"AL:","It was crowded?"
"LB:","And you know, there, there was never, no, we never fight with, we get along so good."
"AL:","What did your father do for work?"
"LB:","He was a carpenter. 2"
"AL:","A what?"
"LB:","A carpenter."
"AL:","A carpenter, yeah."
"LB:","Oh yeah, see, and because my, my mother lost, she was five months (unintelligible word) , you get married and then in them days, you had to get kids, you had to feed the priest, the more, the better. So boy, everybody had, you know, everybody had eight, ten, twelve kids, sometimes eighteen, eighteen kids, wow."
"AL:","Now, were you one of the younger children, or one of the older children?"
"LB:","Seven, seventh, because I have, we have two nuns in the family, and their both dead. My father get, when he gets married the first time, they had a little girl, and she became a nun, and then he had twelve kids, so."
"AL:","So you were right in the middle?"
