"","text"
"1","SHOE WORKERS ORAL HISTORY PROJECT"
"2","LEWISTON-AUBURN, MAINE"
"3","Lucy Belanger                                                              SWOH #010"
"4","(Interviewer: Andrea L'Hommedieu)                                      October 10, 2008"
"5","Andrea L'Hommedieu: This is an interview for the Shoe Workers Oral History"
"6","Project at the Museum L-A The date is October 10, 2008, and I'm at the home of Lucy"
"7","Belanger. Did I pronounce that correctly? And this is Andrea L'Hommedieu . Lucy,"
"8","could you start just by giving me your full name, including your maiden name, and"
"9","where and when you were born?"
"10","LB:    That's my maiden name."
"11","AL:    That's your maiden name. And where and when were you born?"
"12","LB:    I was born in 1930."
"13","AL:    In Lewiston?"
"14","LB:    No, I was born in Canada, (unintelligible) ."
"15","AL:    And at what age did your family move here ?"
"16","LB:    Well, they came over to get us. My father was American and so was my mother."
"17","I was born - what did you ask me?"
"18","AL:    I was asking, how old you were when you came to the U.S."
"19","LB: I was eight, 1938, they came over to get us, because my mother and my father"
"20","were born in, my father was born in Massachusetts, and my mother was born in New"
"21","Hampshire. When her mother died she was twenty-five, and her father died at thirty six,"
"22","so her grandmother brought her up. I remember my great grandmother."
"23","AL:    You do?"
"24","LB:    Oh yeah."
"25","AL:    What was she like?"
"26","LB:    Oh, she was a nice person ."
"27","Page 1 of 8"
"28","AL:     Did you get to see her a lot when you were growing up?"
"29","LB: Oh yeah. When she died , I was eight years old when she passed away, she"
"30","passed away in Canada. My mother was brought up in Canada, so was my father. My"
"31","father used to come and work here, but he wouldn 't say he was an American. He"
"32","wanted to go back to Canada. It's not because he liked Canada, it's because my"
"33","mother was there. My mother had ten of us."
"34","AL:     Ten children."
"35","LB:      In eleven years of marriage."
"36","AL:     Wow."
"37","LB:     She had five boys and five girls. I'm the last."
"38","AL:     You're the youngest?"
"39","LB:     Yeah."
"40","AL:     So then you moved to Lewiston?"
"41","LB: No, we moved to New Hampshire, we stayed there a year. My father didn't like it"
"42","there. He liked Maine better. He used to work here in Lewiston."
"43","AL:     Where did he work, in the mills?"
"44","LB:     No, in the woods."
"45","AL:     In the woods."
"46","LB: My father worked in the woods, and then he went to the mill. My father died, he"
"47","wasn 't old, he was young. He was only sixty-two."
"48","AL:     What did he do? He worked in the woods, and in the mill."
"49","LB: After he quit the woods, my father had a heart attack when he was thirty-nine, he"
"50","had angina, so he went in the mill."
"51","AL:    And what did he do in the mill?"
"52","LB:    I don't know. Clean up or something."
"53","Page 2 of 8"
"54","AL:      Well , working in the woods was hard work."
"55","LB:      Oh, yeah."
"56","AL:      Did he ever talk about what he did?"
"57","LB: Oh yeah, we knew what he did, we used to go with him , Gene and I, I was"
"58","young, so we went in the woods with my father. We used to peel the wood, take the"
"59","bark off. We used to help him . But I went to school."
"60","AL:      In Lewiston?"
"61","LB: Yeah, I went to Frye School. I went to Jordan School, and then I quit. I went to"
"62","Pettingill School."
"63","AL:      At what age did you quit school?"
"64","LB:      I quit at sixteen , on my birthday."
"65","AL:      Is that because you were then able to work?"
"66","LB: No, it was to help my father and my mother. They took care of me when I was"
"67","little, so I took care of them. I went to work at Rangley Heel. I went there, and I worked"
"68","there twenty years."
"69","AL:      Where was Rangley Heel located?"
"70","LB:      You know where Hanniford is in Auburn?"
"71","AL:      Yes."
"72","LB: That's where it was, downstairs, near Watson (unintelligible) there. I worked"
"73","there twenty years, at Rangley."
"74","AL:      And what sort of things did you do?"
"75","LB:      I built heels."
"76","AL:      Heels."
"77","LB:      And I was fixing machines. I was a machinist."
"78","AL:      You could fix machines?"
"79","Page 3 of 8"
"80","LB:      Oh yeah . I'd take them apart and put them together again."
"81","AL:      There weren 't a lot of women who did that type of job."
"82","LB: No, that was a man's job. When I went in , there was Hazel Cross, and Ruth and"
"83","me. The rest of them was men , building heels. Then they took them off, it was Frank"
"84","Littlefield, I was working for. And then (name) came in. I liked him. He was a nice man."
"85","He didn't try to touch you or anything . He was nice."
"86","AL:      But some of them weren 't so nice."
"87","LB:      No. If you wanted to keep your job, they tried to grab you ."
"88","AL:      And there was no - ."
"89","LB: He grabbed me, but the old man almost died . I pushed him and he fell. Just like"
"90","I said, I defended myself."
"91","AL:       Absolutely."
"92","LB:       Fire me, I didn't care. But he didn't, because he left. I worked for him for a year,"
"93","and then he left and (name) took over. But (name) was a nice man. I used to babysit"
"94","his son ."
"95","AL:       But at that time, in the shoe shops, did they have, I mean they don't have the"
"96","safety net for employees that they have now, where you can go talk to somebody."
"97","LB:       Yeah , we couldn't then. You 'd get fired ."
"98","AL:      So you had to defend yourself."
"99","LB: Just like, I used to answer back, but I don't know, I don't think I should say that"
"100","on there. This guy comes up to me, I was sixteen years old. And you know, when"
"101","you 're sixteen, they were picking on me. And I said , you're not going to pick on me too"
"102","long. So he said , I don't want the heel built that way, I want it built this way. And I said ,"
"103","who the hell died and left you boss. I had been there about two months. He said, kiss"
"104","my you-know-what. And I said, I wouldn 't know where to start, you're all - . I was"
"105","sixteen years old, and I knew how to answer."
"106","AL:      So when you started at age sixteen , how much did you make? Do you"
"107","remember how the change in your wage went up over the years?"
"108","LB:      It didn't go up much in twenty years. I was making, when I first went in I was"
"109","Page 4 of 8"
"110","making fifty cents an hour. And when I left I was making sixty-five cents. In twenty"
"111","years. Shoe shops didn't pay nothing . They didn't. The only place I got a nice pay was"
"112","at Bates College."
"113","AL:     And what did you do there?"
"114","LB: I worked at food service with the kids. But before that, I'll tell you about the other"
"115","shoe shops. I worked at Rangley Heel for twenty years. From twenty years, I went to"
"116","Lown Shoe, and I was making heels there too. I was working for Jacob Lown. He was"
"117","a nice old man. He liked me and I liked him. And I worked there five years. I was"
"118","making heels, and they paid more, because I was making over two dollars then. And"
