"person","text"
"(Interviewer:","Andrea L'Hommedieu) March 30, 2006 Andrea L'Hommedieu: This is an interview for the Mill Workers Oral History Project. The date is March 30, 2006, and today I’m at the Bates Mill with Gerard Bergeron, and this is Andrea L’Hommedieu. Could you start just by telling me your full name? Gerard Bergeron: Gerard D. Bergeron."
"AL:","And where were you born?"
"GB:","I was born here in Lewiston."
"AL:","And what’s your birth date?"
"GB:","April 1st."
"AL:","Nineteen?"
"GB:","Forty-six, I’ll be eighty."
"AL:","So you were an April Fool’s baby."
"GB:","Right."
"AL:","And your parents, what were their names?"
"GB:","My father’s name was Alexander Bergeron, my mother was, is a Lapointe, she’s from Canada, they both come from Canada."
"AL:","So they were born in Canada?"
"GB:","They were born in Canada. And the family was all born in Lewiston, my mother came to Lewiston with my father and they settled over here."
"AL:","And how many brothers and sisters did you have?"
"GB:","I have one brother, which lives in Oakland, California, and I have one sister here in Lewiston, and the others passed away."
"AL:","So how many children were there?"
"GB:","There was five of us."
"AL:","And why did your parents come to Maine from Canada, did they talk about it? 1"
"GB:","They come from St. Honore."
"AL:","And why, for work?"
"GB:","Well, they had to work, but about just the only thing they had around here was the mills at the time, when they came over. They came to work; they worked in the mills, yeah."
"AL:","What did they do in Canada? Don’t know?"
"GB:","They were both born on a farm, I can tell you that much. They were brought up on a farm."
"AL:","Now, what part of Lewiston did you live?"
"GB:","I lived on Donald Street, that’s up Thorn’s Corner. It’s about two, three miles from town here, and I went to Holy Family School, grammar school. And high school, I never finished high school, I quit while I was working on second shift at Bates, I quit. It was too much to work and go, so I quit. It’s too bad. Today I’m sorry that I didn’t keep going, but that’s the way it went. During the process of my time at Bates, I tried very hard to become a loom fixer. I was interested in becoming, I’d done just about every job in the weave room, worked my way up, and I was interested in becoming a loom fixer. I like mechanical work, so. But there was a, the overseer of the department at the time was a Mr. Malloy, Bill Malloy, and for some reason or other he never really liked me, you know. And I had a very hard time to get on to learn how to fix looms. And I could have done something about it because at the time I could have gone on the G.I. Bill, but I didn’t. I just said to myself, I’m going to find a way to get, to get, if I don’t become a fixer, I’ll find a way to get ahead of them. So that’s around in the 1960s, late ‘50s or early ‘60s, quite a while back. I noticed, I picked up in a magazine a correspondence school. I think it was from Scranton, Pennsylvania, IC-, it was International Correspondence School. So I started reading what they had for courses, and I noticed they had a loom fixer supervisor course on there, and it was a three and a half year course, it was quite a, so I told my wife, I’m going to try, I’m going to take that course. But I never told the company a word, I just took the course, and I was able to go through it in less than two years. And it took a while after I got my diploma, finally they reached me, the school reached me, asking me if they mind if I let Bates, the Bates Manufacturing Company, know that I have taken a course with them. So I says, well, I says, okay with me I guess, because I never said nothing to nobody. So they did call the company. The first thing I knew, I was called in the personnel office about the course, why didn’t you tell us? I says, I don’t know, it’s just immaterial, I didn’t, just never gave it a thought. She says, if you’d have told us we would have paid for your course. But they did offer to pay half, so I appreciated it. And, let’s see, -"
"AL:","So did that help you?"
"GB:","Oh, very much so."
"AL:","In what way?"
"GB:","Well, that’s how I became a supervisor. I worked about twenty-four years as a sma-, as, earlier like a fill in, they used to call them filling boys and bobbin boys and card boys. But they changed the rules, you have to call them a person, you know, so there won’t be no discrimination. Had to be a fill in person, a bobbin person and whatever. Like the room girls, they used to call them room girls but you couldn’t call them room girls any more, they were repair people, so they were repair girls, to repair 2 smashes and break outs, stuff like that. So they finally, so I, they spoke to me and they told me that, they paid for half the course. It took a little while longer after that, I was approached to be, if I would, they would like to have me be a supervisor. They told me, we like the way you work, and the way you produce, you always seem to try to produce more all the time, which that was my way. Weaving was piecework, so, and I weaved for twenty- four years, almost. The other jobs I didn’t stay too long on, I learned how to weave right away. And there was one particular fixer who helped me, weaver that helped me how to weave. His name was Roland Pruneau, and he helped me a lot, gave me a lot of tips, how to weave, and I learned a lot from him. And it didn’t take long, I was able to have my set of looms. And you know how it is in the old days, well, it’s still the same now, you have to, you know, build your seniority, you want to make sure you do good, you don’t want to quit, you know, you want to keep the seniority build up. In 1944 I went into the service, in ‘44, and I was in the service two and a half years, I was in the Air Force. And I enjoyed my service time very much. And I never was called to active duty, I was one of the lucky ones that the atom bomb saved me from going on active duty at the time. You know, they say (unintelligible word) it saved thousands of people and thousands of service people. It’s too bad. Today you talk about those things to the younger generation, they can’t seem to understand it very good. I don’t know why, if they don’t teach it more in the schools. Some of them think we should have never dropped the atom bomb there, and they’re wrong. If Japan would have had the atom bomb, they wouldn’t have hesitated to drop it on us. They’re the ones that put the knife into our backs when they invaded, attacked Pearl Harbor, so we had a pretty good excuse to stop the war when we had a chance. We would have stopped it earlier, but I guess it wasn’t quite ready. But finally we got it ready in time to let ‘em have it, and that’s what stopped the war right there. So I was lucky in that respect. Not only myself, a lot of others. After I got back home from the service, oh, I’ll have to take it back, I have to go back a little bit now. Before I went into the service, that’s how I left, that’s why I left school. Before I left for the service, my mother took sick. And to help out, my sister dropped out of school, she was also, she’s passed away now, she worked at Bates in the office for a while over here. She dropped out to take care of my mother, and I dropped out to go to work to help out. And I never went back."
"AL:","So you were about sixteen then?"
"GB:","I was sixteen when I started to work, but it was a little before my mother got sick and we both stayed home, my sister and I, my older sister, and, to help out the family. And things were doing, going so good for me, making a little money, so it would have been better if I’d have gone back to school, but when you’re young, you know, and making money, I decided that I’d stick with it, so I never went back to school. Then later on, that’s when they sent us at CMVTI to take these management courses. Very helpful, and didn’t cost us nothing. I used to be, at the time they sent me to school I was on the second shift. I was leaving to go to school, on the job, I was leaving to go to school, and then after school I’d come back to finish my shift. It was very nice. I don’t have a thing against Bates Fabrics. It used to be Bates Manufacturing when I first started, then they changed it to Bates Fabrics and (unintelligible word) change. Just like supervisors. Years ago they used to call them second hand. As it went along, then they called, when we started as a supervisor, that’s when they started to call us supervisors, but when they gave us a raise they had to change the title a little bit. So they couldn’t put us as a overseer, but they called us assistant overseer instead of supervisor. 3 But at the end when we, they were starting to let a lot of supervisors go, you know, when the, just before the Chinese people took over the company, they’re the ones that really ruined the place, the Chinamen."
"AL:","The Tang brothers?"
"GB:","Yes, they owned some mills down South also, you know. But they really ruined this place. They were nice to the people, you know, they had their gathering in the summer time for us, you know. But they’re the ones that really, they bought this place for peanuts when they bought it, I think it was $8 million, if I remember right. I can’t really remember, but they bought it for peanuts anyways, at the time. But they were, they were tearing part of Number Five down, which I knew was not right. It finally did caught up with them. They were even tearing down those huge I-beams in the weave room, to hold, to support the heads, jacquard heads. They started (unintelligible phrase) the mill on the canal side, going, tore those beams down. I said, Jesus, you know, that’s (unintelligible phrase). Come to think of it, they were hauling some of that stuff at their mill down South. They stopped them, from what I could see, they had to stop. All of a sudden what they had piled up to go out was left on the floor, on the Main Street upstairs weave room. But they’re the ones that really ruined this place, the beginning of it."
"AL:","That was in the 1980s?"
"GB:","Oh, let’s see, that’s when I got, I really didn’t know I was going to have an interview at the beginning. What I thought was just something like a picture or something they wanted to put in the museum, somebody that’s been here for a while, you know. (Unintelligible phrase)."
"AL:","Can you talk to me about what the difference is between the looms? The jacquard looms and the other looms?"
"GB:","Oh yeah, well, what they had over here in Number One and Two weave was all plain weave. You couldn’t weave nothing too, too fancy, except when they used the dobbies. In Number Five, we had dobbies in Number Five, they moved them up here in Number One and Two. Dobbies, you know, they had a lot of harnesses, you can put up to fourteen harnesses with the dobbies, then you can figure out loom design. Not big designs, small circles or small squares or triangles or, small designs on a dobby, because they’re rigged for plain, and plain weave also. But on a jacquard loom, you can weave real fancy stuff, you know. A big flower design, or you have special tie ups to weave like the Queen Elizabeths and the Martha Washington, the George Washington, the John Adams. Those were, the John Adams, the Queen Elizabeth and some others, I can’t remember, they were weaved, they were very expensive spreads, those bedspreads are very, those were the very expensive spreads, the Queen Elizabeth and the Martha Washington, George Washington, John Adams, all expensive. Like, we still have a George Washington that we’ve had in around 1950. We had given it to my parents, my parents, after my mother passed away, they gave it to us, they gave it back to us. And we’re still using it. They’re very good, they’re very good bedspreads. If you take care of them, they’re very good. See if I can’t go back in between there. A lot of years there."
"AL:","Now, you said your parents worked in the mills?"
"GB:","Yeah, my mother worked in Number Five weave, before I was in the, yeah, she was a battery tender in Number Five weave. 4"
"AL:","And your father?"
"GB:","My father worked at the Libby Mill, he was a (unintelligible word) at the Libby. By the way, I was offered, they don’t know here at Bates, they don’t know this, but I was offered a job at the Libby as a supervisor. And they wanted to see me, my father was telling me, they wanted to see me pretty bad. So I went over, to be sociable, but I had to tell them that I am treated very good across the street, and I don’t have no plans of changing, but, I said, I appreciate your offer and I’ll keep you in mind, I says, you never know what could happen in the future. That’s what I told them."
"AL:","Now, I imagine that your parents spoke French in the home."
"GB:","Oh, they both, oh yeah, we were brought up, I speak French fluently. I have one son, and he lives in Massachusetts, in Gloucester, Massachusetts, and he has a business there with, it has something to do with the fishermen’s association. You know, that’s a fishermen’s town, Gloucester, and I think he has about six employees that work for him over there. And he, and by the way, my son worked for me when I was in One and Two weave, he was a change over man. The people that put, take out the empty warps off the loom and put the full warp, it’s a two man operation. While I was here, he started as an oiler in Number One and Two weave, my son, on, during his summer vacation I’m talking about, I got him up here. And he was up there for a couple years. The second time he came, he was a change over. Paid a little more, so I tried to get him on change over (unintelligible phrase), it was only for, like, you know, vacation time, a couple months. But he was only here twice. He was happy, though, I gave him a check."
"AL:","Now, did your mom and dad still have family in Canada that they went back to visit?"
