"person","text"
"(Interviewer:","Andrea L 'Hommedieu) October 26, 2007 Andrea L'Hommedieu: This is an interview for the Brick Makers Oral History Project. The date is October 26th, 2007, and we are at the Museum L-A in Lewiston, Maine. This is Andrea L'Hommedieu, and I am interviewing Roger Bertrand. Could you start just by giving me your date of birth? Ralph Bertrand: Yes, 10/15/36."
"AL:","And where were you born?"
"RB:","I was born in Auburn , Maine."
"AL:","Is that where you grew up?"
"RB:","Yes, I grew up in New Auburn."
"AL:","And what did your parents do?"
"RB:","My father worked for Country Kitchen, and my mother worked in a shoe shop."
"AL:","How many kids were there in your family?"
"RB:","I was the only one in the family."
"AL:","And so how did you come to work in brick making?"
"RB:","Well, we were young and in high school, and we were looking to earn some money in brick making. We started working in the brickyards. Brick making was a way to make more money in the brickyard , because work as an individual team. We did our own work, and we worked by piecework, and we made, we got paid by the amount of # bricks we made. (We used to make ten thousand bricks a day. And so, and we worked seven days a week, as long as it wasn 't raining . And we could make more money that way, than working by the hour in the yard.' There was a lot of other guys that worked by the hour in the yard, doing all kinds of various things, like wheeling bricks and stuff like that, but we used to make the bricks, and like I said, we were our own boss. We'd make our bricks, our quota for the day, and we were all, we'd fill our pit, and pick up the previous day's bricks, put them in hicks, and then we were all done. We'd start about five in the morning and be done by noon."
"AL:","And would you come back later in the day?"
"RB:","Sometimes, some of the, would, instead of picking up their bricks right now, they'd come back later in the afternoon to pick up their bricks. Other times we'd do it all at once. We had to pick up, the bricks were laid down in the yard with the molds, and then they'd dry in the sun there, and like the next day that we'd come in, we'd make another ten thousand bricks, and then we'd pick up the previous day's bricks. We'd pick them up and put them in a, what we used to call it a hick. It was just a straight pile of bricks, piled one on top of the other. Then the guys from the yard, that worked in the yard by the hour, would come and get them with wheelbarrows. So we'd pick up our share. There was three of us, we'd work as a team, so we'd all had to pick up our share, it was about thirty three hundred bricks, you know, each. It went pretty fast. We used to have a, I remember but I can't remember what we used call it, but we used to, it was kind of wooden thing that we used to lift the bricks up on the side, you know, and then we'd just take five bricks and two with this hand, take five and put on our hand, our arm like this, and take two from this side, and we'd put them in a pile, put these in a pile, put that in a pile. So we got, most of the time that was hardest part about the job was picking up the bricks, we hated to do that for some reason. We didn't mind making them or filling the pit. Filling the pit used to take an hour or two, just about. We'd shovel the clay in a, in a box with water, and it would stay overnight and be all mucky in the morning, you know."
"AL:","And then you'd add the sand after?"
