"person","text"
"(Interviewer:","Andrea L'Hommedieu) June 27, 2007 Andrea L'Hommedieu: This is an interview with Henry Berube at his home on Dockley's Street in Auburn, Maine. The date is June 27, 2007, and this is an oral history for the Brick Makers Oral History Project, through the Museum L-A, and this is Andrea L'Hommedieu. Could you start by giving me your full name? Henry Berube: Yes, my name is Henry Berube, and I live on Dockley's Street in Auburn. And we go back many years now. We go back into 1960, and my brother-in- laws, which was Vern Giguere and Raymond Giguere, they got me started in the brick making. I'd done that approximately three or four years. From there, of course, we had a lot of years, we had a lot of fun together. We went from there, my brother-in-law went brick laying, mason, and that's where I went, brick laying also, mason, and I'd done that for the rest of my life after I'd left the brickyard . And we'd done a lot of work around the area here, like the, the Mason, on Turner Road, and we worked on the high school in Lewiston , which we'd done a lot of fancy work over there, my brother and I, Leo. And, and then we, we started traveling all over the state from here, one end to the other of the state, to go do masonry work, and that's what I done for the rest of my life, and I retired in nineteen, is it '98, '99, and that's where I am today here, talking to Angie, Angie about what I have done. But the years pass by faster than you think. But the brickyard was quite a, quite a th ing. When I worked down at the brickyard, there was a few people I'd like to mention, like the one that was taking off the conveyor, to put the bricks in the rack, and he was real young, and that was Andy Demers, which he is the head of the, he was the head of the state troopers of Maine. And then, another friend was Rene Lavoie, and he is a, he, he was an Auburn 1 policeman after that, for many years, and I met him at LL Bean, we had talked about it a little bit. And I don't know if they'll like me mentioning their names like that, but that's where they got started, like that's where I got started also. And as far as to describe everything, I have got a booklet like, that will describe everything from brick making, the -;:> size of the pit and the clay and how it's done and everything else. And we've got pictures of it, which I'm going to give her a few names on it, so she'll be able to put that in also. And if my brother-in-law, Raymond Giguere, would be here, he'd say we were, we was the best brick makers around, so."
"AL:","And you were at the Morin Brickyard, is that right?"
"HB:","This is at Morin Brickyard, yes, it is."
"AL:","Danville Junction?"
"HB:","Danville Junction, and that's where we worked for three, four years together, and we had a good time. When we had enough, we moved on, to the bricklaying. AL I noticed that in the photographs that you are all wearing bathing suits. Is that how you needed to work?"
"HB:","Yes, that's how we work, because we was in the water. When we get in the water, we'd take, because if that was in a movie camera here, we could have had a little more action, but, but you had to do it on the tape, so. But the pictures will talk for themselves when they do display it, and I wish my brother-in-law was still around."
"AL:","What were some of the challenges in the brick making? What were some of the harder things to do?"
"HB:","Shoveling the pit. That was a, that's quite a challenge. Of course it's a challenge 2 in the front also, where you had to go round and round putting a, taking that mold , and you put it in the tub to wash it, and we had a little bit of soap in there, so kind of made it so the clay wouldn't stick, then we'd put it in a machine, and then we'd, then we'd put the mold, there's a handle, and we'd push the mold in, and then we had the, they called a machet, and we used to jump on it, all of our weight. As you can see right there in the picture. We'd jump right there, and that would press the, that would press the clay into the mold. After that, we'd pull the handle back out, and we had a stick that we, we took and we pulled back, so we'd be smooth with the mold . Then we'd pick it up, turn around and dump it on the conveyor. Then we'd go back in the tub. There was two in the front, going around and around like that, and eventually we'd put a hole through the floor with our foot, where we kept going around and around. We'd put a hole right through an inch board, oak. After, we'd have to replace that in the spring. A lot of times, we had to replace that, it would become just as smooth as, as you could get it. You couldn't sand it as smooth as that. We'd done that all day long, and we used to take out forty to forty six cars a day, sometimes forty eight, except for my brother-in-law, Raymond, we had this special machine, where they had a conveyor, and we took out fifty four, fifty six cars, just him and I, and that's a lot of brick. And that's what my brother-in-law used to say, we are the champions. I still wish he was around. But he could tell a story better than I could. He, he, he really could. That's about all I can say, I can tell Andrea about the guys, a few names there, that's on the pictures, so she'll be able to put it into the -."
"AL:","Yes, they have three."
"HB:","Yes, she can put it right in there, so they'll know who they are. That's all, about all I can say. We done that all summer long, and I used to go in at one hundred and seventy five pounds, and I'd come out weighing one hundred and sixty five, solid , I couldn't complain, I lost a lot of weight when I worked there, so it didn't make me too, too fat. I guess that's all about I can say about it, I don't know-. 3"
