"person","text"
"(Interviewer:","Andrea L'Hommedieu) June 27, 2005 Andrea L'Hommedieu: This is an interview with Irene Berube on June 27th, the year 2005, at her home at 209 Pine Street in Lewiston. This is Andrea L'Hommedieu, and this is an interview for the Mill Workers Oral History project. Mrs. Berube, could you start just by giving me your full name, including your maiden name? Irene Berube: Irene Charest, my first name before I got married, and Irene Berube, my married name."
"AL:","And how do you spell Charest?"
"IB:","C-H-A-R-E-S-T."
"AL:","And where and when were you born?"
"IB:","I was born in Titford Mine, Canada."
"AL:","And when did you come, did you grow up in Canada?"
"IB:","I was four years old when I came to this country."
"AL:","So your parents brought you."
"IB:","Yeah."
"AL:","How many brothers and sisters did you have?"
"IB:","Five, five kids, with me, five children."
"AL:","And did they come, your parents, come here to work in the mills?"
"IB:","Oh yes, my father came here on a Thursday, and Monday morning he went to work at the Bates Mill."
"AL:","So he must have heard in Canada that this was a place to go for work."
"IB:","He had a letter from somebody, he had received a letter from somebody that he could come over, that he would be hired right off. I think probably the person talked to the boss, you know, told him that they knew somebody that would come in."
"AL:","And this was, what, around 1920, do you think?"
"IB:","Oh, I wouldn't, too young to remember. But it's quite a while ago."
"AL:","And did your father and mother have other family that had come here already, or were they the 1 first?"
"IB:","A friend."
"AL:","Friend."
"IB:","And neighbors, from where they came from."
"AL:","And what were your parents' names? (Pause in taping.)"
"AL:","So what part of the mill did your dad work in when he got a job?"
"IB:","The card room, when he first came in. Then he changed job after a while."
"AL:","And what is the card room, what did they do in that part?"
"IB:","I'm not too sure. No, I know it's where, a lot of waste in there, I mean the dust, you know?"
"AL:","And how many years, do you remember how many years he worked in the mill?"
"IB:","Oh, he worked there quite a while, yeah, quite a while, 'til he was old enough to get stuck getting sick, you know."
"AL:","So were you and he both working at the mill at the same time?"
"IB:","Oh no, no, no, no. No, no, no, no. Because I was young, I was only four when we got here and he started to work there right off."
"AL:","So about 1930 you started to work at the mill."
"IB:","I started to work at the Androscoggin Mill, and I worked there for, oh, I'd say about nine years. And then while work started to be slow, so they were letting some people go, and I went to work at the Bates Mill. But before that, I was thrown out of the mill because I wasn't of age."
"AL:","Oh, yeah, you said you were fourteen. And what happened, how did you get caught?"
"IB:","We were supposed to be sixteen years old to work, and we didn't have no paper to file or nothing. All they did, ask us our name and address, and you said a little lie about sixteen, you know, yeah, and they give you a job right off. They needed people to work. And we were nine girls that was under age. And they call her, I think it's something like principal of school, it's a name like that in French, and she'd go around and she'd see kids on the street that are not in school and they're young, she goes after them to, you know, see why they're not in school. So she came in the mill and she went around, and two little girl ran in the ladies room, and you could see on the floor underneath, but you couldn't see no leg, no feet, no nothing. So, they had their two feet on the bowls and they were leaning against the wall, so she got mad and she went to see the boss and she says, I'm not going to run after your kids, she says, they're in the ladies room, she says. You've got quite a few over here, she says, I can see by looking at them that they're too young. So, she says, I want their birth certificate. So we had a day or two to bring our birth certificate in, and I didn't bring any because I didn't have it. I was too young, so I told the boss, I says, I'll be going home, I says, they're throwing me out, I'm going. So I went home. 2 And when I was a little bit older, and you know, I had only about four or five months to go to make me sixteen years, but I went back to the Bates Mill."
"AL:","And what, did you have the same kind of job?"
"IB:","No, down there I was working on the rayon, like a silk, you know, rayon, and at the Bates Mill I was working on cotton. I was working for the fringe, you know, the fringe they put around the blanket?"
"AL:","And you were in the winding room?"
"IB:","Yeah."
"AL:","What is the winding room, what goes on in that room? Is that where the -?"
"IB:","Well, it's either the comb comes in, or the spool, and what we do is we wind that to twist it more, so it would be better twisted, you know? Yeah, that's what we were doing."
"AL:","Did you have to do so many a day, or how did they check your productivity?"
"IB:","They checked the truck we made, and how many package of comb, how many combs we take out in one night. It was marked down. They checked that every night."
