"person","text"
"(Interviewer:","Andrea L 'Hommedieu) October 18, 2007 Andrea L'Hommedieu: This is an interview for the Brick Makers Oral History Project. The date is October 18th, 2007, and I'm at the Museum L-A, with Norm Berube, and this is Andrea L'Hommedieu. Could you start just by giving me your date of birth? Norm Berube: November 7, 1930."
"AL:","And where and when were you born?"
"NB:","I was born in Lewiston."
"AL:","And did you grow up there?"
"NB:","Yes."
"AL:","And what was it like growing up in Lewiston at that time?"
"NB:","Well, I think looking back, it was an exciting time. I think I have a lot of good memories about the things that happened during those years, you know. There was a lot of good th ings that happened, that today I don't th ink we'd take appreciation of it, you know. We don't appreciate it as much . The hard work, being able to do things with very little, we didn't have too many toys, and we'd do, we picked up whatever we could to play with, and we seemed to be very content. And the families were big in those days, obviously, you know. Education was not a primary thing in those days, especially people usually work in the shoe shop and the mill, that kind of thing. Simple life, it was very simple, and family was oriented, very much so, because in the community, everybody knew one another, so to speak, family wise, the relatives, cousins, nephews, and that kind of thing, we used to visit one another all the time. People didn't go out of the state too much, or even out of the city too much. They usually established themselves here. And local mills and textile mills was very fluent at that time, there was quite a, quite a few textile mills, and there were a lot of shoe shops, they were very well known throughout the, throughout the states. And so people used to stick together, we used to visit one another, relative wise, that was enjoyable, you know. The simple things of life, I guess, I guess the simplest thing in life is free, really when you get down to it. You know, you can go out and in the park, and you can enjoy the band, they were playing there every week, and that kind of things. And if you could go to the beach, well, you have to take the, at the time it was the railroad, railroad cars, it was, it was, it was available. Later on, obviously, the bus you could go to Martin's Point, Sabattus, and things like that. During the weekend, there wasn't, not too many people even then, in those days. When I was born, when it was early 1935, there was cars, but not everybody could use, afford to, to ride in the car. So I had a very good upbringing, I felt, you know, looking back and that kind of thing, it wasn't, I don't think we took things for granted too much."
"AL:","How many brothers and sisters did you have?"
"NB:","Oh, I had two brothers, Larry and Bertrand. Larry, matter of a fact, just passed away about a month ago. He was living in Connecticut. Bertrand is not too well, he's in a nursing home. And I had a sister, (name) , and she's by herself, and she's in, she's doing well. And that's the family right now."
"AL:","Did the church play a role -?"
"NB:","Oh yes, definitely, it was, it was the best Franco American, we're Catholics, obviously, and we had to make sure that we did the right things. Of course, we went to Catholic ch-, schools. You couldn't help but doing, well it was the Catholic, only it's big, you know, and it was very important to follow the obligation days and everything else that the Catholic teaches you. Of course, I went to Saint Peter and Saint Paul. I was born on Bates Street, and right next to, right across the street from Saint Paul and Saint Peter School, and across from the street from there, there was a public school, Coburn, Coburn Public School, then all you had to do was cross the street to go to school, and there was a convent over there, the Saint Franciscans, the nuns used to teach us, up until the fourth grade, after that it was the brothers of the Sacred Heart, and you went up to the eighth grade. After that, I went to Saint Dominic High School on Bartlett Street, started out, so you could continue your education in a Catholic environment in those days. It was an exciting time because the school was so close, the church was close by. And I remember an incident, I don't know if I should even mention that. Me and my brothers, during the spring, people used to play marbles, and in the schoolyard, a lot of times they play, during recess they played marbles, and a lot of marbles used to go, for some reason, over the wall, and they went into the, the nuns' building over there. And my brother and I one day, we said, why don't we climb the wall, there's always some marbles up there, you know, they were collecting. We climbed the wall and we climbed down, and with a few marbles we pick up, all of the sudden we got caught by one of the nuns that happened to be passing by. And she said, what's your names? So we give her our names, she had a little notebook, and she put our names down. I thought that would be the end of it. So the next day in class, the sister says, start telling me, the people about other children not having as much as other children, and this and that, and she said, it would be a good gesture, charitable wise, if those that had marbles, that would be willing to make some contributions for those that didn't have any, you know. And some of the kids went up in the hallway, where they hung up their clothes, their coats, and they wanted to pick up some marbles and give it to the sister. The sister put them all together, and she came over to my desk, and she presented to me the marbles, and I was so embarrassed, because obviously the sister must have told the other sister about this incident, you know, that we were looking, that we didn't have any marbles. I suspect that some of the students were not too happy about where their marbles went. So that was an incident I, I remember very well from those days. And we moved from Bates Street to Blake Street, just one street upper from that, two twenty six Blake Street, I recall that very vividly. They had five big apartment houses there, between Maple Street and Birch Street. They used to call that the LaPlante Building. Mr. LaPlante, from years back, had built big houses, apartments not houses, but apartments. There were two apartments going down below the street level, down like this here, and then they were four stories high, there were two apartments on each story, so they had ten apartments in one of those buildings, and they were all alike. I think today if you go there, I think there's still three buildings, like those buildings are still there, these apartment houses, three of them out of the five that there was. It was quite an oddity in the sense that you saw five buildings all built the same way up there, and it was on two twenty six Blake Street. It was always exciting, an exciting time."
"AL:","Yeah, so now, at what age did you start working in the mill and brick making?"
"NB:","Yes."
"AL:","At the same time, or one before the other?"
