"person","text"
"(Interviewer:","Andrea L 'Hommedieu) January 22, 2010 Andrea L'Hommedieu: This is an interview for the Shoe Industry Oral History Project at Museum L-A. The date is April 30th, 2010, this is Andrea L'Hommedieu, and I'm in Leeds, Maine with Lorraine Brown . Lorraine, could you start just by giving me your name. Lorraine Brown : Well, my name is Lorraine Brown."
"AL:","And your name before you were married?"
"LB:","Bazinet, Lorraine Bazinet."
"AL:","And where and when were you born?"
"LB:","Auburn ."
"AL:","And the date?"
"LB:","South Road, in Auburn ."
"AL:","And when were you born?"
"LB:","July 27, '33."
"AL:","And so you grew up in Auburn , or Lewiston?"
"LB:","Yes, I did, I did."
"AL:","Tell me about growing up during those years."
"LB:","Well, it was really nice. People would get together and they'd sing on porches, and have a good time, you know. And there was a lot of musicians, and every Saturday they know that it's music."
"AL:","Now where, just at somebody's house?"
"LB:","At my grandmother's house, and then people would walk up in the streets, you know, on the sidewalk, and looking at the beauty and talking to friends. And we never, never locked our doors, never. It was a great time."
"AL:","Now, what did your parents do for work?"
"LB:","My dad , at the time, he had a business. But he passed away very young, he was fifty-two, and so."
"AL:","So your mom raised you?"
"LB:","Yeah, I had a sister, which she was two years old and she never really knew her dad at all, but after that my mom, well, she was younger and so she got married and she had three children. And so that made four, because I was the only one working ."
"AL:","But talk to me about your grandparents, your grandparents lived nearby?"
"LB:","We were always there. Not my grandfather, my grandfather passed away just before the war, and we'd always be at our grandmother and our aunts and everything, you know, but it's always memere's house, you know, really . I really miss that."
"AL:","And so what sorts of things did you do in Auburn, growing up? I know you talked about the music in the evenings, with your friends what would you do?"
"LB:","Well, we had bicycles and stuff like that. But then, when I was nine years old and we moved to Lewiston, so I had to make new friends. But all those friends from the kids that we were, even now, Pauline always, always sends me a birthday card, all these years, you know, and different things like that. We stayed close."
"AL:","And you lived in a neighborhood in Lewiston, in what part, do you remember?"
"LB:","Well, yes, yes, on Huckin Street, in back of the MacDonald's, that street, you come up that street and that's where Huckin Street is on there. But they're not there now, they're at the other place."
"AL:","So talk about how old you were when you first started working in the shoe industry."
"LB:","Fifteen. And that was at Owen Lauden (sounds like) , and I'm not pronouncing it very good , because it's been a long time. But the three of us, Lorraine and Marie and myself, we all got into the shop, and the shop was on Park Street, and where the people live now, the elderly people on Park Street, the Oak place, and I worked there three years, till was eighteen. But this man that owned that shop, he knew that we wanted new roller skates and he came to us, he said, you says, you three girls, you 're so nice, he says, I'll buy the three pairs and you can give me twenty-five cents a week, and that's what he did. I'll never forget that. That's a nice person , you know, caring. And we were crazy, we were so happy."
"AL:","Roller skating was something you all did (unintelligible)?"
"LB:","That's where I met my husband."
"AL:","Oh, where? Now which roller skating place?"
"LB:","Beacon, the Beacon . And you don't know where that is."
"AL:","No, tell me."
"LB:","Okay, on Main Street, you know where Peck's was? Across the street, I think it's on, not the Park Street but the other one, there's a bank, a yellow building, a bank. Well the Beacon was on the third floor of where the bank is. So not, oh , well I'll say at least fifteen years, when that was all being done, and I did mention it to my husband but I was in the bank and I says, are you the owner of here, and he says, yes, I am. I says, you know what? He says, what. I says, well, we roller skated up here. Up here, he says? I said, yes, that was the Beacon, and I says, I wonder if it looks the same. I had all my kids, and now it's far away from that. And the mirror wasn 't there and all that, so when I got home I told my husband, I says, hey, guess where I went today, and he says, what? I says, the Beacon. So, nobody really knows where that is."
"AL:","Right, well I'm glad you 're telling us, though , because that's interesting to know. And so you would go roller skating. Was it just roller skating. Was it just roller skating, or other things too?"
"LB:","Mostly just roller skating. I loved that. And you know, the girls- I probably shouldn't say this- but when I met my husband, I never really thought he would be, but anyway, and we were going roller skating in another place, and I said to Lorraine and Marie, I says, you know that guy? They said, no, never met him. And I says, you know what, I says, I'd marry him today if he'd want me. I didn't even know his name, I didn't know him at all, period. But anyway-"
"AL:","And it worked out."
"LB:","Yes, yes, we went roller skating, and he was a very good skater. And so anyways, he went to Korea, and us kids weren't like the kids today, you know, ladies are ladies, you know. And so anyways, when he came back home, he didn't like writing anyway, and he went to Korea , and we were never, you know, he'd bring me home sometimes from roller skating, and I sent him a card while he was in Korea and I just said , your friend always, Lorraine Bazinet. That's it, on the card . So when he got home, after he got home , now I'm in my nineteen , eighteen , I'm eighteen , and he says, he was across the street, I didn't know he was home. So, but I have to be cute, so anyways, he says, I'll give you a ride, instead of taking the bus. And the bus was only a nickel, you pay a nickel to go downtown, and they give you a spare fare, a paper to go to Auburn, stuff like that. But anyways, he says, I'll give you a ride , I'll give you a ride . So when I went with him and we were in the car talking, you know, and he says, Lorraine, he says, I was so afraid you 'd be married. And I told my friends , too, I says, I will never marry unless he does, and if he does, I'll back off. And so that was in May, we got married in July, July 3rd."
"AL:","Oh wow."
