"person","text"
"(Interviewer:","Andrea L'Hommedieu) October 3, 2008 Andrea L'Hommedieu: This is an interview for the Brickyard Workers Oral History Project at Museum L-A. The date is October 3rd, 2008, I'm Andrea L'Hommedieu and today I'm interviewing Dennis Chamberlain. And Dennis, could you tell me your date and place of birth? Dennis Chamberlain: Born here in Lewiston, 11/28/55."
"AL:","And did you grow up here as well?"
"DC:","Yeah, yeah, been here all my life."
"AL:","And your parents, what were their names?"
"DC:","Lorette, my mom, and my father was David Chamberlain."
"AL:","And what did he do for work?"
"DC:","In the summertime he used to work at a brickyard, and in the wintertime he used to work in the woods with his brothers, so that's what he's done, he did that a lot of years. I remember, well I was born in '55, I remember the sixties, him doing it with my uncles and stuff like that."
"AL:","And in the brickyards, which brickyards did he work?"
"DC:","He worked at Morin, he worked a little bit at Dennis Brick, and he owned his own for a while, for a period."
"AL:","Oh, he did?"
"DC:","Yeah, with another person."
"AL:","And where was that?"
"DC:","In Sidney, right outside Augusta, Maine. That's when I remember, like I said, that was in the sixties, I remember some of that. I think he worked a little bit at Morin later on, just part time."
"AL:","But it's the Sidney experience you remember. Can you talk about that, what do you remember?"
"DC:","All right, well it was like, geez, they used to have a press or whatever to make the bricks, and there used to be a guy in the back in his swimming trunks or whatever, would shovel it into the press, and there'd be a guy that would like jump on - looks like a giant step or whatever, it looks like a step - he would jump on one foot, the clay would come down, press into the molds, and these guys would pick up the molds, put them on a little like a wheelbarrow, but they had no sides, just a wheelbarrow, and they'd go down the yard, flip the molds, put them in the yard, and come back and load, and there'd be guys doing that all the way through the day."
"AL:","And what part did your dad do?"
"DC:","Well, he was the supervisor, because he was the owner, so he made sure everything was running right, everything was up and up, make sure there was no problem with the guys and stuff like that, and just maintenance and refereeing and whatever he had to do."
"AL:","Right. And I don't know if you would remember this, being a child at the time, but how did he come to, I don't know, discover the clay in Sidney, or did he own the land , or how -?"
"DC:","Well, it was a former brickyard that had shut down, so they had found out about it so him and another individual went and checked it out, and they bought it and they started. It was a small, they didn't make that many bricks there, but there weren 't that many employees so they wanted to keep it small and manageable. And they had big fields where they used to cut up the clay, let it dry, bring it into the pit, where that pit would, they would put that mud the night before and let it soak before they would use it for the next day. So that's how it was, it was just a big field , a large field and a, it sat down like a lower area, and that's how they did it."
"AL:","And did you see them building the kilns (unintelligible)?"
"DC:","Oh yeah, oh yeah."
"AL:","What was that, do you know the process?"
"DC:","Well, it's like you, I remember we used to call those guys setters. When the bricks used to come the conveyer belt, they used to grab the bricks by four and they would just stack them, and they would have like a first layer, which was the most important layer, where they would shape the arches. Those arches were made so when they threw the wood in there, that's where they got the fire to burn the brick. See, the brick is made with- it's a lot of heat, I'll tell you that. And once that first section was made, after that they just came up square all the way up and leveled it. Next day come in, they used to call it I think scoving, they used to put like an outside brick layer all the way around it, next day mud it and be ready to be burned."
"AL:","And how long did that process take, a couple weeks didn't it?"
