"person","text"
"(Interviewer:","Andrea L 'Hommedieu) April 4, 2007 Andrea L'Hommedieu: This is an interview with Barney Charest, on April4, 2007, and this is an oral history interview, the very first one, for the Shoemakers Oral History Project, for shoe workers, maybe is a better word, I'm not sure. You can talk about that a little bit. So I want to start by asking you to give me your full name. Barney Charest: Bernard Gerard Charest."
"AL:","And where and when were you born?"
"BC:","I was born in Lewiston, October 12, 1946."
"AL:","And did you grow up in the Lewiston community?"
"BC:","Yeah, actually a good part of my life was, I grew up in little Canada, right across the street from the shoe shop where I finally worked in."
"AL:","And which shoe shop was that?"
"BC:","It was Commonwealth Shoe, that was in the early '60s. How I started in the shoe industry actually is I got a job, I was fifteen years old, in a place called Maine Stamping, which was in the basement of Koss Shoe in Auburn, and it belonged to Mr. Koss, that owned Koss Shoe, his son-in-law's business. And I used to die leather by hand in the hand cut (unintelligible word) stuff for our biggest customer, which was Koss Shoe. And upstairs in the loading dock, there's a Mr. David Rancourt, and I believe his partner's name was Marchand, I'm not sure, but they owned , they had a small hand sewing factory they opened on the loading dock. And I used to go up on break time and stuff and watch and I was amazed, you know, it was just, to me it was just so cool, you know, to start with two chunks of leather and come out with something really pretty. I asked David Rancourt if he would teach me how to sew, and he told me that at the time that he couldn 't afford, and I told him, I'll do it for free, on my time off and stuff like that, if you want to teach me how to sew, I'll sew your shoes. And he said okay, we'll go for it. And it was really easy for me, and I don't know why, but it, he told me, he says, I'm amazed, he says, I've never seen this before. So then he and Mr. Marchand went their own ways, and David went and opened up a company called Downeast Casual, and I went to work for him full time as a hand sewer. I want to make sure that I'm not skipping anything in there. Oh yeah, that little factory there, that was on the loading dock, was actually horrible. There was no heat, the shoes used to freeze, actually freeze, and the toilet would freeze, we'd have to suffer with, we'd take gloves and cut the fingers off, so, but you had to start someplace."
"AL:","So at that time, in the early '60s is the time period we're talking about, were there lots of shoe shops in the Lewiston Auburn area?"
"BC:","Oh yes, oh yes. At one time in Lewiston and Auburn there was over ten thousand hand sewers. Now there's maybe, working hand sewers, maybe forty. Now there was, oh, we can go down there, just in the Continental Building, across the street from the Saint Mary's Church, there was Commonwealth Shoe where I worked, there was two hundred, two hundred twenty five hand sewers. Upstairs there was Village Shoe, they had a couple of hundred hand sewers. There was two or three smaller shoe factories, and to my mind, they had maybe a couple of hundred hand sewers. So you were talking about five, six hundred hand sewers in the same building. And then there was Goulet Moccasin, and these, these, I'm talking about hand sewers now, how there was Downeast, Goulet Moccasin, Commonwealth Shoe, Billing, Arno Mocassin, these were all, Timberland was another one, LL Bean's was another one, they were fairly large companies. And then just the next building on down was, you had a lot of traditional footwear that was made. There was, what was it they made in the company? They made patent leather shoes, they were like king of the world of kids' tap dancing shoes and things like that, and that was a fairly large factory. I never really got into a lot of the traditional shoemakers until later on in my career, where I had to work with a lot of them for the job that I did, but there was L~ Shoe and Falcon Shoe, there was Dexter, there was, companies made, right there by Dexter, their thing was Norwegian, for many, many, many, many years, the regular men's weejuns. LL Bean's, when they got into making most of their shoes, for casual shoes, boat shoes and things like that. Commonwealth Shoe, Billings Shoe, things were, Billings Shoe was more like WaiMart, Commonwealth Shoe was more like Macy's. The downfall of both of these was actually, one of the biggest reasons there wasn't direct competition from overseas back then, because we didn't have any. Every shoe we sewed was already sold. But back in the middle '60s or so, the women in the United States got feminized, because a hand sewn shoe is a casual shoe, and for many, many years, like the penny loafer, every girl in the United States wore a penny loafer, and then all of a sudden they were out of style. The imports that were coming in at that time, and the companies that were developing new shoes, were giving them a little class, making them pretty, and so the penny loafer went out. And we're talking hundreds of millions of pairs of shoes. So the weejuns, the hand sewn weejuns, the dress shoes, the Brazilians, when they started putting them on the market, Brazil, Columbia, a few factories started putting on the market nice fancy dress shoes. So, the hand sewns went from a dress shoe to a casual, in the large, large part of the market. So we just starved ourselves out of business. And then when these other countries 2 bought into the business of making shoes, they were brand new companies, so all of the equipment that they had was all brand new, state of the art stuff, and we were trying to compete with hundred year old equipment, and there's a lot of things we couldn't do that the newer equipment could, you know, the new machinery. So it was just a combination of a whole bunch of things that, and actually we priced ourselves out of the market, as far labor goes, as hand sewers. In the early '60s, we made big money. I can remember bringing home three hundred, three hundred fifty dollars a week after taxes. Now in 1960, '61, '62, that was a lot of money. The average shoe worker was making forty dollars a week. A dollar an hour was the minimum wage, seventy five cents, eighty cents an hour was the minimum wage when I started, and I used to make five dollars an hour, six dollars an hour, depending. It was a really neat occupation, because if I wanted a raise, let's say if I needed some money next week, I'd shut my mouth, put my earphones on and sew more shoes. We actually controlled, you know-."
"AL:","Self motivation."
