"person","text"
"(Interviewer:","Andrea L'Hommedieu) January 17, 2009 Andrea L'Hommedieu: This is an interview for the Shoe Workers Oral History Project at Museum L-A. The date is January 17, 2009. I'm at the home of Dorothy Charpentier in Lewiston , and this is Andrea L'Hommedieu. Dorothy, could you just start by giving me your full name, including your maiden name?"
"DC:","Dorothy Blais Charpentier."
"AL:","And where and when were you born?"
"DC:","I was born here in Lewiston, 1925, November 1st, and I was raised in Lewiston, and went to Catholic school, St. Mary's, and then to Lewiston High . That's when I left Lewiston High to go to work, both my parents were sick, and I had a job in a shoe factory. That's when I started, with intentions of going back to school the year after. Never turned out."
"AL:","Now, talk to me about your family. How many children were there in your family?"
"DC:","Only my brother and I, only two."
"AL:","What did your parents do for work?"
"DC:","My father was a shoe worker all his life. My mother worked in the mill when she was a younger woman, and then she stayed home, she was a homemaker."
"AL:","Which shoe shops did your father work in?"
"DC:","Cushman's in Auburn."
"AL:","For many, many years?"
"DC:","Many years, and then he went to, I remember when I went into Clark Shoe, he had a job there, he worked there too. And then there was a shoe factory on Oxford Street."
"AL:","Where was Cushman located?"
"DC:","On Court Street in Auburn . It was a big shoe factory. A big building with, Shapiro Brother's were there too, I think."
"AL:","Is that where Denny's is now?"
"DC:","I think so."
"AL:","I think it's in that area ."
"DC:","The building down , yeah, it is."
"AL:","Do you remember, or did your dad ever talk about what different types of jobs that he did?"
"DC:","He was a heel fitter, that was his job, and I think he did that all the time. His brother worked in a shoe factory. He was a repairer at Lown Shoe. His sister was a stitcher. So they were all shoe workers."
"AL:","That probably employed a lot of people in the area."
"DC:","Yeah, yeah. Clark Shoe, when I went into Clark Shoe I was sixteen, and they used to pack ten thousand pairs of shoes a day. There were six packers."
"AL:","Tell me what different jobs you had . You started at sixteen."
"DC:","I started at sixteen. I was a floor girl at sixteen, and then I married and I stayed home for about a year. I worked for about three years as a floor girl at Clark Shoe. I stayed home for about a year when my son was born. Then I trimmed flaps. That was before my son was born."
"AL:","Okay, that's in this picture here."
"DC:","Yeah. After that, when I stayed home, I didn't want to do that job anymore, so I went into Lown. I had a friend that worked there, and she says, they're hiring. So I went over there, my uncle was working there, and I made boxes. I didn't care for that too much. But then on noon hour, he'd show me how to repair. That was a better job, it was paying better. I learned , and then I got a job, and I stayed repairing for the rest of my life. I was sixty-five when I retired."
"AL:","And that was in 1980."
"DC:","Not '80, maybe '90, '91 . I stayed a little over. It got slack and they laid me off. was the last one there. I was at Crest Shoe the last five years, I worked there."
"AL:","Were you seeing the shoe shops closing around you?"
"DC:","Oh yes, we closed Clark Shoe, I was there when Clark Shoe closed. And then I went into Dori, and I worked there for a good fifteen years, and that closed too. I was left alone to do the repairs , and I'd pack the shoes. There were just a few people then, at Dori. They used to make shoes for that show, Dynasty."
"AL:","Oh, did they? I was going to ask you what kind of shoes Dori made."
"DC:","Well, they had shoes from Lord and Taylor. They had beautiful shoes, Dori Shoe. So did Clark Shoe. They used to make Fiance's. There I modeled shoes for fourteen years."
"AL:","What do you mean by model? Did you go to places?"
"DC:","No, we'd stay at the shop, there was a place upstairs next to the office, and the salesmen would come, and we were shoe girls there. One day they called me in, I says, why would they want me at the office. I thought maybe someone had stolen shoes, they wanted to know our size. I was an eight B, and they said I had the perfect foot, so I started modeling shoes . If they'd fit well, and then they mold the last to see if -and then I did try a shoe at Dori too. Somebody told them I used to model shoes. But then I had a bunion so I couldn't any more."
"AL:","So did they pay you extra for that?"
"DC:","At Clark Shoe they did , not at Dori, it was included. While I was doing that I wasn't working. At Clark Shoe they did. They paid very well. Mr. Fratkin was the owner. He was a very nice man."
