"person","text"
"(Interviewer:","Andrea L'Hommedieu) January 17, 2009 Andrea L'Hommedieu: This is an interview for the Shoe Workers Oral History Project at Museum L-A. The date is Saturday, January 17, 2009. I'm at the home of Valencia Cody in Lewiston, Maine, and this is Andrea L'Hommedieu . Valencia, could you just start by giving me your full name, including your maiden name?"
"VC:","Valencia Lorette Cody. My maiden name was Sirois, S-1-R-0-1-S, and Cody is C- O-D-Y."
"AL:","And where and when were you born?"
"VC:","I was born right here in Lewiston , in 1920."
"AL:","Were your parents from Lewiston?"
"VC:","My mother was from Canada. My father came from Canada when he was just a little boy, but his education was in Bath. He worked at the brickyards in Bath."
"AL:","Oh my."
"VC:","Yes, yes."
"AL:","And what were you r parents' names?"
"VC:","My father was Napoleon Sirois and my mother was Alponciene Bilodeau Sirois."
"AL:","How did they meet?"
"VC:","Through friends, I guess, down here in Lewiston. That's how they met. They were married , oh my God , let me see, close to one hundred years now. Wait a minute, 1910, they were married , right here at St. Peter's Church."
"AL:","Oh, that's wonderful."
"VC:","Right here at St. Peter's Church . And I was born at the corner of Bartlett and Birch Street, that big tenement building. I left there at two years old. My father built a house on South Avenue. So I lived there at two, which I know where the place is. I moved out of there in 1990. I had to sell the house because I was getting too old to take care of all the land. I had a brother that, he passed away too. And a sister, my sister was the oldest. She worked in the shoe factory."
"AL:","She did too."
"VC:","Yep, yep. I started at sixteen years old. That was 1936, at Clark Shoe in Auburn. I was there, I think, because they closed in '76, I think that makes it almost forty years in one factory. And then I went over, we had a little factory right here, that came from Gardner, I was there I think about a year. And then I moved over to Falcon Shoe. I retired from there in 1982. I took my pension at sixty-two. I retired from there in 1963, '64, that's when I retired from there. I was there probably three years, four years at the most, then I retired."
"AL:","In the '80s."
"VC:","In the '80s."
"AL:","So, Clark Shoes you began in 1936."
"VC:","I was sixteen years old ."
"AL:","What did you do when you started?"
"VC:","Well, I did bench work. That's what they normally put you on, something slow and easy. I did bench work, and then I would , what we used to call , eureka marking, that was putting the size on the shoe, and it's all little holes. You'd count them by shoe. I did that for quite awhile. I did marking, and then I was asked to go on the floor to be a floor lady for two weeks. I think I was on ten years. I called it the Jewish two weeks."
"AL:","What is a floor lady?"
"VC:","Floor lady takes care of all the people and gives them the work, and sees that the work goes out right. My sister was a floor lady."
"AL:","And did she work in the same shop with you?"
"VC:","Same factory, same room. In the stitching room, we worked in the stitching room . I worked in the cutting room for awhile, but I was getting the work ready for the stitching room . As a floor lady, they move you around sometimes. They need you over there, you 're going to go over there. But I liked it. Clark Shoe was one of the best factories we had."
"AL:","In what way?"
"VC:","In the way that they use the people. It wasn't a sweat shop. I was talking this week with a girl, I said my god, we used to have Friday, Friday afternoon, we played most of the afternoon. They didn't care, and the foreman wouldn 't come up to us and ask whether you worked tomorrow, meaning Saturday, sure, on we'd go. We'd forget we had a half a day. We had good times. Good foremen . First one we had, he was the owner of the factory . He died. He's the one that owned the factory . They came from Massachusetts."
"AL:","What was his name?"
"VC:","Max Ostroff. He was a big man. Big man. Nice man . Falcon shoe, I started the automatic machines that they had, the stitch, did you see them?"
"AL:","No."
"VC:","You never seen them? Roland-?"
"AL:","Roland Landry."
"VC:","Landry, I showed him. And when we had the opening for the museum , I hadn't got them done yet, and Roger called me, he says, Val, aren't you coming down?"
"AL:","I says, Roger, I have no ride."
"VC:","Stay right there, he says, I'm going after you . And he came after me. And I was there for a couple hours. Then all of a sudden this young fellow comes up to me, and he starts saying, now you put that right, no that's not right, you cut your thread , you start over again. I says to myself, who the heck is he. I hadn't seen him for years. I seen his wife every now and then. He says, you don't remember me. I says, my God, what are you doing. He says, everything you showed me, now see what I am. I says, you're partly owner. I says, I want some money out of it. He was a nice kid ."
"AL:","Who was that?"
"VC:","Landry, Roland . Now he's part owner. I'd like to go see that. If I had a car I'd go up and see it."
"AL:","I need to go visit him soon . He's on my list."
"VC:","He is, okay. His wife was in St. Mary's, in the lab. I think she's still in the lab, because I don't go in that lab. I go upstairs when I go in for blood . It goes faster."
"AL:","So he was young when you first knew him?"
"VC:","Yes, him and his wife weren't married . She met him there. And these were machines, automatic machines that you put a piece of, it's a pattern , you put a pattern in the clip like this, and then you put it in the machine and you start it, and it all go skip where it, but we're all learning. Boy, there was a lot of shoes we had to do over. That's what Roland was on, and so was his wife. I showed them both."
"AL:","Falcon Shoe is one of those few companies that seem to have survived ."
"VC:","That's not an old, old factory . I don't know how many, Falcon Shoe, it would be twenty, twenty-five years. Ask Roland when you see him, he should know. Because the owners was what's his name, in the offices, it was his parents that were the owners. Every now and then they would come and visit and look how things were going. Which you can't blame them when you have money invested. But they're still going, and I'm glad for them."
"AL:","I'm interested to know the changes that you've seen in Lewiston over the years."
"VC:","Oh , my god ."
"AL:","You have seen a lot of years of changes. What sort of things?"
"VC:","Beautify. But, I'll say, Pine Street is not Pine Street to me any more. It is just terrible the people they have there. Too bad. Put young ones in there, they don't take care of things. I take care of my apartment, why can 't somebody else. Now the landlady, the landladies now, they use, because it's their son that turned it over to his daughters. They're very, very nice. And the son and I, we always kid each other because I used to go out and shovel, and they plow. And they'd say to me, Mrs. Cody, we don't want you to shovel. I looked at him, I says, Conrad, I says, you plow four, five o'clock in the morning, depending the size of the storm. I says, in front of the doors, we can 't do it, because the plow won 't fit, it's too close. And I says, they come at eight o'clock at night, we have one door to get out of here in case of fire , and that's something I watch. Oh, now he doesn't say anything. I went down the fire escape once this year because this door was locked on me. I had to get down, and nobody around that I could ask to come around to the door and open this door. So anyway, I started down, but you've got to jump from this high, down at the bottom ."
"AL:","Oh, my gosh."
"VC:","I see the firemen , when they come and inspect, when they come here I'm going to tell them that should be longer. That's dangerous. They're the youngest ones and they just moved here, the couple on this side. Besides that, we're all elderly. I'm the oldest."
"AL:","You 're eighty-eight?"
"VC:","Eighty-eight. I'll be eighty-nine in July. And Christmas, this place is decorated, but I don't think next year I'll do it. It's too much for me. I have a god daughter, and her brother and sister-in-law, they gave me heck. They says, why are you doing this. I says, because I like it. Why didn't you call us. You were working. We don't care, we want you to call us. They made me promise, because I put up, the day after Thanksgiving, and I leave it until Christmas day. The day after Christmas, it comes down. And they said, we want you to promise us that you 're going to call us. Because my boxes are all downstairs, I have about ten, twelve boxes and it's getting hard for me to, they don't want me to fall. Because I've fallen , I've fallen and hit the building last fall."
"AL:","That's not good. Can you talk to me about, you said you did bench work when you first went into the shoe shop. I don't know what that means."
