"person","text"
"(Interviewer:","Andrea L 'Hommedieu) May 16, 2008 Andrea L'Hommedieu: This is an interview for the Shoe Workers Oral History Project. The date is May 16th, 2008. We're at Courtemanche Insurance Agency, in Lewiston, Maine. This is Andrea L'Hommedieu, and I am interviewing Dick Courtemanche. Did I pronounce that correctly? Dick Courtemanche: You did an excellent job, very well."
"AL:","And could you tell me where and when you were born?"
"DC:","I was born in Lewiston, 1945, in Lewiston, Maine."
"AL:","And is that where you grew up?"
"DC:","Yes, in Lewiston, Maine, yeah. Oh, I'm one of ten children. Okay, I'm the second oldest. We had a small little farm on College Road, in Lewiston, Maine, and my dad was a shoe factory worker, hand sewer. And from there, we all expected to be hand sewers, followed the dad's trade, which we did ."
"AL:","Yeah, now, w~re both your parents from the Lewiston area?"
"DC:","My dad was born in Canada, so was my mother. They, my mother moved to Rumford, Maine, and my dad had to go work in the woods back in the '30s. He'd walked from Canada to Jackman and work in the woods all summer, and I think he used to walk to Rumford. That's how he met my mother. They got married in Lewiston and stayed there ever since."
"AL:","Wow, now, did he ever talk about why he decided to come to the US from Canada?"
"DC:","Jobs, an opportunity in Lewiston, Maine, to work in a shoe factory probably, and being, feel very comfortable, because in Lewiston in those days, there was probably ninety percent all French. He couldn't speak a word of English, neither my mother. So by doing this, so he was comfortable living here and working here."
"AL:","And you said he came in the '30s?"
"DC:","I guess he went to, when I heard in the '30s, I'm trying to think now, when did he move to Lewiston, Maine. I think in 1940."
"AL:","Okay, I was wondering if it was before or after the '37 shoe strike."
"DC:","No, it was after the shoe strike, yeah."
"AL:","Now, so did your dad, your dad thought that probably the kids would go into the shoe making?"
"DC:","That's right, it was, well, my dad did it, his brothers did it, my wife, my mother's brothers were hand sewers also. So I thought the whole world was hand sewing, work in a shoe factory. So because of this, back in those days, if you were crafty with your hands, you could make quite a bit of money. He supported ten kids, the only one working, working in the shoe factory, hand sewing."
"AL:","So it was pay, piecework?"
"DC:","Piecework. If a person, now, it's hard to explain piecework. Back in those days, if you would do, well, he used to do, I guess he was a good hand sewer, he used to do about thirty pairs a day, at a dollar a pair, in the '50s and '60s. So he was making about thirty dollars a day, okay. Supporting ten kids, he had to. But, and the job, how, how do I say it, if you worked harder, you'd make more money. Now, in comparison to what people were making back in those days, today's economy, he'd be, it's like making about sixty thousand dollars a year, back in those days, doing the same type of work, because the cost of living was much less."
"AL:","So that was a really good -?"
"DC:","Good paying job. It was clean, it was inside, the weather was always the same, and it was fun, it was fun . Because when he taught me, I went to a local shoe factory, it was nice, because you don't have to compete with the weather, and it was a comfortable job."
"AL:","And so your father taught you how to hand sew?"
