"person","text"
"(Interviewer:","Andrea L'Hommedieu) September 23, 2005 Andrea L'Hommedieu: This is an interview with Ray Croteau at the Muskie Archives at Bates College in Lewiston, Maine on September 23rd, 2005. This is an interview for the Mill Workers Oral History Project, and this is Andrea L'Hommedieu. Could you start just by telling me your full name? Ray Croteau: Raymond Henry Croteau."
"AL:","And where and when were you born?"
"RC:","I was born in Lewiston, Maine, May 4th, 1933."
"AL:","And did you grow up in Lewiston?"
"RC:","Yes."
"AL:","What was it like then?"
"RC:","A lot less traffic, really, that's what it was. That's the main thing, the traffic."
"AL:","The community was much smaller?"
"RC:","No, I would say, well yes, it was smaller but it was still a fairly good size city, yes. But there were no cars like today, everybody didn't have a car. You had a car every three, four houses on a street. Today, everybody in the family's got one, so it makes a big difference."
"AL:","In what part of Lewiston were you living in, growing up?"
"RC:","Wood Street. 1"
"AL:","Oh, right here."
"RC:","Right here, down the bottom, near Sabattus."
"AL:","And what were your parents' names?"
"RC:","My father was Arthur J. Croteau, my mother was Eva Jutras."
"AL:","How do you spell that?"
"RC:","J-U-T-R-A-S."
"AL:","And did they come from Lewiston, too?"
"RC:","Both of them, yes, they're both natives."
"AL:","In the community at that time, in the '30s and '40s as you were growing up, what were some of the things that families did for social activities?"
"RC:","Well, they had get togethers, they'd visit a lot. More than you have today, okay? There were a lot of social clubs in town which, and the snowshoe, snowshoer programs. Of course, most of those are all gone now, but that's what people did. Listen to the radio, read newspapers. And the meals were usually always, particularly the evening meal, was total family. No interference with television, it didn't exist."
"AL:","How many brothers and sisters did you have?"
"RC:","I have two brothers and one sister."
"AL:","And what were the schools like, what schools did you go to?"
"RC:","St. Peter and Paul's grammar school, and I went to St. Dominic's my freshman year of high school, then I transferred to what is now the middle school, which was the high school then."
"AL:","And was French spoken in the home? 2"
"RC:","Always, that's why, I'm bilingual, all right? In the home was French, all French. Of course, you go to St. Peter's, it's a parochial school, was fifty-fifty French and English. So there was a lot of French, yes."
"AL:","So you were allowed to speak French at school?"
"RC:","Oh yes, either morning or afternoon session was in French. You'd go, half the school year you'd have it in the morning, and the other half you'd have it in the afternoon. And all the French, like the catechism, we had religious classes, well, everything was written in French. And they taught French and French grammar a little bit."
"AL:","And was there a sense that when you graduated from high school that you would go to work in the mills, did your, any of your family work in the mill?"
"RC:","Oh yeah, my father and my mother both worked in the mill at one time or another. My father did until he became a postman, mailman. My mother did until she had four kids to raise."
"AL:","What kind of jobs did your father have in the mill?"
"RC:","He worked in a department called jacquard card cutting, they'd make the patterns for the bedspread looms. That's where he worked that I know of. My mother was a spooler, a winder, yarn winder. She started young, oh yeah."
"AL:","What age?"
"RC:","I don't know, but I remember she used to tell me that when the State inspectors would come around they'd hide them."
"AL:","Yeah, so maybe high school age then?"
"RC:","Oh, probably, well my mother, she went to the sixth grade, then she became deaf, and she couldn't hear so she just dropped out of school, so. You didn't stay idle back in those days, money was very, very tight. I guess she, as soon as, as old as she could, she got in the mill, yeah."
"AL:","And so how old were you when you started at the mill? 3"
"RC:","Oh, depends on what time. Now, I had small episodes before becoming a full time worker. Let's see, I would say I was eighteen, yes, I was eighteen, I had a couple of stints as a what they call spare hand at the Bates Mill, just temps, we were temps. But I started full time in 1957, let's see, I'd be twenty four, yeah, I was twenty four."
"AL:","And what were you doing then, can you describe your job?"
"RC:","Beg your pardon?"
"AL:","When you were twenty-four and went into the mill full time, can you describe your job?"
"RC:","The first job was a temporary one, I worked as a helper on a slasher. They made loom beams, that's what they made. You just assist the operator, you do the toting and, you know, more or less, you supplied it and then you got rid of what they made. I did that for a while, but I knew that if I didn't sign for a job I'd be out the door, because there's a, you owned your job, and you had to sign for it, then it became yours. If you didn't sign, they'd get rid of you because they couldn't keep you. There was a union contract, they can only keep you for sixty days I think it was, as a temp. That's when I became a bobbin boy, which I'd rather have kept the other job, I liked it more, but I wanted to work."
"AL:","And so what did a bobbin boy do?"
"RC:","He supplied winders, spoolers they called them, (unintelligible word) called them spoolers, with yarn. And then he'd take them, their finished product to the next process."
"AL:","Okay, and so this was to keep the flow of work going? Was it fast paced?"
"RC:","Well, it would keep you going. There were lulls, though, you know, there were lulls. That kind of work, I mean if you're, sometimes these machines would run out of, depending on what they were running, you know, if they were running fine counts it was a picnic, because it's slow. If they were running the coarse yarns you got to hustle because they eat that yarn right up."
"AL:","And so it was about 1957 when you went to the mill?"
"RC:","Yes, it was '57, yeah. 4"
"AL:","And what role did the unions play in the mills, the unions?"
"RC:","Oh, unions, well they, they just looked after the employees' grievances, and working conditions, and wages once a year, or contract times, sometimes they were longer contracts. Pretty much, but mostly got into grievances. Somebody had a complaint, or somebody was written up for bad work, well, they'd go in and investigate and negotiate and things like that."
"AL:","Were there ever any strikes at the mill when you were there?"
"RC:","Not while I was there, no, no."
"AL:","Did you hear about them happening before your time?"
"RC:","Oh yes, before I went in I did, yeah."
"AL:","Do you recall any of those stories?"
"RC:","Not really, not really. No, I wasn't that interested, let's put it that way. I really wasn't."
"AL:","Now, you were born during the Depression years."
"RC:","Nineteen thirty-three."
"AL:","Yeah, so you were very young, but did your family ever talk about how hard it was during those years?"
"RC:","They were lucky, okay? My father was a postman. They worked, so he had his pay every week. They were very lucky. They didn't suffer, let's put it that way. Now, my brothers did, because they were older than I am, one is eighty-six, the other one died 2001, he was eighty. When they got out of school, work was very, very difficult to get. Now that's where they suffered. That stopped when the war started. Until then, it was hard to get a job, very hard."
"AL:","So a good ten years there."
"RC:","Oh yeah, they suffered. 5"
"AL:","Did they have families yet?"
"RC:","No. Well, my oldest brother did. He was married in, gosh, he was eighteen when he got married, yeah. He was born in 1919. He was eighteen, he had family, yeah. Now, he would do, he'd work a couple of jobs a day, you know, he didn't just work one, he'd work at night, too. He drove a cab around this town at night, besides whatever else, other work he could find."
"AL:","So you became a bobbin boy, and how long were you a bobbin boy?"
"RC:","Not a year, less than a year. Almost a year, but not quite a year. It was third shift, too, nighttime, yeah. Now, the company came along and asked if I'd be interested in taking an exam because they had an opening in the industrial engineering department. Ah heck, what the heck have I got to lose? I took it. And I got the job. But not because I was the best one, because another fellow who ran the same department, was a slasher man, he was number one. To take the job you had to take a pay cut. He was married; he didn't take it. I was single, so I took it."
"AL:","So that, was the job that you kept from then on?"
"RC:","Well, that was the good starter, yeah, I did that for a long time, yes."
"AL:","And what were your responsibilities in that job?"
"RC:","Oh, that was a wonderful job, you got into everything, you know. You got into, actually you went in and you observed how things ran. If there were problems, you know, you solved problems, if there was productions problems. And the machine layouts, that was part of our job. Justifications for improvements, that's part of our jobs. You did time studies, a lot of that. That's what we did, we just, we were problem solvers, that's what we were."
