"person","text"
"(Interviewer:","Andrea L'Hommedieu) April 8, 2005 Andrea L'Hommedieu: This is an interview with Ray D'Amour at his home at 64 Lowell Street in Lewiston, on April 8, the year 2005. This is an interview for the Mill Workers Oral History Project, and this is Andrea L'Hommedieu. Could you start just by giving me your full name and spelling it? Ray D'Amour: Okay, it's Raymond, first name, G, which stands for Gerard, D'Amour, D-apostrophe- capital A-M-O-U-R."
"AL:","And where and when were you born?"
"RD:","I was born in Lewiston, at St. Mary's Hospital."
"AL:","And the date?"
"RD:","January 20th, 1925, which means eighty years old."
"AL:","And did you grow up in Lewiston?"
"RD:","Yeah, I did, yes. Lewiston and a few years we moved to Auburn. My folks had bought an apartment building, and we lived there. Fact is, I lived there until I got married, which was back in 1951."
"AL:","And so, were your parents both from Lewiston as well?"
"RD:","No, my mother was born in Canada, at Saint-Hyacinthe, and my father was born way up beyond the St. Lawrence in a little town by the name of Matane, M-A-T-A-N-E, I guess he always spells it. But when he came to the United States, like all the French Canadians at one point, he was naturalized and became an American citizen. I don't know if it was soon after he got here, but that's the way it worked out."
"AL:","Well, what brought your parents to Lewiston?"
"RD:","Well, like everybody else at that time, people were coming here to work because, you know, in Canada the farms, the farmers were really getting nothing and they were more or less starving, and so I suppose the recruiters for the businesses in this area here were up there looking around to see who wanted to come to the United States and work. So that's, probably that's the way it worked out."
"AL:","Did your parents work in the mills?"
"RD:","No. That's the funny part of it, no. Fact is, my mother never worked. But my father was in the shoe industry all his life, so that's the way it worked out."
"AL:","And what were their names?"
"RD:","My father was Charles, Charles Phillippe, and my mother was, real French, Antoinette, I don't 1 know what her full name, but her family name was Robitaille, so that was, that's the way they came to the United States at that point. But my mother was never naturalized. She had a permanent, I don't know if a permanent visa for visiting, or for staying, but anyhow, it never came about. So, that's the way it is."
"AL:","Now, if you were born in 1925, you were a teenager at the time the Depression hit."
"RD:","In 1929, yeah."
"AL:","Do you have recollections of that time?"
"RD:","I sure do. It was unbelievable to think this now. You, you know, you almost fought for a penny, or two pennies in order to, for what you thought you might work for or, you know, any little job, anything, because there was no work and things were hard. It was unbelievable. But, people in the United States survived, you know. It was like the wars we have, we go and we come back and we move on. But it was a rough period. Seems though it dragged on until I would say the mid forties, 1930s. It was a rough time."
"AL:","How did it affect your family?"
"RD:","Well, my father had built the home we were living in, and he built it as he had the money, so there was no debt, there was no mortgage to it. So we owned a home, and we had large gardens, because we had quite a lot of land, so we had a lot of gardens. So, you know, as far as food and vegetables and things like that, we had our own supply. And the neighborhood (unintelligible word) further up on Main Street, the neighbors were all real nice, and those that did kind of shared with those that didn't. So it was a happy time, when you think about it, also because of people getting together and sharing things. It was, when you look back on it, you know, there was pleasant memories. It's not like you were living in some place and everybody was against you. So, that was in that period of time."
"AL:","Now, did you go straight from high school to work in the mills, or how did that come about?"
"RD:","My junior year in high school, I was drafted, and I was in the service for three years, I was down in the South Pacific for three years. And going back in time, from the time I can remember, I could pick up a pencil or a pen and I could draw anything I could think of, you know, I just put it on, you know, on a piece of wood and, burn it into the wood, or do anything. So while I was in the service, I did some artwork for the military newspapers, you know, and when I got out of the service, one of our neighbors right across the street was one of the top executives at Bates. And he said, you know, I always see you with a pen or a pencil and you seem to be able to draw anything that you think of, he said, would you think of considering of going to the Bates to draw the designs for bedspreads and draperies? I said, well, I never gave it a thought, you know, because at that time I was just getting out of the service and I had nothing in mind. So I said, I don't know, so I said I'd think about it. So he kept, every time he'd come across the street to visit he'd talk about it, and he says, have you thought about it? I said, well, I'm giving it some thought. He said, okay, he said, if you want I'll make an appointment with you with the plant manager at the Bates division where the bedspreads were made, and he says, you go. And at the time, the plant manager was John Collins, John Collins."
"AL:","And who was the person who lived near you?"
"RD:","Fritz Newton. He was the head and the chief engineer for the whole mill complex. So he made an appointment, I went to see the plant manager, and of course when you have somebody that's giving you 2 a little bit of help, kind of nudging you, it makes a difference also. So he said, well, how about coming back and, say, next week some time, and bring some of your artwork, you know, whatever it is you want. So I went back the following week and they looked at it, and he said, well, I'll bring you out to the head of the, the director of designing right now, which was George Mills, and he said, let him take a look at it and you talk with him, and he said, he's expecting you. So I went out and sat down with him and he said, yeah, he says, fact is, we have an opening right now because one of the older veteran designer has just died a couple weeks ago. And I mean, they were super designers, because they, they two head designers were German, and I mean they were real high tech. So it was a great area to go into, because there was one of them left, of the two brothers. So I said, he said, if you want to come in, he said, we look at all your art work and everything, he says, you know, in your case it would be better to start hands-on, the actual experience, than trying to go to some design school or something to get it from a book, they said, here you're going to get the actual so, he said, what do you want to do? So I said, I don't know, I'll give it a thought. So I went back to I guess the plant manager and he said, well, what do you think? I said, well, I'm interested. So he said, when do you want to start? And I said, well, let's put it this way: this is the last part of October, I've been away for three years and I'd like to go hunting for the whole month of November. So he said, well, that's no problem, so we'll see, I'll see you the first week of December. This was back in 1946, and the first week in December I showed up and I started. And I just kind of fell right into it, you know."
"AL:","So you worked very closely with the remaining German designer?"
"RD:","Yeah."
"AL:","And who, what was his name?"
"RD:","(Name) Lehman. And he was as efficient in high tech as his brother was. The older one was Arthur. And, you know, if you made a mistake you backed up and you corrected it, you didn't let it slide. I mean that, because when you're designing something, everything has to be on a graph because everything has to work out well on the loom. There's no room for mistakes, because the one mistake that you make will be one mistake on the loom, which will be one bedspread they'll have to throw away. So, I learned from, you know, Dave wanted to, you don't make, if you do make a mistake you come back and you correct it. Or you ask, you know, what's the right way to correct this. And it, when I look back on it, I couldn't have found a better life, you know? I mean, it wasn't hard work, you just sit there and you put your ideas on paper."
"AL:","So you got to create your own ideas for designs, or did it always go through the other one?"
