"person","text"
"(Interviewer:","Andrea L 'Hommedieu) January 17, 2009 Andrea L'Hommedieu: This is an interview for the Shoe Workers Oral History Project at Museum L-A. The date is January 17th, 2009. I'm at the home of Larry Daigle in Auburn , and this is Andrea L'Hommedieu. Larry, could you start just by giving me your full name?"
"LD:","My name is Larry Joseph Daigle. I was born in Lewiston in 1943, St. Mary's Hospital. I was born on Cross Street. I was born at home, not in the hospital, thinking back."
"AL:","Okay, you were born at home and you lived on Cross Street."
"LD:","Yeah, that's where I was born, on Cross. On the corner of Cross and Oxford. Not too far from the Belmont Shoe shop, where my first job was. I went in as a, pulling tacks off the shoes and I (unintelligible) with my foreman and he gave me a chance to go out and sew, and I started on the, they had a second shift, hand sewing, at the time, they had a crew coming in at night, and I was going in sewing cripples, I started on. Roger St. Pierre was the one that helped me a lot. He passed away now, but he helped me a lot. He started me on that. Eventually I got into hand sewing, and that's why I started, at Belmont, in 1960. So, it's a long time. Then I went to work at the different shoe shops. I worked at L. L. Bean's and I worked at Sebago Moe, and I worked at Taylor Shoe, Commonwealth, oh boy, all these shops where the work was, that's where I went."
"AL:","Was it that places were closing, or that one place could pay you a little better than another?"
"LD:","Well, what happened , the work was slack, it was slow, so I made the move to go where the work was. That's the way I operated it. If it was slow in one area, I'd go look around for where there was work. When you had four kids, I had to work and raise the family. So that's the way I done it. Then I worked for Gene Cousteau , he was on Lisbon Street, as my second job. I'd sew all day and then I'd work for him at night. So, it kept me busy."
"AL:","Growing up in the Lewiston , Auburn area , you were born in the '40s, so you grew up in the '40s and '50s, and a little bit into the '60s, as a kid . What was the community like then? And, if you're looking at it as compared to what it is like today."
"LD:","It was, in the '50s and the '60s, I think was the best years, because there wasn 't as much crime as there is. If there were, we didn't hear about it that much around Lewiston , Auburn area. It was a very good upbringing. We had very good times. You could go somewhere and not worry about being attacked or people stealing your money. Those were the good years. That's my opinion of it."
"AL:","What did kids do for fun?"
"LD:","Well, we played kick the can . We didn't stay home. We didn't have no computers. We'd go outside, we'd play tag, hide-and-go-seek. We'd play through the yards. Now it's got the, where they had the Balloon Festival on River, when I was young, that was a playground for us. It was all wood area, and we played cowboys and Indians. That's where it was. Now it's all open up now, but in those days, that's where we played as a kid. Stayed off the streets and had a good time. It was very good , good upbringing. My mother had fourteen kids."
"AL:","Fourteen ."
"LD:","Fourteen kids."
"AL:","Where do you fall within the fourteen?"
"LD:","I'm the third from the bottom. I got brothers who went to war, World War II , Korean War, prisoners of war. Nine boys, there were nine boys in the family. Nine boys and five girls. I'm the cutest one of the whole bunch. I tell everybody that. When they see pictures of my brothers, they say, boy, they're better looking than you are. I say, well."
"AL:","Then your mother, of course then, was a stay at home mom, with fourteen kids."
"LD:","My mom, during the war my mom worked in Portland, in the ship yard."
"AL:","Really?"
"LD:","Yup."
"AL:","Doing what?"
"LD:","I don't know what she was doing. I know she worked there. I don't know what she did for work. I was just a kid . I didn't ask. When you 're younger you don't care."
"AL:","When you 're a kid you don't ask those things."
"LD:","She worked there for awhile, after she had all the kids."
"AL:","What did your dad do for work?"
"LD:","My dad, he was a lumberjack. He was always gone. He's from Fort Kent, and they moved down here in 1941. In 41 ', they moved down here from Fort Kent. They were supposed to go to Connecticut, but the vehicle broke down and they stayed over here, stuck in Lewiston."
"AL:","That's the story."
"LD:","That's the story and I'm sticking to it."
"AL:","So he worked in the Maine woods for many years."
"LD:","He worked in the Maine woods for many years, yup, and then he worked for the railroad as he got older. Then he worked in Connecticut, my father did , he worked on the railroad down there in Connecticut. He wasn 't a dad at home, he was always on the go. I knew my dad, I mean he was my dad, but God rest his soul, he was, you know, he did his thing."
"AL:","Now, you have pictures here."
"LD:","These are pictures of all my brothers. I told you I was the cutest one of the whole bunch."
"AL:","Am I supposed to pick you out then?"
"LD:","Yeah, I think you can . Look at it, I'm the, that was taken at my wedding in 1963."
"AL:","So, these are your parents and your sisters?"
