"person","text"
"(Interviewer:","Andrea L 'Hommedieu) April 10, 2009 Andrea L'Hommedieu: This is an interview for the Shoe Workers Oral History Project at Museum L-A. The date is Friday, April 1Oth, 2009. I'm here at the museum with Vernon Daigle, and this is Andrea L'Hommedieu. Vern, could you start just by giving me your full name? Vernon Daigle: Vernon Roger Daigle."
"AL:","And where were you born?"
"VD:","In Fort Kent, Maine."
"AL:","What was your date of birth? VD : 3/4/1936"
"AL:","And so, you were born in Fort Kent. Were your parents from there, or had they immigrated from Canada?"
"VD:","No, they were both born in Fort Kent."
"AL:","And what were their names?"
"VD:","Alma Daigle, and Eva Dumont Daigle."
"AL:","What did they do for work up in Fort Kent?"
"VD:","Lumberjack, my dad was a lumberjack, and my mother used to be a cook for the lumber camps."
"AL:","How many brothers and sisters did you have?"
"VD:","Nine brothers and five sisters."
"AL:","So your mother was used to cooking for a large number of people."
"VD:","Yeah, we were a big family. Nine boys. We had a heck of a time."
"AL:","What was in like in Aroostook County, way up north?"
"VD:","When I left there I was seven years old, to move to Lewiston , and I don't recall too much about up north."
"AL:","So your parents moved to Lewiston. VD : Yeah, they moved to Lewiston to go work at BIW during the war. They went to build ships or whatever, mom and dad ."
"AL:","Was that unusual, for your mother to work at BIW at that time, or did they need everybody they could get?"
"VD:","Everybody that would pick up bolts and nuts and rivets, I guess. They both worked at BIW for several years I guess."
"AL:","When the war was over, did they go into doing other things?"
"VD:","No, my dad went back in the woods and my mother stayed home and take care of the kids."
"AL:","Where did you fall within the, is it fifteen kids, or fourteen?"
"VD:","Fourteen kids, yeah ."
"AL:","Where were you, in the middle, the older?"
"VD:","Oh , I'm about the middle of the boys. There was, you want me to name them? There was Norman, ahead of me, Morris, Reynold , Donald, and one of them died after Donald, and then there was me, I was the sixth boy. But I still say the fifties was the best time of my life."
"AL:","Why was that?"
"VD:","How could I put it? Everything was better. You were closer to everybody. It seemed I had more fun in the fifties. I was younger."
"AL:","You would have been in your late teens, early twenties."
"VD:","Okay, '36, '46, '56-"
"AL:","Fifty-six, you would have been about twenty."
"VD:","I'd have been about twenty. And I got married at twenty-one. My wife was nineteen."
"AL:","And how many children did the two of you have?"
"VD:","I had two wonderful kids. I have a son Jimmy, and a daughter Sandra. Two beautiful kids."
"AL:","So you moved to Lewiston at the age of seven. What area of Lewiston did you live?"
"VD:","It's right next to Lincoln Street. Cross Street, they used to call it. Cross Street, and then there was Lincoln Street. We stayed there for maybe twenty-some-odd years, and then we moved on Chestnut Street, right by Emile LaCasse Bakery. We moved there."
"AL:","So, what was Lewiston like at that time? Being a kid, what did you do?"
"VD:","Ride my bike. Those days, there was a lumber yard, they used to call it Yard of Skinner, White's Lumber used to pile their wood over there, and that's where we used to go play all the time, White's Lumber yard . It was right next to the Androscoggin River, and that's where we used to go make some camps in there, play cowboys. It was fantastic."
"AL:","Were there lots of other kids in the neighborhood that you could play with?"
"VD:","Oh yeah, a lot of kids. There was a lot of kids. The Labrecques, Dumont, Boutot, unbelievable."
"AL:","And at that time, did you get everywhere most places walking, or did your family have a car?"
"VD:","No, my family didn't have a car. My father never drove, and my mother, if I remember right, she did when she was younger. The only thing we had was a peddle bike, and sometimes my brother would have a little car or something like that."
"AL:","Where did you buy your food? Were there stores nearby? How did that work?"
"VD:","At the time there was, I'm trying to think, the name of the store that was on the corner of Lincoln and Chestnut. Roy, Roy's Supermarket, that's where we used to trade. We used to get it on credit and pay it when we could . There was another store too, across the street, but I really don't remember the name of it though."
"AL:","So you could walk there and buy your groceries."
"VD:","Oh yeah, it was right there, not more than five hundred feet away. It was right next door. Where we used to live on Chestnut street, there used to be Lacasse Bakery, and I used to wash the floors and this and that and he'd pay me some pies."
"AL:","Nice. Do you remember how old you were when you did that?"
"VD:","Sixteen , fifteen, sixteen, whatever. Then I quit school to go work in Rutland, Vermont, in the woods with my dad and two of my brothers, Don and Stanley."
"AL:","And you did that for a couple of years."
"VD:","Done it for about three years, and then I went to work in the shoe shop . No, I'm sorry, I went to work at a body shop first. I worked at the Prospect Hill Garage for maybe three, four years. And then my brother-in-law, Bud Ritchie, showed me how to hand sew, and then I became a hand sewer. And I loved every moment of it."
"AL:","Did you work in the mill before?"
"VD:","When I was eighteen, I worked in the mill when I was eighteen."
"AL:","What did you do at the mill?"
"VD:","I used to work in One and Two weave room. I used to change the, they used to call it the warp. Those big, big rolls there. I used to go get them way on the corner of Main Street. They would be on a little horse that I would push. Sometimes I had to push it all the way to Chestnut Street. I liked it. So I done that for several years."
"AL:","What was the first shoe shop that you went to?"
"VD:","My first shoe shop was Koss Shoe, Koss Shoe, and I didn't work there long. And hen I went at Billings Shoe as a tacker, I used to tack innersoles and all that. And I used to, at that time the hand sewing threads, you had to hackle them by hand . Maybe there was a thousand little needles, and you put them on your wrist and you 'd hackle them to make the ends so you could put a needle on it. So I done that at Belmont for a couple years. And then I used to bring some old shoes home and I'd practice to hand sew."
"AL:","And you said your brother was the first one to show you how."
"VD:","My brother-in-law."
"AL:","Brother-in-law."
"VD:","Yeah, Bud Ritchie."
"AL:","Okay. And what was it, do you remember what it was that he taught you , that helped you become such a good hand sewer?"
"VD:","The basic of it, you know what I mean. Hand sewing is like an art, you 're going to be good at it, or you 're not going to be good at it. And I don't know if he taught me well, whatever, but I was pretty good at it, and I loved it. And like I say, the money was good. And I had hardly no education , I came out of school in fourth grade. So then, I said well, that's going to be my life, so, I think I was very good at it."
"AL:","Over time, did you get better and better, were there techniques that you learned?"
"VD:","No, I'd say once you hit your peak, that's about it. That's about it, right there, know what I mean . And like I say, I loved it. I loved the job, and I loved the work, and I could do it without, how could I put it, I could do my job and talk to you just like I'm doing now. Some people, they got to stop to talk. And I didn't have to stop, I kept on working and whatever."
"AL:","So how did you make good money? It was piece work, right?"
"VD:","Right, the more shoes you sewed, the more money you made. If some guys would do, we'll say, twenty four pairs, I would do thirty-six without sweating. I was just good at it."
"AL:","And did you in some ways make your own hours, or what was your work day like?"
"VD:","Oh , we all had the same hour, from seven to three-thirty mostly, seven in the morning to three-thirty. It was mostly eight hours a day, so everybody would work eight hours a day."
"AL:","And you said there were a lot of hand sewers at Billings. How many, do you recall? VD : We were one hundred and twenty-eight hand sewers, if I remember right. And at Belmont, I would say we were at about the same thing at Belmont three years ago. And like I say, I mostly started at Belmont, and I got fired over there. I had an argument with this guy. And the guy was bad. I mean, usually when you go get your work, you'd take the first case in line. Okay? This guy would go and he'd take the one that he want. So I had an argument with him, and the owner heard about it, because him and the owner were chip-chip. So the owner told Louie Callens (sounds like) to get rid of me, because I had an argument with this guy. I don't want to name him. And Louie came, he says, I'm sorry Vern , you had an argument with so-so? I said, yes. He says, welllzzy told me to get rid of you. I said well, no problem, no problem . And half an hour later I was working the (unintelligible) out in Auburn ."
