"person","text"
"(Interviewer:","Andrea L'Hommedieu) June 28, 2007 Andrea L'Hommedieu: This is an interview for the Brick Makers Oral History Project. This is Andrea L'Hommedieu, and today, I'm interviewing Norm Davis at Morin Brick Company, and it's in Auburn. Is that correct? Norm Davis: Right."
"AL:","In Auburn, Maine, the date is June 28, 2007. Could you start by just giving me your full name?"
"NO:","Norman Davis."
"AL:","And when were you born?"
"NO:","Nineteen forty five."
"AL:","In Auburn?"
"NO:","Waterville."
"AL:","Did you grow up in Waterville?"
"NO:","No, I grew up around Lewiston, in Auburn, South Auburn. 1"
"AL:","So, what was Auburn like when you were growing up, in terms of what it's like today?"
"NO:","I think I've seen a lot of change. The mills and shoe shops are gone. I know that they used to talk about rush hour in Lewiston, it was when Lewiston and Auburn, it was when the mills let out at three o'clock, followed by the shoe shops at four o'clock, and traffic was tied up for a bit. It you went out Center Street, if you got much beyond where Quizno's is today, it was more rural. John White's dairy cows were right where the Auburn Mall is. So that's all changed. The high school, when I was a kid, the high school, Edward Little, up on the hill, didn't exist, although I did go there the last two years of high school. They built it while I was young. A lot of dirt roads, very few in Auburn now, changed. I think the whole landscape has changed. I can remember taking a train from Auburn to go up to Aroostook County, where we had relatives, riding up on the train, that's gone. And I'm younger than most of the old brick makers, but, you know, I think the whole downtown area is totally changed, and pretty much for the better. People have moved out of the city, if you will, and live out in the outskirts a little more, I've seen a lot of growth in housing, residential areas. A lot of the bedroom communities, Minot, Poland, Turner, seem to have grown. A lot of people are commuting into town that didn't used to. New industries, that's the good thing, you know we're more diversified than we were."
"AL:","What did your parents do for work, when you were growing up?"
"NO:","I raised by an aunt and uncle, uncle worked in a brick plant, aunt worked in a shoe factory."
"AL:","Now, was your uncle's involvement with the brick company, was, was that what got you interested, or give you a way in? 2"
"NO:","It didn't necessarily give me a way in, it started as a job after school, and, you know, summers and things, never had any intent of doing it for a career. One thing led to another, Mr. Morin was good to me, helped me finish school, and I just felt I owed him something for using me so well while I was in school, and the rest is history."
"AL:","So, what did you do when you first started, when you were in school?"
"NO:","Sanding brick, picking up broken brick, unloading freight cars that came in, worked on the kiln somewhat, firing them with wood, I did quite a bit of that, that's about it."
"AL:","Can you talk about how the Morin Brick Company has grown and changed over the years?"
"NO:","Yeah, I've seen it go from molding brick on the ground, drying them in the sun, firing the kilns with wood, had a season of approximately a hundred days a year, molding brick, then it would last for another month or two in the fall , while they fired the last of the brick, and then pretty much shut down through the winter, they did very little shipping. That's all changed. They went from that to unmolding brick on wooden pallets and drying them in sheds outdoors, everything air dried, moving things around with forklifts, instead of wheelbarrows. Then it went from that to, instead of loading brick on dump trucks and taking them to a job, and then either unloading them by hand or dumping them in a big pile, through a packaging system, where the brick would be handled with equipment on the truck and forklifts on the job site. In the late '70s, well in the early '70s, we purchased a plant in Gorham, so it gave us double the capacity. Then in the late '70s, we converted this plant to an automated kiln, that just ran twenty four hours a day, seven days a week, and gave us year round production, so that we increased our production somewhat, so it actually doubled production. It eliminated burning wood and all of the interesting things that went with getting enough wood, 3 because we used over two thousand cords of wood a year, and with the increased production, we would have been using twelve to fifteen thousand cords of wood a year, and over a million gallons of oil. So we get a lot of energy efficiencies within the system. And then all through the '80s and '90s, we continued to, as much as we could, apply the latest technology that was available. Finally, in, about four years ago, we determined that it really wasn't feasible any longer to run two plants, here and Gorham, so we brought Gorham's production here, so we increased our capacity once again. It was now large enough that we could put in still more machinery, automate things very well, so we no longer set brick by hand. It's done, other than special runs , pretty much we do it with robotics. We lengthened out our kiln, we get more energy efficiency out of it. We now use approximately thirty five percent of the BTUs to make a brick that we would have used thirty years ago, so, and that was the big thing, energy is so expensive."
"AL:","I have a question. A couple people that I've talked to have said, it was using the wood to fire the bricks that gave it its color. What happens when you go to oil? Or how does that-?"
"ND:","Oil, and then, well, about seven or eight years ago, we put natural gas in as well. No, everybody thought it was the wood that made the color of brick. No, the coloring is a natural thing within the clays. As they're fired, we're actually oxidizing the clay, or rusting the clay, and that's what turns it red . To get the darker blacks, around the edges, it has to go through, and become more of a scientific thing. I would have believed it was wood smoke years ago as well, but as we studied it, we worked with Clemson University, one of the leading ceramic schools in the world, and I did a lot of work with Clemson, went down to Clemson, it's actually the clay oxidizing or rusting, if you will. We do what nature would take thousands of years to do, in a matter of days, which will turn it red, and then when it reaches the maturing temperature, the peak temperature we want, we let smoke go through the kiln. It used to be wood that went 4 through the kiln, we now use natural gas, and we, the smoke starves the atmosphere for oxygen, and when that happens, the brick won't re-oxidize, or turn back to a copper color, it'll stay red and black. So basically, you're just choking the air out of the atmosphere. Years ago, all of this smoke would have just gone off into the atmosphere, off of the top of the kiln, of the old kilns, wood fire kilns. We now can redirect that smoke, down through the firing zone of our kiln, burn it off, so we have almost no visible emissions, and as it burns off, we're getting the benefits of the BTUs left in the smoke. So that's, that's one of the biggest ways that we reduced our energy consumption, is better control of our fuel going into the kiln, and redirecting the smoke and all of the byproducts of poor combustion, because we actually have to create poor combustion to keep the brick red and black, and rather than just putting it off into the atmosphere, and creating an environmental problem, we can redirect it and burn it off. So, you know, we're meeting a lot of environ-, exceeding environmental standards."
"AL:","Right, talk to me a little bit about some of the experiences you've had over the years with brick making. Are there any anecdotes or anything that stand out in your memory?"
