"person","text"
"(Interviewer:","Andrea L'Hommedieu) January 17, 2009 Andrea L'Hommedieu: This is an interview for the Shoe Workers Oral History Project at Museum L-A. The date is Saturday, January 17th, 2009. I'm at the home of Norm Demers in Lewiston , Maine, and this is Andrea L'Hommedieu. Norm, could you start just by giving me your full name?"
"ND:","It's Norman R. Demers."
"AL:","And where and when were you born?"
"ND:","I was born in Providence, Rhode Island, March 27, 1927."
"AL:","Is that the area in which you grew up?"
"NO:","We moved to Maine in 1938, I was eleven years old then."
"AL:","Where in Maine did you live?"
"ND:","We first lived in Auburn for a short time , maybe six months, and then my folks had a house built on Fairmont Avenue in Lewiston and we moved into that. I went, at that time, to Holy Family School. Later I went to Lewiston High, where really, during that time, I had my first experience with shoe factories. The summer vacation after my freshman year, I applied, and got a job, at Lumbard Watson, on Main Street in Auburn, in the cutting room , doing all kinds of jobs, training, which developed into sorting leather, and cutting. What I thought was going to be a summer job, because this was war time , and help was going to the ship yards so the shoe factories were a little short of help, so I stayed on and worked after school, afternoons, Saturdays, and sometimes at night. So that was my beginning with the shoe industry."
"AL:","What was Lewiston like while you were growing up, in terms of how it's different today?"
"ND:","Well, I guess the obvious difference was the people that we have from the outside now. I say that, reserving how I'm going to say it, but the only black boy was a great guy, who was in my class in high school. He was president of his class, and he was a musician, and he ended up being a teacher of blind children , teaching them the piano, in Boston. So it tells you what kind of people there were. I guess that's the biggest change. Of course, Lisbon Street and Main Street, which is where, as youngsters, we hung out, so to speak, obviously those have been major changes, such as there were in any city in America. It think those are the biggest changes. The relationship between Lewiston and Auburn , I think that still exists. There's a competitiveness there, in the schools, in the football team and the other teams, you know. Those were existing then, and I think they still do."
"AL:","Was downtown Lewiston , the business district, was that more popular? It was more of a center for shopping."
"ND:","Oh yeah, well, it was popular too. First of all, there was no malls, so to speak. So young people just walked the streets downtown on a Saturday to see who you might meet, people you knew in the stores. Some of them were just friends, and you would visit with them while you were there, things like that. Lisbon Street, at least for me, was very popular, because even though I was brought up on Fairlawn Avenue, which was a good distance, the likes of which , frequently, I had to walk, or the bus, or the trolley, but that was during the transition between trolleys and buses. But no, that was popular. There were ice cream parlors, and pool rooms that young guys frequented."
"AL:","And what brought your parents to Maine?"
