"person","text"
"(Interviewer:","Andrea L'Hommedieu) June 28, 2007 Andrea L'Hommedieu: This is an interview for the Brick Makers Oral History Project. This is Andrea L'Hommedieu, and today, I'm interviewing Harvey Desgrosseilliers, at Museum L-A, in Lewiston, Maine. The date is June 28, 2007. And Harvey, could you just start by telling me where and when you were born? Harvey Desgrosseilliers: I was born in Rumford, out of Newry, in1935."
"AL:","And is Rumford the area you grew up in?"
"HD:","No, my father was a wood chopper and we used to travel around from camp to camp. My grandfather was a jobber for the Brown Company, so we went to big camps. I was exposed to Slavics and Italians and Russians and all kinds of people at that time. We lived in the woods, with no running water and, you know, things like that, outhouses and chinking in between the logs, you know, and stuff like that, to keep the cold out in the wintertime. I remember all of that."
"AL:","Wow. And so, this is an oral history of brick makers, and so I'm wondering how you came to work in a brickyard and at what age?"
"HD:","And, of course, when you were a teenager in my time, any job was a great job to have, you know, we collected paper and bottles, we collected things for the war, milk pods for, for life vests and things like that, that most people never heard of. We collected rags, newspapers and things, and, and I was a customer working, and I did a lot of work with kindlings. Kindlings is the scrap wood that they used to use when they, they used to come up with that when they make the boards, you know, take the outside and cut it into little pieces. They'd pay us kids a nickel a bundle. We used to have a small container, we'd sit down on the floor, and they'd come in with a dump truck and dump a load of these things on the floor and we'd stick them in there, and then we'd have rubber bands that they'd cut from inner tubes and put them around there and we'd pull them out of that bucket, and they'd have them rubber bands and they'd stack them up there, and we'd get paid three to five cents a bundle. Because at that time everybody burned, most everybody burned wood, you know, and they used to use that to start the fire and stuff. I had a lot of interesting jobs, a lot of them as a kid, you know, a lot of real nice jobs, I really liked them. I liked to work because work gave me respect, you know, I was bilingual and when I came to the city they'd say, what are you, a frog? I didn't know what they were talking about, you know, so I learned how to speak English as quick as I could, and I learned how to drop my accent. After a while they'd say, you don't sound French, you don't look French. But anyway, that's part of my life, you know. My folks never had a car, so hitchhiked everywhere we went at that time."
"AL:","Oh, you hitchhiked with your family?"
"HD:","No, alone."
"AL:","Alone."
"HD:","Yeah, alone. We just, that's they way we got around, you know, and it was a, it was a real interesting life, I mean I could talk to you for an hour about that, or maybe more, but let's, we'll get down to the brick business. When I was about fifteen or so, I went down, I hitchhiked down to Mar-, down to Dennis Brickyard, which was a, a brickyard, not too far from here. 2"
"AL:","Was it in Danville Junction?"
"HD:","No, this was in, in Auburn."
"AL:","Auburn, okay."
"HD:","On Washington Street, right where Crystal Springs is located, they sell bev-, they sell bottled water there. Anyway, I got down there with a, my neighbor, Wayne Smith, we hitchhiked down there, and they hired us and put us to work. He ended, he got done right away, because it was more than he wanted to get involved in. And I liked it and stuck with it, and they liked me and they taught me how to do different things, how to, how to stack the bricks and how to what they call hick them, and I stacked the slabs for burning, and I learned how to burn them and pole them, and it, it was really interesting how they made, I, I loved it, you know, and I loved it because, again as I said before, I, I gained respect from other men because I could do work like they did, and the more I did, the, the better I felt because the nicer they were to me, you know, I, I carried my load. And then I wanted to make bricks, because that's where the big money was, making bricks, that was the big money, I mean we were getting sixty five cents an hour, we went to, I think, a dollar before I got done, I think, I'm pretty sure. But making bricks was, striking, they called it striking, it's a three man crew, was unbelievable. You'd start in the morning at dark, and you had a bathing suit on, you working in water and mud, clay and sand, it was just, it was just, it was just a lot of fun, it was, to me it was fun, because I could, I could, I could go home and sleep later, because I needed my sleep, and all we did was run. I was working on an open yard, you've had interviews with the other guys, they worked on what they call a big machine, they get the mold on the front, they turn around and pump, and turn around like a circle. With us, we had a three man crew, and we had an antiquated machine, the machine that we were working on was run by a mule at one time, and the machine came into the automotive age, or whatever 3 you call it, they hooked a motor on it to turn the thing, and, but that, everything we did was primitive, very primitive, the molds that made the bricks, everything. And what we would do, we had a cart, we'd bring, as I recall this was, well over fifty years ago, sixty years ago when I was doing this, and as I recall , it was-."
"AL:","Was this in the 1940s?"
"HD:","Fifty one."
"AL:","Fifty one, okay, go ahead."
