"person","text"
"(Interviewer:","Andrea L'Hommedieu) April 11, 2006 Andrea L'Hommedieu: This is an interview for the Mill Workers Oral History Project. The date is April 11, 2006, this is Andrea L’Hommedieu, and I’m at the home of Constance Desjardins on Webster Street in Lewiston, Maine. Could you start just by giving me your full name, including your maiden name? Constance Desjardins: Yes, good morning. My name is Constance Moreau Desjardins, and I’m here on Webster Street in Lewiston, and I’m glad to see you today and have an opportunity to review some of these good old times."
"AL:","And could you tell me your date of birth?"
"CD:","It’s April 12, 1928, and I have a birthday tomorrow."
"AL:","Happy birthday tomorrow."
"CD:","Well thank you very much."
"AL:","And where were you born?"
"CD:","Right here in the city of Lewiston."
"AL:","And you grew up here as well?"
"CD:","I grew up here. I had a grandfather who was a mechanic in the weave room at the, what was referred to as the Little Androscoggin Mill. Yeah, for many years he did that, and very, very proud of his work and his family."
"AL:","And what was his name?"
"CD:","His name was Jean Baptiste Bosse."
"AL:","And did either of your parents work in the mills?"
"CD:","My mom, yes, my mother, Aurore Bosse Levesque. She worked in the mill during the war, on a so-called victory shift, it was a partial second shift. I don’t know, I, if I recall, I was going to high school at the time, and I’d come home and she’d get ready to go to work. My brothers were in the military, and it was, I don’t know, four, six hour shift, something like that."
"AL:","And how many brothers and sisters did you have?"
"CD:","I have two brothers, older than me. One of them has passed away, the other one is still with us."
"AL:","And what was it like growing up in Lewiston in the ‘30s and ‘40s? 1"
"CD:","Well, the city is very different, as compared to today, and it was, it was easier to live in those days. You were close to your neighbors, you didn’t have, most people didn’t have a car, you walked. Didn’t take the bus too often. I don’t think we had busses, we had streetcars back then, and that was an experience. And, you know, people didn’t lock their doors, you just went in, in and out. And all the kids were happy. And we played outdoors, because, you know, no television. So we had a good upbringing. I went to, attended parochial school, and my brothers did, too, and that was pretty special. And it, it was easier, not as stressful as today. And everybody talked to everybody else, and it was, it was good. And you were poor, but you didn’t know you were poor, so you didn’t care. Didn’t make any difference. Everybody was the same, you know."
"AL:","Now, did you do your shopping on Lisbon Street?"
"CD:","Well, we had groceries, we had a grocery store in the neighborhood, and you went there just about every other day, because it was convenient. And another thing, you had a, the refrigeration to keep your food was so-called ice box, so your mom had to provide continuous ice, you had to buy from the local ice man traveling up and down the street with his ice truck and buy a block of ice that would fit the ice box, so-called, and keep your food refrigerated. And one of the consequences I guess, the ice melts, and you have to have a bucket to pick up the water. And do not forget to empty the bucket, because it overflows on the kitchen floor, it ruins the ceiling for the tenant below you, and you’re in trouble. So we did our shopping right locally, and yes, it was fun. You’d walk up and down Lisbon Street like you do today in the mall. You had everything you wanted down there, you had your clothing stores, you had your hardware, you had barber shops, beauty shops, a few restaurants. And you could buy sewing needles to washing machines, whatever you needed, it was there. That’s why life was good, yeah. Didn’t have much money to spend, but it was okay. It was okay. We just managed."
"AL:","And growing up in your home, was French the first language you learned?"
"CD:","Oh yes, hm-hmm, yeah. We all spoke French, and then I learned English at the parochial school. It was St. Peter’s and Paul’s parochial school. And they just tore down that building there a few months ago, so that hurts. Because it was a lot of memories, and it was a nice, large building. I don’t know if you had a chance to see it. And we were, oh, six, four, five hundred kids. A lot, a lot of students there. And it was convenient. You didn’t have a cafeteria, you walked home for lunch, you walked home for lunch. So that took care of the day. You’d carry a big school bag with all your books, all your papers to do your homework at night, bring it back. And everybody was, well, was at the same level. By that I mean, we had a uniform. The girls wore a little black dress, usually with a little white collar, it was referred to as smock, and the moms sewed the little black uniforms and, in September, getting ready for a new school year, you outgrow them or you hand-me-down if you had a sister, the uniform would be handed down. So everybody looked alike, there was no, hey, what’s you wearing, you know, what are you going to wear tomorrow. Nothing, you just went to school and that was it. Of course we had nuns, the teachers were all nuns. And the school was divided, the girls would be taught by the nuns, the boys and girls up to I believe was grade four, five. I could be confused. Maybe it was grade f-. Anyway, at one point they separated, the boys went to one side of the building, a wing of the school, we went the, the girls went the other. But the boys, their teachers were male, they were from, well, I don’t want to say an organization but, it was the Brothers of the Sacred Heart that lived here in Lewiston that were teaching the boys. And the nuns were from the order of the Dominican nuns, they were teaching us, the girls. So it, it was interesting how things progressed as you got a little older."
"AL:","And what did your dad do for a living? 2"
"CD:","My dad was, had a good job where, you know, his income was steady. He was, well, he was referred to as an insurance agent. He worked for the Prudential Insurance Company that sold life insurance at that time, so he was going house to house, collecting insurance, imagine that, and selling policies, and doing that in the twin cities. So there was never a lack of income because of, you know, getting laid off or a company making a change, or the Depression. So we were fortunate that way."
"AL:","Now, you got, did you go through high school, through the twelfth grade?"
"CD:","Yes, I went, after the parochial school I went to, I went one year to the, well, it’s the high school level, but there was no St. Dom’s back then, but it was called Cours Supérieur, and the Dominican nuns were teachers. And then I went on to Lewiston High, and I graduated in 1946."
"AL:","And what did you do after that, before you went to the mill? You went to the mill in 1951."
"CD:","Between, after high school, before going to the mill, I was employed by the State of Maine at the State employment office located on Park Street back then. And I was with them, well, let’s see, ‘46, ‘46 until ‘51. I was there about five years. And I enjoyed that."
"AL:","Now, what brought you to the mill?"
"CD:","Well, when you work at the employment office, you come across all these job openings, that’s the purpose of finding jobs for the unemployed. So I came across some information where they were looking for an office girl in the personnel office at the mill, and the salary was so much better than the State was at that time. At that time. So I went for an interview, and I was lucky to be hired, and I made the change. I left a good job to go to the mill because, you know, an extra fifteen dollars those days was a good step up."
"AL:","And so working in the personnel office, did you have contact with the president or other management people?"
"CD:","No, I was at the Bates Division of the Bates Manufacturing Company, and the person in charge was the manager of the personnel department. So we weren’t at all close to the dir-, you know, the president or the higher level of ownership or conducting business."
"AL:","Do you recall who the manager of the personnel department was at that time?"
"CD:","At the time I was there, it was Martin Hastings. He’s passed on now. He was our manager. And then there was another employee by the name of Mike Casey, and a third fella, Mr. Burgess, and I was the only female in that department. So we had a good group, got along very well and did our best to, you know, provide for the people seeking employment and keeping them posted on job changes or whatever needed to be done."
"AL:","And can you talk about what some of your duties were in the office?"
"CD:","Well, I was a clerk, and I would mostly, as the people came in the office I would be like, act like a receptionist, I would greet them and find out their needs and try to get answers for them. And there was a lot of typing, a lot of handwritten reports, and a lot of filing. Gee, there was a lot of filing. You see, the employees belonged to a labor organization, the Textile Workers Union, and that means that you have a lot to do with seniority and job posting. So the files were set up more or less according to that, so that besides being alphabetical by department by seniority, it involved a lot of details. So that made it interesting. 3"
