"person","text"
"(Interviewer:","Andrea L 'Hommedieu) April 2, 2008 Andrea L'Hommedieu: This is an interview for the Shoe Workers Oral History Project at the Museum L-A. The date is April 2nd, 2008. I'm at the home of Penny Drouin, and this is Andrea L'Hommedieu. Mrs. Drouin, could you start just by giving me your full name? Penny Drouin: My full name is Hermance Drouin, I was known with an alias, as Penny in those days, and I hope that I can be useful to th is project, and share what I remember, and how the experiences I've had while working at Knapp Shoe."
"AL:","And did you work at Knapp Shoe all of your years in the shoe shops?"
"PO:","No, I've worked in the shoe factory when I was about fourteen , fifteen."
"AL:","And what, what one was that?"
"PO:","That was up, that was up in Auburn at the old Cushman building. I can't remember the factory, the shoe factory that was at the top, and then I went to department store work, then I went to my own tailoring place, then I went, I went into a lot of different things, but I settled in at Knapp Shoe, like for over, I worked there for over thirty years, until the mid seventies. I retired at seventy two from there, because of my husband, he was a wounded World War II veteran, had died at ninety three, so I stopped working after he was, he passed away, so I could enjoy the rest of my life. And things were getting a little too heavy at that age, because factory work at Knapp Shoe was very heavy work, and it took its toll on our energy and some of our health."
"AL:","Now, where and when were you born?"
"PO:","Oh, I was born October 22nd, October 20, October 22, 1922. I should remember that easy."
"AL:","And where were you born?"
"PO:","I was born here in Lewiston, the only one of a big family, Canadians that came from Canada and eventually were heading for Lawrence, Massachusetts, to work out there, where my mother's sisters had set up jobs for them, but with all the stuff that was happening, heading into the Depression, they, they, my parents stopped in Lewiston and I wind up being the only one born there, here."
"AL:","Oh wow, and so, so are you the youngest?"
"PO:","I'm the youngest of a big family."
"AL:","How many are there in your family?"
"PO:","There were seven living, seven living in my family, but my mother had lost four pregnancies, so we were like thirteen kids, I think."
"AL:","So, what was it like growing up in Lewiston in the '30s and 40's?"
"PO:","It was nice, and I think about all the good things. The railroad stations, the trains that my father worked on the railroad, so we used to have me and some little friends we used to have there, and sit in the, in the, where you come in for your tickets, and we'd watch the trains go by. Sometimes my father had gotten us on to take a ride over the bridge. It was so exciting, and we were so scared , me especially, I never learned to swim. So it was, it was a real nice experience. And I remember the snow sleighs coming down the streets, with horses and with their little bells ringing , so we'd know that they were on the road . I remember that next to my house, where the Main Street fire , where the fire department is now, I grew up there, and my mother kept us in a very confined area, because of things that were going on in the '30s, like the booze (unintelligible), that people would go in to buy homemade brew here and there, and with a whole lot of commotion going on, so I was kind of restricted. I thought the world was only that big, you know, around Ash Street, around, not beyond Ash, Ash to Main Street, and from Middle Street, where I was born, to, to Blake Street, that's all the (unintelligible) part, I'd lived there all my life, when I was young, so, for me, it was. And on the corner where the fire station is, they had the horseshoe place, that they would shoe the horses. We used to go look and they'd never let us go in, we'd thought it was so exciting to see them, the sparks flying when they were putting the horseshoes on. And the city yard was next to it, and we used to go over the fence to, to go play in there, bunch of us kids, when it was closed on Sundays and they had fences, but we could get over them easy, and we used to go in there, and we'd , we'd step, we'd climb up in the, they had these, to carry tar I guess, the back side of the truck would tip down, so we used to run up and down in there, thinking it was so exciting, wow. But, but then after growing up, my life was not, it was kind of quiet at home, because my parents kept us around a lot, we weren't allowed to go everywhere, because my parents were old when I was young, being the last child. So, we had, I remember going out to Santa Claus, Salvation Army used to play music on the corner of Main and Park Street, we could go there. The city park in Lewiston, we used to go there every Saturday to listen to the band, the Saint Cecil Band that was playing at that time, it was nice. We used to walk around, of course we noticed the boys that were walking around too, being thirteen and fourteen , lots of fun, that was nice. I was so shy, I don't know, I made believe that I never noticed and kept looking at the ground when they come facing towards me, but I knew they were there. So we had , we had a real nice growing up experience. That's where I met my husband, when we were fourteen . We stayed married for sixty years. The romance never ended, it was straight through sixty years, through the hard times, through anything. It was always a partnership that we worked together at. We were happy, but even if we had a big family, it's not the amount of money or the riches that you have, it's nice if you have it, but if you don't, if you have love, and you can have a, build a nice life and teach a kid that you love them, and you know, (unintelligible) that you're forgiving for the growing up years, I think you wind up with a fairly great family. Mine, I think, is wonderful. I think that's my, my treasure in life, my children."
"AL:","And how many children did you have?"
"PR:","I had seven. Now they're catching up with me in years, some are sixty one, some are, they're all pretty much following one another in age, except the two last ones, they were ten years difference and the other one four, the last two that I had. So, I was busy. And then I started working at Knapp Shoe, before my daughter here, the youngest, she was probably four or five, and I've worked there until evidently way over '70, 1977, because they took that picture at that time, and I worked until '80, '80 something, '82 maybe, 1982, it's a long stretch. It was a long stretch, but you know department, the store work and being salesperson and all that, that didn't pay like if you were fast (unintelligible). When I entered Knapp Shoe, I just knew how to sew, the rest to me was strange, and one of my girlfriends, I says, I need to go where I can earn more money to help with supporting my family, growing up, because both my husband and I wanted them educated, so and they all seemed to have wanted to, except one. So, for us, it was a big advantage, I guess we made the right choice. So, I finally went in, applied, and they took me right off, and I started doing little jobs here and there, but then I started on the sewing part of it, and I remember sewing on a job that was like a fancy stitching on the men's vamps, and those were like, that one machine had about six to eight needles. Now, if ever there was a skip in one little thing at Knapp Shoe, the work had to be done right. We used to have to redo and try to fix it, and make, make it like it was supposed to be. They were very strict with their work. But then I was always very careful and very work oriented to do the best I could give anyway, so that kind of let me through more probably than someone that wasn't fussy about what they did. It was, I'd, that was fancy stitching. Then I went, they put me on top stitching. Now that was something big. The vamps style stitching on the fancy wasn't hard, it was piece, piece by piece. Now these big engineered boots that went up to the knee, for all kinds of work, male boots, those were heavy and hard to handle. That was hard work, all those years. You developed (unintelligible) , you developed all kinds of things you're left with and you know it had to go back to the work floors . We had to reach for work that was, they used to put the wires to put the boots on when they were done and hook them back up on the top of, of, of pipes they had running up a little lower than the ceiling, we couldn't have reached it, but it was hard to do. So in the factory, being a piecework person, you have to work really hard and fast and well to do, to be able to put your quota out, so."
"AL:","Right, let me pause for just a second."
"PO:","I always made, I always made sure that I came in on time. When we know the hours of work, I'm very consistent with what I do most of my life, so when we know the work of hours was from seven to four or five, mostly five. And I always made sure that I came in early enough to, to try to save time, because to the company, the important thing was to put the work out, because to meet their, the deadlines on the deliveries, so it was, it was a struggle, but it was always rushing. So I used to, I found ways, having been the stitcher with Cole's and all this, I found ways in the morning or at noontime, during our time, to make sure I got my thread, I got my needles, I got my, my, my machine cleaned and setup, instead of waiting while I'm working, it breaks down, you have to go put your name, whatever I could for my machine, I would do it, so that kind of helped me to have a better paycheck at the end of the month, plus be proud in a way of the work that I was doing, because it always mattered. If I get paid for something, I like to give my money's worth, you know, their money's worth. So for me, it was, it was like I say, hard work, and you have to be quick with your hands when you work in a factory, piecework. It's not the easiest thing to do, but you, you get used to it. And the company always expected good quality anyway. They were very fussy. Sometimes, the, the man who owned Knapp Shoe, Mr. Knapp, would come from Massachusetts, and he would, there was no union at our place, but there was in Massachusetts, he used to come every now and then to visit the people, one to one. Very, very nice, very likable person, and he made us feel good about the work we did, checking what we did, and what our records were. So for me, I thought that was (unintelligible), giving your best to, to a company that tries to make your living better, you know, and at least your earning living. The work was hard, this I think anybody can say it was easy, working at Knapp Shoe. It was heavy work, it was real , you got out of there, you knew you had worked."
"AL:","Yeah, did you get any benefits? Were there vacations?"
"PO:","Well, we had vacation pays."
"AL:","Sick pay?"
"PO:","Yes, we used to have, depending on the amount of years, you had two, three, four. When I quit, I think I was up for four or five weeks of vacation pay, and somehow I kept working, I wasn't feeling good , my health was deteriorating, and I kept thinking, I've got to hold on and hold on. From the time I was sixty to seventy two, I think, I was working, always saying, boy, I'll be glad when I retire, I'll be glad when I retire. But I didn't until I was seventy two almost, quit work. So and Mr., Mr. Harrison Foster was our top man here, and there's a Bouch-, I don't know what his name was, his last name was Bouchard, I know him, and I still see him somewheres sometimes at banquets I've gone to, I've seen him there. He, he was the second man beyond , after Foster. And our boss, I was in the stitching room working and he, his name was Butch Richards. Nice, all nice, nice, likable men, very business oriented, very work oriented . Sometimes they'd come in, especially Mr. Foster or Mr. Knapp, with a ruler, and we knew what that was for. If they wanted just so many stitches to an inch, that's what you had to do, to correct, so it was, it was pretty, a matter of fact, it was, it was all right for them to expect the way they wanted things done. So, our lunch hour was like from twelve, twelve, twelve th irty sometimes to one, but mostly twelve to one. I used to sit with the girls, we made good friends that are forever friends, when you work in places like that. And we used to have our lunch and hurry, and then we'd knit, crochet, like instead of sitting, resting , we, we found it was distracting, too contrary to what we were doing, so used to knit and crochet, make quilts, and whatever. So, and then we used to sometimes, one of the friends that sat next to me, who is still a good friend today, I haven't seen her, in between working there with her and, and finding her again, there was a twenty some years space there we didn't see each other, and then all of a sudden, when my husband died, she appeared again . At that time, that was, I think I needed probably someone like that to inspire me to get into something, not to just stay at home, and I did. I joined a small elderly group, well small, thirty people at that time, now they've (unintelligible) back, which I've stayed with, and because, and we meet once a week, and now we're probably just about, most, a lot have passed away, but it was such a nice rewarding thing to do this, because it kept me more alert with life, with not retrieving into a sad, a sadness that would have kept me just doing nothing. So that was a kind of a reward , having met her in my lifetime. So, so if we were quick with our hands and alert and did good work, we were there for life if we, you know, at Knapp Shoe they were very, very concerned about keeping, maintaining their people. They tried hard not to, to have to let you go. But between that and the years between, there was a strike at Knapp Shoe. I don't know if people remember that, I don't think that is something that no one probably ever forgot, but a lot of people of that generation have passed away so. They had a strike, because in Lewiston here, it was the only branch of Knapp Shoe that was not, that didn't have, what -."
"AL:","The union?"
"PO:","The union, that's right. So what they did is the, I had a brother-in-law that was working as a cutter on the upper floor from us, and that group of cutters started to get together to start fighting to have the union come in. So they worked on everybody in the factory to join them and to be, and most people did . But the ones that did, all lost their jobs, because they never, they, Mr. Foster, of course I shouldn't say probably just the good things, but there's all sides to people, and he had decided to, that it wasn't going to happen here, probably because the Boston factory didn't want this one to be unionized. They'd have to pay certain wages, as opposed to what we were getting here for the heavy work we did. So they str-, they invited the cutters to come to a meeting with just them, not the rest of the people, the factory didn't know about it. So they went in, and they talked them into, made it so interesting and so good for them that they broke that, that, they broke that the strike, so we were all called back in, the ones that had gone on strike had lost their jobs. I have a friend and her husband , both worked there, they both lost their jobs, that was sad, that was a hard time. Myself, I don't know if they would have let me go or not, but I don't think I got into it enough, that I developed a blood clot. I was prone to having phlebitis and all this good stuff, so I was in the hospital at the time. But they were nice enough, they send me a letter, telling me not to worry, my job would be waiting for me. I thought, you know, gee, I don't know why, because most people that were on strike were, were let go."
"AL:","Do you remember about what year was that, or decade? Was it '60s, '70s?"
"PO:","I can't really, I know my, my life there was from the, from the years of '48, '40 to '63, '70 something. So I was there like thirty years or thirty, so for me, I've been trying to get back to the actual dates, but I had so much going, you know. I took people in at home in my house that didn't have a home, I'd take (unintelligible). I said, my house is Grand Central Station, and, but he needs a spot, it's open. So all those years kept me so busy, and I got so busy volunteering with the elderly, with the sick in nursing homes and their homes, and I just ended that just a few years, two years ago, because I got so I couldn't depend on how I'd feel day to day. But that was my, my big drop back to something else."
"AL:","Now how did you come to be working in a factory at the age of fourteen?"
"PO:","Oh god, from a big family, we had to-."
"AL:","You had to work?"
"PO:","We had to go work, and I used to walk from Lewiston up to Auburn, and back home at night. And I remember the time of the flood , the water was up at the bridge, and I never learned to swim, because my parents were old when I was young. I was the youngest of all the family, so they didn't have a car, didn't have a phone. So I remember crossing that bridge just the same, as fearful as I was, to get back home, so I wouldn't be kept out there. I didn't know who or what or where I'd go from there, so I remember those years a bit too. So there's, so it's to keep all this together, it's the (unintelligible) that's, that makes life full. Over there I had to, I'm trying to think, I did some trimming with the sharp knife, that was trimming around, I did sewing there too."
"AL:","When you were fourteen?"
"PD:","Yes."
"AL:","Yeah ."
"PD:","They had put me on a sewing job too, I remember. I remember some of the girls in my mind, my, the faces and the, that goes a long ways too. So, there's quite a -."
"AL:","So growing up and being from a big family and coming here, your family emigrating from Canada, you must have had a lot traditional French food in your home?"
