"person","text"
"(Interviewer:","Andrea L 'Hommedieu) May 14,2008 Andrea L'Hommedieu: This is an interview for the Shoe Workers Oral History Project at Museum L-A. The date is May 14th, 2008. I'm at the home of Betty Dutil, and this is Andrea L'Hommedieu. Did I pronounce your name correctly? Betty Dutil: Hmm-hmm."
"AL:","And how do you spell your name?"
"BD:","D-U-T-1-L."
"AL:","And where and when were you born?"
"BD:","I was born in Pittsfield , Massachusetts, in 1940."
"AL:","Did you grow up there?"
"BD:","No, no, after my father died, we moved here."
"AL:","So, your mom moved to the Lewiston area?"
"BD:","Yeah, oh yeah."
"AL:","And what did your mother do for work?"
"BD:","She worked in the mills, and then she worked at the Bonafide Mill, where they made floor linoleum. She worked in nursing homes and Hillcrest, and that's where she retired from, in the Hillcrest."
"AL:","And how many brothers and sisters did you have?"
"BD:","None, I'm the only brat in the family."
"AL:","So you were here in the, what age were you, when you moved here?"
"BD:","I was about a year and a half."
"AL:","Oh, so very young?"
"BD:","Yeah."
"AL:","So you were in the '40s and '50s and '60s?"
"BD:","Hmm-hmm ."
"AL:","What was the Lewiston community like at that time?"
"BD:","Well in the '40s, I didn't, I lived here in Lewiston, but I grew, as a kid, I lived a lot in Lisbon. I was, my mother had to work, so she had me kept by, and she wanted older people, so they, I wouldn't get in trouble, I guess. And then I went to Marcotte home, where I was there for four years. So it was quiet, it's not like it is today."
"AL:","Right, and you said, how old were you when you first started working in the shoe shop?"
"BD:","I was sixteen, I just, sixteen. We had to have a workers' permit. I remember that, I had to go to city hall to get a workers' permit, I was sixteen."
"AL:","How many hours a week did you work at that age?"
"BD:","We worked eight hours, and sometimes we worked on Saturday mornings, but we worked eight hours a day."
"AL:","Which shoe shop was it, that you began working?"
"BD:","Shapiro."
"AL:","Where was that?"
"BD:","It was on Goff Street, let's see now, I think there's a, I don't remember over there, what's over there now. There's, it must be, they probably tore it down, I don't know. I go by there a lot, but I don't, I don't look to."
"AL:","Now what, now what different jobs did you have when you first started?"
"BD:","When I first started, we, I used to clean the soles and I did some cementing. We, I couldn 't work on machineries at that age, so it had to be things that we did by hand, like clean ing the soles or like cementing. We used to just put the sole in cement and then put them, put them on. I don't remember, it's been so long, I don't remember."
"AL:","Now, did you stay there for long?"
"BD:","I stayed there for about a year, a year, about a year, and then when it starts slowing, the last ones were out first, you know, when it slowed, it slowed down, in the slow times, so. And I went to work at Hillcrest, and I was there for ten years. And I went to, went back to the shoe shops. And I pretty much, well, closed everyone of them."
"AL:","Yeah, so what were some of the other jobs? Where did you go after Hillcrest, which shoe shop?"
"BD:","I went to, I'm trying to think of the name, they made sneakers, it was up by the airport, up in Auburn, oh , try to think of it."
"AL:","That's the one I can't think of either. Fancy?"
"BD:","No."
"AL:","Not Fancy, not Falcon?"
"BD:","No."
"AL:","Cole Haan? There's Maine Shoe, Melvee, Allen-Edmunds."
"BD:","No, they were right, way up in, not far from the airport. They made sneakers."
"AL:","I'll have to find out which one that is, but anyway, what did you do in that position? Did you have the same type of jobs?"
"BD:","We tacked, I started by tacking the sneakers, they have to tack the top to the inner sole, so they could go around, they called it the camborian operation. They would go around to st-. to fit the soles to the, I mean the top to the soles, and then they would put cement on, cement them, and then put the out soles on them. That's what I started doing, and I, I did camborian operation after that. There's a machine, you go, you just went around the -."
"AL:","So did, and did you get paid by piecework, or by the hour?"
"BD:","No, we were paid by the hour. We had to, we had to do so many a day, and if you made the, if you made that quota, then you could work. They make you make sometimes a few hundreds before more than what the quota was, and then they pay us ' more I think for that, but we never worked eight hours, because we always put in our quota before. So we'd leave around one thirty, two o'clock in the afternoon, so. It was a good job."
"AL:","That was nice."
"BD:","Yeah ."
"AL:","Did you have a lot of friends that also worked in the shoe shops, or did you become friends from your time there?"
"BD:","Oh, when I started there, there was a friend of mine, we both went looking for a job. I made a lot of friends in the shoe shops. My close friends, we didn't, well they, some of them got married and left town, so. But the one I went to work there was, she was one of my closest friends and we grew up together so. But we did , I did make good friends."
"AL:","Did you do things together, people in the shoe shops do things together outside of work? Were there like bowling leagues -."
"BD:","Yes, bowling leagues."
"AL:","Baseball or -?"
"BD:","I bowled for about fifteen years. We bowled, we were a group of people, we joined leagues. It was -."
"AL:","And where was the bowling alley that you used?"
"BD:","In Auburn."
"AL:","The Auburn Lanes?"
"BD:","Right, the Auburn Lanes. I still see some people I bowled with, and they, they say that they're still bowling, but they have to go to Lisbon Falls now, because it was candle pin bowling."
"AL:","So what other jobs did you have in the shoe shops over the years, can you talk about?"
"BD:","Quite a, at Songo and Bel Moe, Bel Moe, I started stitching at Bel Moe. And then when I went, I left Bel Moe, I went to Knapp, and there I did some vamping. Then there was, I stitched, what did do with, I did -."
"AL:","Yes, so, so you were talking, you mentioned, you pretty much closed down with the different shoe shops, so you would work at one and then it would start closing down, and you'd go find work at another one?"
"BD:","Yeah, and then I left Knapp, and I went to Bel Moe, and then I left Bel Moe and I went to Songo. Songo was a good place to work. They closed , and then I went downstairs to one of the shoe shops, they're, I'm trying to remember. They had a, they did some stitching down there, and I stitched there, I can 't remember what I did over there, must have been vamping or, because I was stitching, and that's pretty much what I did. But in a few of them, I did a lot of cripples."
"AL:","What are those?"
"BD:","I fixed , fixed the cripples. If you have cripples, you, you know, it's like if there's some stitches missing or things, you repair them. They used to call it cripples, but it's repairing them. I did that at Songo. I started some of that at Bel Moe, but that's what I did at Songo. Then I went to the Supreme Slippers, I did that for a while, until the woman came in, came back, and she didn't want me to do anything, so I went back to vamping. Trying to think now, I went to Nike. Nike was a good shop to work with. I did cripples on that too and there. Unfortunately, it didn't stay open too long, because-."
"AL:","Oh, the Nike?"
"BD:","Yeah, yeah."
"AL:","Yeah, because I didn't even know there was one here."
"BD:","Yeah, yeah, it didn't last too long. I don't know if they, they were, I don't think -."
"AL:","Do you know why?"
"BD:","I guess they were cutting down, because they had one, one at the, in Sanford, I think, and they opened over here, but it was just, it wasn't very big. And then it stayed, I don't know if they're , I don't think they were there, they were in Lewiston for a year, and I think now they're only up in the west somewhere. But they, they pay good and they, the work was good . Of course, I followed my boss, because I had the same boss three or four places."
"AL:","Oh, really?"
"BD:","Yeah, he would, well, one place would close and then we'd go too. The first thing I'd know, I go in and there he was."
"AL:","Did you go through any periods of strikes?"
"BD:","No."
"AL:","No?"
"BD:","No, the strike was, the strikes were before, the biggest strikes, I think, in the shoe shop was in the '30s."
"AL:","Yeah."
"BD:","And I wasn't born then, so . But I -."
"AL:","I didn't know, I thought there were possibly smaller ones here in the area ."
"BD:","I think there were probably some smaller ones, but I never was involved in strike, in the union, so. I don't think any place that I worked was union, unionized."
"AL:","So the shoe shops, they were just going out of business, left and right?"
"BD:","Well, they were moving down south. There's a, was it Songo that went to, one went to Mexico, and the other went to south, one of those islands, and I can't remember the name of it. Yeah, because they're cheap, the labor was cheap. But I know of some that one company, what they made pocketbooks, they went to Mexico, and they were sorry they had gone there. They would have come back, but it would have been too much, I guess. But I remember hearing one of the men saying that he wish he would have never gone. It's the same thing now with clothes and toys, China and Japan."
"AL:","Yeah, now were there others you worked with or bosses, that can remember and talk about a little bit?"
