"person","text"
"(Interviewer:","Andrea L 'Hommedieu) January 23, 2009 Andrea L'Hommedieu: This is an interview for the Shoe Workers Oral History Project at the Museum L-A. The date is January 23, 2009, and I'm at the home of Roger Farnum in Lewiston-Auburn, Maine. This is Andrea L. Hommedieu. Roger, could you start just by giving me your full name. Roger Farnum: Roger Farnum ."
"AL:","And where were you born?"
"RF:","February 13, 1933."
"AL:","And was that in Lewiston or-?"
"RF:","Yes, it was in Lewiston."
"AL:","And what were your parents' names?"
"RF:","Wesley and Evelyn Farnum."
"AL:","And were they from Lewiston too?"
"RF:","We were from Turner originally, they lived in Turner."
"AL:","And what did they do for work when you were growing up?"
"RF:","My father worked at the Blue Tree, and then he worked for R.I. Mitchell."
"AL:","And what's that?"
"RF:","It was an automotive supply store that sold all over the state."
"AL:","Okay."
"RF:","And he was the head shipper."
"AL:","Wow."
"RF:","And my mother worked for years at the (name) in Turner, hooking rugs, and hooked rugs."
"AL:","That must of been interesting too."
"RF:","It was, it was very interesting."
"AL:","I'm sure they had a lot patterns that she had to learn?"
"RF:","No, not really. She was a repairer. They hooked them , they call it hand hook but they actually hooked it with a machine, with a hand-held machine, which they'd go around the desk and they had the pattern right there and they knew what colors, you know, flowers and what to fill in and everything. But once in a wh ile they'd make a little skip and they'd inspect them and if they saw a little place where it wasn 't filled in , they'd do it by hand."
"AL:","I see. And so how many brothers and sisters did you have?"
"RF:","I had two brothers, one three years older and one nine years younger. The older one passed away last summer. A side thing, my mother and father were married at the Lewiston Armory with five thousand people present."
"AL:","And now, why was that?"
"RF:","Well the people, the merchants in Lewiston-Auburn used to put this show on once a year and they'd give them all kind of furniture and things, and my father at the time was working at Central Maine Power Company in Gulf Island Dam and somebody heard him say that he was getting married that fall so they wanted them - they were looking for someone to get married at the Armory. So he said okay, we'll do it."
"AL:","Oh, wow."
"RF:","There were five thousand people present at their wedding."
"AL:","That's a lot of people."
"RF:","Yeah, yeah."
"AL:","Neat."
"RF:","Quite unique."
"AL:","Now which schools did you go to?"
"RF:","I went to school in Turner and graduated from Levine Institute which is now Levine Area High School in 1952. And my wife graduated there in 1950. And she worked for twenty, twenty-one years at Bates College. She was a mimeographer down there."
"AL:","Yeah. And so you did most of your growing up, you r ch ildhood in Turner?"
"RF:","Yeah ."
"AL:","And it's still pretty rural , but how was it different when you were growing up? Was it even more further out from town than it feels today?"
"RF:","Well yes, because the roads weren't as good and it took longer to get from Turner to Auburn then it does now. And there wasn 't much for kids to do around there then, you know, we got into a little trouble now and then."
"AL:","Did you have neighbors that you were friendly with?"
"RF:","Yeah, we did have neighbors. We lived right in town, on the outskirts. So we did have neighbors up both sides and up the street and down the street and across the street."
"AL:","So when did you first get introduced to the shoe industry?"
"RF:","Well, I got married in December because I thought I was going to be inducted into the service, that was during the Korean War. And so we got married in a hurry and I did get my induction , but then they wouldn't take me because of my bad feet so I didn't go. But we moved in, when we got married we moved into Bates College, in the housing units down there for the veteran's, which they had moved houses over, barracks over from the Lewiston-Auburn airport to Bates College and they stood there for several years, and they moved it over for the veteran 's when they got out of WWII to go to Bates and they could stay there, because a lot of them were married so they stayed there."
"AL:","What was that like, living in those barracks?"
"RF:","It wasn 't bad. They were nice apartments, and very inexpensive, ten dollars a week. Everything furnished , you couldn't beat it."
"AL:","Especially as young married people."
"RF:","Yeah. And then I drilled wells that summer, and then when it got cold I didn't want to drill wells anymore so I come down to Lewiston-Auburn looking for a job, and the first placed I worked was over on Ninth Avenue and it was a place called Fitch Brothers Lace Company, and they made lace for the shoe industry. They were actually a division of United Shoe. And then work got slacked there so we got laid off and I ended up over at Cushman Shoe, Charles Cushman Company in Auburn, right across from what used to be Max Variety, which is now a Thai restaurant I believe, while Union Street bypass goes through there now."
"AL:","Right."
"RF:","And after that, well I went there and I explained to the guy that I was going to be inducted but, well you need a job before you go, you can 't starve to death so I'll hire you, I don't care how long you're here. So as it ended up, I quit the job to go in the service and then when I got down to Portland I was already to be sworn in and they decided I couldn 't go anyway. So I come back, and I went back in there and I worked there six years."
"AL:","What did you do? What were your jobs there?"
"RF:","A lot of different odd jobs, you know, putting up lace and putting up the work, putting the lace and uppers on cases on racks to be laced. And we worked there during the summer time during our vacation. We always worked for (name) Services which maintained the building and washed windows and repaired floors and things like that, that, something had to be done and they couldn 't do it while the factory was running because there was to much activity so they did it during the July vacation. So it was several years we didn't have a vacation , we worked our summer vacation, and things were tough . So I spend six years there, and then I went out on the road and tried to sell but it was a very competitive business. It was latex cement, and the problem with latex cement is, it was a dozen people selling it and if you call up and said well, I can't beat the price, oh well, we'll beat the price, and all they do is add water to it and make it so we 'd beat the price but the cement wouldn 't work."
"AL:","Right."
"RF:","They got too much water in it and it wouldn 't stick. So it was a tough business. Then I went into Air Tred and worked there for a few months, and then I left there and went to work for Compo, the same company that Bert worked for."
"AL:","Oh, okay."
"RF:","And I worked there six or seven years, and then I went out and worked for three years for United Shoe and then I went to work for Bigsby."
"AL:","And at United Shoe, what did you do?"
"RF:","That was a machinery company. It was the biggest machinery company in the world and we repaired machinery. They'd sell machinery and lease it and we wou ld go in and repair it, and there we were just agents that repaired machinery."
"AL:","Right. And then you joined Compo?"
"RF:","No, it was Compo first."
"AL:","Compo."
"RF:","Then I went from Compo to United Shoe."
"AL:","Yes, and then to Bigsby?"
"RF:","Then I went to (unintelligible) on (unintelligible) Avenue when I started, and then they closed that unit down and merged everything into Massachusetts and I transferred down there. Although I didn't go down there, I stayed right here and worked out of my house."
"AL:","I see."
"RF:","So I covered the whole state of Maine. And when I started , there was sixty-five factories in the state of Maine and now there's three . Four actually, and three of them are one company. You have three factories and then (unintelligible ) and business."
"AL:","And at Bigsby you were on the sales side of things, right?"
"RF:","I was a salesman."
"AL:","But can you talk about what your job was and how, you know, how it is that you fed the shoe industry?"
