"person","text"
"(Interviewer:","Andrea L'Hommedieu) August20,2009 Andrea L'Hommedieu: This is an interview for the Shoe Workers Oral History Project at the Museum L.A. The date is August 20, 2009, and this is the second interview we're doing with Jerome Feinstein, and this is Andrea L'Hommedieu. Last time we left off, we had made it through World War II, your experiences there. And we want to get to your time in Maine and how you got involved , in different ways, in the shoe industry. Can you set that context for us? Jerome Feinstein: Well, I can tell you this, let's start when I came back from the service. I came back and took over- and I'll cut through a lot of the red tape- I took over as manager of the Clark Shoe Company. They were making men's Goodyear welt shoes. I had complete authority in there, I even bossed the boss around, Mr. Koss. What I said went, because he himself depended on my decisions and everything that went along with it. Now, from that point on , and this is in the year 1946, when I took over his plant, I remained with him until the year 1961 . In the early part of '61, I myself went in the business on my own. He made men's Goodyear welts. I went in, I would not make the same type shoes that he would make, I went and did something that I never made in my life. I made men's handsewn shoes. So I opened up my own factory, and I figured I'll learn as I go along."
"AL:","And what was the name of that factory?"
"JF:","That was Billings Shoe Company. I had a salesman by the name, had a son who's name was William, Bill, and my son's name was Leonard, and as a result, we took parts of both names and named it Billing Company, at the time, because I didn't want to start anything, as far as Mr. Koss was concerned. I felt close to him, I felt obligated to him, and I certainly did not want to hurt him. When I went in the business, I went in and I still worked for him running his factory, and I would go over to my own factory, where I started it up, at night and I would work there till all hours of the morning. My time, it wasn 't easy for my wife, because I left her alone, and I told her, don't bother and don't feel sorry for me, because I'm young, thank God, and I said, I can do it, and I can take care of myself. Don't make any social arrangements for me either. Do what you want, and I'll go along with you, but don't feel sorry for me, because this is what I want, or I'll never be happy. This is what started then . I then went along with him for another six months, and enough was enough, and I finally said to him that, I think now I have to leave you. In my own plant, all my executives who I hired there and left there, that were running , were all instructed one thing, if anybody applies for a job in here who says they worked for Koss Shoe Company, take their name and telephone number and say, when there's an opening , we'll call you . You make sure you do not hire anybody that works, that uses the name Koss Shoe Company. I don't want him hurt at all. In other words, it's going to be your job. So we took off from there. I started on Washington Street, in a little small place which was originally Chippy Sabelman's (sounds like) wood heel factory, where he started. Now, I had to move, and Woody Brackett was the manager of the city of Auburn at the time, and I said, I got to find a place, I can't close down for time to move, I have to do it over the week's vacation over the fourth . This all has to be over the fourth so I lose no production. We'll be down for a week, and that's when I move. So he said to me, well, we'll find a building for you. I says, you better find it in a hurry. So, we looked. There was the building around the circle there, used to be a bakery, but he says, I have that for you Jerry, you come on in and I'll show it to you. I went in, I says, the bakery, I says, was sky high . You walk in and the ceilings were, if you put in floors in there, you could put in two floors. I says, just empty space. I says, and so what we're talking about was square footage would be on the floor, which meant nothing to me, because I wanted to expand as we went along. I says, so this building wasn't any good . I says, Woody, I appreciate what you're showing me. He says, why don't you hang on . I says, no. Meanwhile I bumped into Bob Roy, who bought the Continental Mill over in Lewiston . He offered me floor space in there, because he just picked it up. I said , I don't need a whole floor, but I want the bottom floor in there. He says, I promised that part to the Shapiro Boys. I says, you promised what to the Shapiros? I promised the first two floors to the Shapiros. I says to him, Bob, they're not going to move. He says, how do you know. I says, because they don't know anything about it. They bought that factory that they're running right now from C.V. Watson, and they bought it just the way it is, and it's the way it's running , and they haven't done a damn thing to it because, I said , they don't know. There's four brothers, and there isn't a guy in there, I says, that's a shoe man. They are not going to move, that I'm telling you. Now you want me to go up on the third floor. He says, that's my word, I gave them my word. I says, all right. Meanwhile, I'm running out of time so I had to take it. Is said, I want you to promise me that I can take that whole hundred and some-odd thousand feet there, but I'm going to partition it off, I says, but I want it kept open for me. I want your word, that all the wings and everything else will be left vacant, and I'll take them as I expand, because I'll be expanding . He says, you got a deal. And that's where I started in 1961 . Further on from that, while I was working there, and I now moved over the week of the fourth, and I got over there, everything was fine. (Aside : shut it off). (Taping paused.)"
"AL:","Go ahead."
"JF:","I'm back now with Koss Shoe for a moment, all right? The process, another shoe, we had to open up another factory because we were making Goodyear welts in the main factory, and down at the end of the street we opened up another factory making cement shoes, men's cements. And this went along for quite awhile, and I got tired of walking from one building to the other to go examen, see what's going on . So maybe out of a lack of becoming lazy from going up and down from one place to the other and walking around, I got a hold of Herb Callahan, who was a contractor, and I said, how about building on an addition onto this building, so I can bring it over. And not only that, I can get rid of all the, I don't need all these executives from over there, all the foremen from the packing, this and that, and these guys in here, and I can save on the overhead. And that's what I did. Anyways, we built on the addition onto the main building of Koss Shoe, and now I assimilated everything and brought it into the Koss Shoe main building, and that was it. Even prior to that, we had some rubber plants there, the mills were so big that I had them drop it there, and I built the building around the mill. I'm jumping all over the place here."
"AL:","That's okay."
"JF:","Anyways, I got that, I built that and I put them all together over there. Now I'm going back to, I'm going to go over to myself. I then gave him the notice, as I mentioned before, that I was getting through, and I went over to Continental Mill, where I finally, after I got done with growing up a little bit and putting things together the way I wanted them , went over, and then, maybe about six to seven months later, I said six months, might have been nine that I was running back and forth doing his, and I got to get through. Then finally, after awhile, about two or three months perhaps, I got a call from Koss and he wanted to know if he could talk to me. I says, yeah, anytime you want. And I said, you can come over here, and he says, I'd rather have you come over here. I said, you feel safer on your grounds, I said , I'll be there. Anytime you want, and I went over. He said to me, I'd like to, let's see if I can make a deal with you. And I said, what kind of a deal you want to make? So he says, I need you. I says, now you 're hurting me, I says, I did everything I possibly could, I says, I hurt myself physically. Joe, I says, just so I wouldn 't hurt you. There isn't any, I never hired any help from you. And they've been instructed, I says, I thought maybe that's what you wanted to talk about, that somebody did come in and they hired and I didn't know anything about it. Because they've been instructed. And, I says, and believe me, I'll throw them right through the window if I find out if that's what they did. I don't want you hurt, I wouldn 't hurt you. I stayed away from making the type shoes you make, completely altogether. I don't want to, I wouldn 't even go into it. So he says, no that isn't what I want. I want you to come in and give me just an hour a day. I says, thanks for the left handed compliment, but I says, Joe, I couldn't do enough for you in one hour, I'm not a genius. I'm ambitious, I like it, I says, you want to know something . You know it as well as I, I'm not interested in the money. I love the work. I love it. Some guys don't. I look at them, how can you be lazy. What the hell are you going to accomplish in life . Where the hell's the challenge for you, mentally. For God sakes, think of yourself, think of your fam ily, think of something. What are you going to do with your life, go around , drink beer, I says, you can 't. But I said , I can't do it. He said , then give me two hours. I said, oh , here we go. I got my own business Joe, I said, I can 't do you any, you got two sons. He says, yeah , you can have them. I said , that isn't nice . Give them an opportunity. He says, I gave you an opportunity, I gave you my oldest one. Yes, you were afraid , you said to me, originally, and I'll repeat the words to you, I don't want you to touch him , I'll take him under my wing. I says, that's your son , good luck to you . I don't blame you, I said, but that only lasted two weeks. Then you came to me, I'll tell you what Jerry, will you do me a favor. What? Will you take him under your wing . I said , wait a minute Joe, you're talking about your son . He says, yeah , will you take him under your wing. Only on one condition , yeah. You leave him alone, and what I say to him goes. If I tell him to get the hell out of here, he's going to get the hell out of here. We got a deal? He says, we got a deal. I said , okay, then you leave him alone. Now you go tell him , send him in here, I want to talk to him., I says And I talked to him. You sit down there Eddie. You go down to the tracks, you're hanging around with the wrong crowd, this is number one. I'm not your father. But if you say, and you do the wrong thing, and you don 't listen to me, I'll kill you . You remember that. And if you think I can't do it, try me, okay. I'm running your father's business for you , so you can have something. So you can have something, not me, you . I'm not afraid of life, but you better be afraid of it. You better learn. I want you to stick to me like wallpaper. You follow me wherever I go, and don't you open up your mouth. You learn from me. And if I say something , don't you try to correct me. Don't you open up your mouth. And you stay away from the track. I don't want any of those bums around here. And if you got a habit of going to any barrooms, stay out of them. I'll buy you the drinks if you want to, okay. You 'll drink with me when I drink. You got a deal? He says, you got it. I said , okay. Now, he says, I'm going out. You stay with me, I said. You sit right on your ass right there, and when I move you move. Because I don't stay in the office all day, I'm out in the plant. I don't even need a foreman, whether you know it or not, okay. I said , (unintelligible), I am. So anyways, that lasted for I don't know how long, maybe about two weeks, three weeks, and that was the end of that show. After that, it went on. Now, he's got another son there, a younger one, Herbie, and he came along into the show there too. He's going to say, so he says to me again, I'm going to put him on the road . I said , be my guest, do whatever you want, he's your son, you take him . I said, you didn't do too good with the other one. He said , neither did you. I said, I'm not his father, I said, you brought him up wrong in the beginning. I said , he doesn't listen to anybody. Does he listen to his mother? He says, okay. I said, it's a different story, I said, I feel sorry, I can't do anything. I got enough running here, and worrying about my own life, I said, I got my own son . This guy was just born at the time. I said , I got my own headaches. I said, what happens, I don't know. Maybe I'll be good, maybe I'll be worse than you , but I got to depend on his mother, she's a good woman . She'll do it. I can 't. I don't know what it is to bring up a kid. I'm interested in myself. I know my weaknesses, I said, I don't know how to show my love. I don't. I can tell you I love you very much, or you 're gorgeous, this and that, very nice. But I can 't. Some guys can hold hands, this and that. I don't hold hands with anybody. I didn't hold hands with my wife , when we walked down. My son, he used to kid us all the time, he says, you know, I never seen you do this, or do that. He said, other guys do. I said, it's not me Lenny, I don't know, maybe I'm bashful or something, I don't know what it is. I just can 't, I says, my father was that way too. I says, it's just maybe a family trait, I don't know. Anyways, we come back now, I'm back in the business, I go in the business. He's offering me to come in and run it, I can't do it, I'm not going to do it, I'm not going to mislead you . I want time for myself a little bit now. I got it, I finally see something ahead of me that I like. I says, anymore than when I go on, I used to make deals with my wife, don't make any arrangements for me, please, don't make any social arrangements for us. And we had a big crowd , we used to get together weekends, and everybody was in this one's house or that one's house. Big gang. They're all gone now. I outlived them all, wonderful. I haven't got a friend in the world now. Not that you had friends then, these are social friends. Maybe I never let anybody get close to me. I don 't know. If I say to you , you're wonderful, boy, that's the biggest compliment I could give you . It is. I just, certain things I can 't express. But anyways, but I'm a real crybaby on top of that. Maybe they go together. I got into this business, from that point on . As I'm sitting there one day, there was a fellow in town here that, he used to promote the fights there, and his son was some councilman. Not a councilman, but he was I think a representative up in Augusta . Promoted fights."
"AL:","I can't think of the name. I almost think I know who you 're talking about."
"JF:","And his son was in politics."
"AL:","I can't think of the name."
"JF:","And then he got a job, oh my gosh , it's on the tip of my tongue . Anyway, he got a job as the industrial developer for the town of Bethel. And he came down to my factory one day, sat down to tell me about it. I says, no kidding, I says, I'm very happy to hear it, I says, that's nice. He used to promote the fights here. Gosh darn it. Anyways, maybe one of these moments out there it will come back to me. He says, I want you to do me a favor, you can do it. Why don't you open up a little factory up in Bethel. What do you mean , just like that, I open up a little factory? What for. He says, I got a job Jerry, up there, he says, I'm supposed to be the industrial developer for the town of Bethel. I said, what do you want from me. I'm not going to move. I like the setup here. Not only that, I'm getting older, I haven't got the energy now for that. Bad enough I got to run my own business. So he says, well, think of some little thing then. Do me a favor. Well, make a long story short, I did him a favor. He talked me up, because there was a doctor, what's his name, up in Bethel, they own this little garage up there, and his brother. And he said the guy went bankrupt or something, anyways, they moved out, or what ever the heck it was. Look, he said, and they want me to develop for this town of Bethel. Anyways, to make a long story short, I said, I don't even know what the hell to make up the re. I said , there's no shoe people up there, they don't know anything about it, and I said, it means I got to start from scratch and break everybody in, in making shoes? Stitches, cutting. You can do it. You can do it. Well, I'd have to start with something, I says, that there isn't too much knowhow, I says, that you got to get in there, that I can have a couple of boys go up there. Let me kick it around. He said, okay, he said , I'll give you a few days. I said, all right. I come home and I said, now this is on my mind, I don't even tell my wife what's going on there, I never told her anything about the business anyway. Went on, went on, went on. Anyways, two days later, he's back down to the plant. What do you say, he says, what do you say, you want to take a ride up there and take a look at it? All right, come on. When we rode up there, well, I never been to Bethel, I don't remember even going to Norway. And whenever I had to go anywhere I never went north , I always went south, because up here, it was the end of civilization. Then I'm going back into civilization , I go back. So I figure , well, I want to go back where there's people. You get frost bitten up there. So I go up to Norway. I says, where the hell is this place, I says, we're riding , and we keep on going, I said, where are you going. Are you going to Canada? So he says, no, no, no, we're almost there. I says, about twenty-five, thirty miles past, on the other side of Norway. So we get there, there's a building there, across the railroad tracks, and right on the other side there, there's a building there. He said, come on , we'll go in and have a cup of coffee, that's Martha's. All right, we went into Martha's. He says, you know, everything, this Martha comes around , older woman, she was older than me. And she says, I got some nice fresh blueberry pie. I said, hey, you know, this is delicious, yeah. You got a little ice cream you want to put on that. You got any ice cream? Sure. She put it on, I sat there. I said , you know, this is a nice little place here. She says, yeah. So he says, you know, he may be opening up a plant next door. I says, what are you talking about? She says, oh, that would be wonderful. It's about time they got something around in this town here to wake them up. So I says, well then maybe I better talk to you because he's not too fam iliar with this town . You got a lot of girls up here, I says, that can sew? She says, oh yeah . How about fellows, you got any men around here, outside of being lumberjacks. That I'm sure you got. But anyway, making a long story short, everything, I'm making a long story short. Anyways, I come back and I open up a moccasin factory, making moccasins with the rawhide lacing going through there. And I think within two or three months I had about a hundred and fifty-five, fifty sixty people there, a hundred and some-odd ."
"AL:","Really?"
"JF:","Yeah . Working, men, women, cutting, had them up there. And I used to hear, my wife says to me, you know something . What. I'm kind of sorry I married you . Why. I think you're crazy. I says, no, I just love it. She says, are you making money or are you losing money. I says, I just love it, go do me something . I said, I'm making money on it."
"AL:","How long did that moccasin place stay alive?"
"JF:","That stayed alive for about, first of all, I got tired of going back and forth. And when I went up there, it was only for a piece of pie and a cup of coffee. Before I went into the plant, I would go into Martha's and sit down, and I'd say to her, Martha , come over here. What's new next door. She says, well, you know, you got a girl over there, she's married, and the one that you got running the place there, whatever his name was there, he was a deputy sheriff there in the community originally, and I gave him a job running it, and broke him in, what I wanted , what to watch it. And he started playing around with her. I don't know from anything. He got a black eye one day, the husband walked in and belted him. He says, he don't know what happened . The guy come in, and me, like a dummy, I'm believing what he's telling me. I says, no kidding, you don't know the guy? No, walked in, he says, I was working over at the desk Jerry, I was getting these papers, this and that, and he hit me, I got a black eye. I says, and you 're a sheriff. What did you do? Well, I found myself on the floor, I picked up, and he said , he was gone. And that's it? What the hell kind of a cop are you? You got to report, they report to you, people, when they do this. What do you do? Don't you go look for the guy. You mean he walked in, he just hits you. What are you , some kind of a dummy? What are you nuts? Boy, I was like this. So I said, okay, I said, I'm going to go get a cup of coffee. I figure I got to go find out from Martha what the hell's going on around th is town ."
"AL:","What the real story is, right?"
