"person","text"
"(Interviewer:","Andrea L'Hommedieu) February 7, 2006 Andrea L'Hommedieu: This is an interview for the Mill Workers Oral History project. The date is February 6th, the year 2006, and we’re at Maine Heritage Weavers in Lewiston, Maine, and I’m interviewing Danny Fitzsimmons, and this is Andrea L’Hommedieu. Could you start just by giving me your full name? Danny Fitzsimmons: Danny E. Fitzsimmons, E stands for Edward."
"AL:","And what’s your date of birth?"
"DF:","October 25th, 1957."
"AL:","And where were you born?"
"DF:","Lewiston."
"AL:","Did you grow up in Lewiston as well?"
"DF:","Yes."
"AL:","What was the Lewiston community like when you were growing up, in terms of looking at it, at the way it is today?"
"DF:","More, a little bit more on the rough side. The taverns and the bars that lined Lisbon Street, one of the being the Manoir which was a really rough and tough hole, barroom that was on Lisbon Street. The mills, both Bates and Libby’s, and the shoe shops, and everything was really running a lot, very, a lot of activity. I remember the railroad tracks and the train that would come down and load off there, there were bales of yarn and stuff and a big (unintelligible word) like a station down where the Number 8 mill is, where the bank is now. Actually there used to be like railroad tracks running across there, and you would always see locomotives down there and stuff, so that was, that was when I was a kid. And I remember we once borrowed the hand trolley (unintelligible phrase), we wasn’t supposed to but somebody forgot to lock it up and we took for a spin. But the, it was more laid back I think in a ways, because you know, you didn’t have a lot of the pressure that you have today. And the jobs were a lot easier to come by. If you got done in one place, you would be hired the next, you know, the next mill would hire you. And, you know, some people would just keep bouncing in between the mills. Lisbon Street was bustling. I remember all the stores, there was Woolworth, W.T. Grant’s, there was five and dime, there was quite a bit of stores on Lisbon Street, and a lot of movement."
"AL:","Was this in the ‘70s did you say?"
"DF:","Yeah, yeah, early ‘70s. I used to have a small paper route with a friend of mine, and we would get 1 our papers, we would always order like twenty-five to fifty more papers than our paper route. And we would always get (unintelligible word) we’d go down to the, a bus station, where the bus stops, because there was people all over the place, because they were using the bus a lot. And we, every day, we’d sell our newspapers and we made more of a profit on that in a week’s time than the paper route ever gave us. So it worked out pretty good for us. But there was a lot of, a lot of activity on Lisbon Street, whereas now there’s not hardly any. People liked to go down Lisbon Street, they enjoyed shopping, you know, on Lisbon Street. And then they turned the street into a disaster that they have now where they, you’re on one side, then you got to the next side, and then you got to go to the next side. By the time you get down to Main Street, you’ve changed lanes about four or five times. That was supposed to alleviate the traffic on Lisbon Street. Well, it did manage to alleviate the traffic, but it also managed to alleviate the businesses on there, too, because, you know, they needed the traffic in order to have the business. And when the city decided that they were going to beautify it, they made a big mistake there. The people were much more friendlier I think, you know."
"AL:","Did either of your parents work in the mill or the shoe shop?"
"DF:","Oh yes, it goes, it goes way, way back."
"AL:","Can you talk about how far back it goes in your family, and who they were?"
"DF:","Let’s see, it would have to be my, I know my grandfather did, and my mother, and my father. My mother was a spinner, my father had been a weaver. My uncle worked in the fringe department, my cousin worked in the complex, I don’t know quite where. My uncles both worked, one of my uncles worked in the card room for a, quite a few years. He worked in the Hill Mill, which was a division of the Bates. Bates had two divisions, there was the Bates Fabrics, and then there was Hill, and then there was the Edwards complex in Augusta. My uncle worked at the Hill Mill for, I’m going to say about twenty some odd years, I think twenty, twenty-one, twenty-two, somewhere around that area. And the Hill Mill closed, and he ended up transferring. They, they had a, a problem because the Hill Mill was closing. They were a part of the Bates Mill, but the seniority wouldn’t transfer and they were going to lose all their seniority and they wouldn’t accept that, and they allowed them to bring their seniority for such things as the vacation pay and stuff like that. But not to, and for job bidding, like the, do like the job bidding, but not the seniority purpose of the, to be on the job."
"AL:","Like the management?"
"DF:","No, it was like, if you were a weaver and you had twenty years in Hill Mill and you transferred over to the Bates, another person that was at Bates only had seventeen years, your seniority wouldn’t rule over his. Their seniority had more leeway, and, but mostly their seniority was just given for their benefits more than anything else, their vacation pay, their pensions, stuff like that, mostly for the benefits."
"AL:","Now, your uncle was one that was at Hill Mill and then transferred over?"
"DF:","Yup."
"AL:","How did he feel about losing the seniority piece?"
"DF:","Well, he, nobody could be happy about that, you know, you, and he had to start all over again, as far as being a low man on the totem pole again, you know. 2"
"AL:","Was there any, did he ever talk about there being tension between the workers, all put together from the two mills?"
"DF:","No, he got along pretty much with everybody. Everybody got along pretty much with everybody else. It was a work environment and you wanted to work, you know. People pretty much got along with everybody, and they had banquets every year, they had a banquet every year, Bates Mill banquet. At one of the banquets they had, this was before my time, but they had Maurice Chevalier at one of their banquets. And then (unintelligible word) would fill the entire Lewiston Armory, and it was a big, big thing. I think they had Rudy Vallee at one time also, I’m not sure about that. One of the major parts of the union I can remember is union of the Bates. The Bates was one part, but I’m sure that part of that Bates was the union part. Without, you know, including the union into the history of Bates is doing it a disservice, because it is a big part of it. Whether it’s good or bad, it was a big, big part of Bates. And people were, more in the weave rooms than anything else, were very strict on their union. They wanted things done a certain way, and sometimes it was a little bit too much but sometimes, you know, it had to be done."
"AL:","Now, was the union already in place when you started working?"
"DF:","Oh yes, yes, the union was there in the, I think the 1950s, yeah, about -"
"AL:","Late ‘40s, early ‘50s?"
"DF:","Yes, yeah."
"AL:","And did you work with Denny Blais at all, did you know -?"
"DF:","I knew Denny, I was just a young peon at the time, you know, wise guy, you know, really young (unintelligible word). But I did go to the union meetings, I did meet Denny Blais. And there was a few (unintelligible word) after him, Oliver, Mr. Oliver, and he was a business agent for a while. Then after Mr. Oliver we had Michael Cavanaugh, and from Michael Cavanaugh we had, a woman, I never remember her name."
"AL:","Lucille Barrett?"
"DF:","No, she would be a pres-, she was the president of the union, of the local."
"AL:","Oh, okay, but this was the higher up person, at the top of the mill."
"DF:","Right, the, initially when they first started the unions were, the union was the United Textile Workers Association. Then they changed over to AFL-CIO, because they merged then and it had business agents as time went by."
"AL:","Did you ever hear of Rose Gilman? Does that name sound familiar? She, I know she was in the union, but I wasn’t sure how she might have connected, so. No?"
"DF:","It’s not ringing no bells."
"AL:","Now you mentioned both your mother and father worked in the mills. What were their names?"
"DF:","My mother’s name was Elizabeth Turcotte, and my father’s name, well he’s actually my stepfather, and his, he was working as a weaver, his name was Rene Turcotte. 3"
"AL:","And was it your mom’s father that also worked in the mill, you said, you had a grandparent?"
"DF:","Yes, yes. And I can’t even remember his name, but he worked in the mill. Her mother, it’s hard to remember what she was doing. I think she was disabled with a (unintelligible word) if I remember right, when I was just a little kid. But he had worked in the mill. And I think some of the pictures of, that I’ve seen, it was a backdrop of the mill, in some of the pictures I’ve seen in the (unintelligible word) gone by. But just about everybody I think that worked in, that’s been in the family worked at the Bates at one time or another."
"AL:","So it was something that connected your family."
"DF:","Yes, you know, it’s not like I wouldn’t say it’s a good life long tradition, but it was a good place to work. You got a good wage, not the best in the world, but you got a good wage. You made an honest wage, you were treated with respect for the most part. Sometimes you had to fight for the respect. But you knew what you were expected to, or what was expected of you when you went in to work and you did what you was expected of and then you went home and you got your paycheck every week. And, you know, a lot of people depended on that. And of course when imports started making a direct impact on the mills and people losing their jobs, that hit Lewiston hard in the later ‘70s, when they started shutting parts of the mill off and laying off people, and having huge layoffs. At that time, Libby was experiencing problems as well, and their payroll had gone down. And the unemployment office was packed to the gills with people (unintelligible phrase) somebody down at unemployment. And it was difficult for a lot of people at the time. Because I remember when I was a kid, the police officer would stop the traffic on Canal Street to let the people out, and they had to stop the traffic for at least ten, fifteen minutes because it would take that long just for the line of people to get from the door out, you know. And they’d be going up Ash Street, and all would you see is from the bottom of the gates all the way up, all you would see is just mass of people walking up, you know, because there were so many people, there were thousands of people that used to work in these mills. And when they let them out, it was, they would just have to stop traffic, there was no way around it. And they would stop it for about ten, fifteen, I think it was ten minutes before the line was enough where they could hold the people back and let the cars go, you know. But it was something else, all you’d see was this block of people coming out, you know. And you had three ways that they’d be coming out. You had the one right across the street here, which some would come out there. And the most, the main entrance and exit, they’d mostly come out of there, but they would come out two doors and all you could see is a mass of people coming through those doors and going across the bridge, and there was a lot of people. It used to be, you know, it used to be nice to see that (unintelligible word) amount of people. They were all on their way home and, you know, a lot of them would stop at, shop on Lisbon Street or, they were all heading home and going on the buses, and taking their bus. Not a lot, it wasn’t, I have to say, you know, back then there wasn’t a lot of people that drove to work. Most of the people walked to work, so I don’t think you had, maybe twenty five percent commuters were actually drive in, the rest of them were all just people that lived around the neighborhood. Whereas today, it would be an operation (unintelligible phrase), you know, people are driving, you have to have cars, you got to have a lot of parking areas, you know. Back then mostly everybody walked to work. They don’t do that no more. We got lazy I guess."
"AL:","Now, at the time you worked there, were there always three shifts running, or did that change over the years? 4"
"DF:","When I started, everything was three shifts. But the shifts were varied from, depending on where you worked. If you worked in the main area, which was Bates, the shifts there was three shifts. If you worked on the security, those shifts were different, the security guards kept totally different shifts. I worked at the Pepperill Mill, where we used to have a swing print operation at the Pepperill Mill, which is the Bleachery. I don’t know if you, when you come down Lisbon Street hill, right on the right hand side there, there’s a big mill complex there? Well, that’s the old Bleachery, and that there used to have a screen print where we print the background on the bedspreads, not woven in but painted on, whatever. Then they would make the designs on the spread. There they worked two shifts, and their shifts started from six to two, and from two to ten. It was a little different than the other one there. The watchmen there would vary greatly, on the watch, so I can’t really give an definite schedule in there."
"AL:","No, that’s okay, yeah. Well let’s talk about, you had several different positions in the mill over the years. Do you remember them in order, or should we just talk about the different, a weave room and -?"
"DF:","Let’s see, I’ll try to remember, I’ll try to get them in order. Let’s see, I was seventeen years old?"
"AL:","Because I’m interested to know what the jobs were, and describing how you did them."
