"person","text"
"(Interviewer:","Andrea L'Hommedieu) June 23, 2005 Andrea L'Hommedieu: This is an oral history interview for the Mill Workers Oral History Project. I'm Andrea L'Hommedieu, and the date is June 23rd, the year 2005. And I'm here with Aime and Aurore Foisy. Could I start with you, and could you state your full name and spell it? Aime Foisy: My full name, A-I-M-E-, Amie, Foisy, F-O-I-S-Y, Foisy."
"AL:","And where and when were you born?"
"Aime:","February 21st, 1919."
"AL:","And where?"
"Aime:","In Auburn, I lived on First Street."
"AL:","So you've gone from First Street to Seventh."
"Aime:","That's right, we went up the hill. It's a good way to go. So, after that, when I was four, my father left my mother for another woman and went to New Jersey, and my mother had to work at the Androscoggin to support herself, so she put the three of her children in an orphanage on Ash Street. It's still there; today it's a place for old people to go to die. There's a word for it, but I can't think of it now. Then we, I went to the orphanage; I was four years old. I stayed there for seven years, and I come out of there, I can't complain about, nothing about the orphanage because the orphanage, the nuns were absolute saints. And when I was six or seven I think, they let my curly hair grow, oh yeah, about three or four months without giving me a haircut, and they cut it right down to the bald, and they took that one hair at a time and they sewed it on a doll made out of wax, and it represented the baby Jesus at Christmas. And I'll tell you, I've been lucky all my life after that. And I've been through hell a few times! So after that, I stayed there until eleven, and I came out and I went to live with my mother and my brothers and sister, and I went to work for, I went to school until I was sixteen years old. They kept me in the seventh grade, instead of putting me in, when I was sixteen, with the other guys that were sixteen into the eighth grade. So I got mad. On my birthday, I was sixteen years old and kids were allowed to go to work. I went to work for the Progressive Bakery down the hill next to the, it used to be there. Four dollars a week, twelve hours a day. But it's good money to be earned. A couple of months later all my friends were working in a wood heel plant and they asked me to come along with them. They paid eight bucks. That wasn't bad, and we only worked about forty hours, so that wasn't bad. I stayed with that, and when I got to be eighteen I became the foreman, that's how well I got along with everybody. They had very nice people there working for, we were working for two men. One was Brownie, and the other one was a Jewish fellow, very nice person. I used to go on trips with them to Vermont to get some maple, hard rock maple to make heels for women's shoes. 1 Manny, Manny Mascot, that was his name. I'm sure that people would like to hear his name again, he must have been gone a long time ago. He was a very nice man, and he was a good guy to work for. I finally, finally they went bankrupt, they run out of money and closed the place down. So they, both of them, they took all the stuff that they could get in their car and got out and went to Massachusetts. But we, somebody advised me to get ourself a lawyer and get our back pay, and we did. We got a nice lawyer, he was on Main Street in Auburn here, I remember, and everybody got their pay. So when it got to my pay, there was twenty-five dollars a week, so I had three weeks to come in. Seventy-five bucks. My wife and I went to Old Orchard with that, and we really had a good time for a couple of days there. So after that, I came back, and then I was getting in the age to get drafted, and the draft came along, I got drafted, I went to Fort Devons and stayed there for a few days, a week, a couple of weeks I think. And then we, they didn't have the jacket that fit me just right, you know, so they kept me there and they had a tailor make my Army jacket. Boy, he made it a good job, beautiful job, the best piece of clothes I ever had on my back after then. Then we stayed there, oh, probably three or four weeks and another thing happened to me. I had already had my shots two weeks earlier, and there was a staff sergeant, because I left after the guys, two weeks after the other guys because they had my jacket ready, and the guy just kept insisting, you're going to stay in Devons until you get your shots. So he gave me another set of shots, five shots. Holy cow. I got on the, it didn't bother me, I thought, hey, I was going to live forever. So we got on the train and everything, and when we got to Pine Camp, the name of the town is, I can't remember. Anyway, when we got there, I got out and put my duffel bag in front of me, and I passed out right in the snow. The next thing I know, I woke up, it was a day later and nurse was sitting in a chair watching me. And it was night, and the nurses were changing, and she was mad, what they had done to me, you know, stupid mistake like that. So as she was turning the corner to go downstairs, she said, they were going to hang that guy if you hadn't come out, or woke up, she said, you can be sure of that. So, hey, it didn't do anything. I was in, you know, half awake and half asleep, so it didn't make any difference. But I could tell that there was big trouble for that poor boy. Well, anyway."
"AL:","Was this 1942?"
"Aime:","It was 19-, I was drafted in 1942, I was drafted February the 4th, 1942, yup. So it was just two weeks later that I got that double shot. Anyway, they treated me real good. They gave me my Pfc. right away, and that's where it remained, because I shot my mouth. You know, I mean, you get mad at this top sergeant, pushes you around, oh, I hate people putting their hands on me. So, one morning I was driving the colonel, (name), oh, what a nice guy, real Southern gentleman, very, very nice. I never did know his first name, but I know it was Col. (name). So we were sitting in the jeep and he says, well, he says, we've made a choice now that we're going to send you to officers training school in Fort (unintelligible word), it's an engineer's school. I would have got myself a real good education free. Oh boy, I made a mistake, but I lost my noodles anyway. So anyway, I said to the colonel, I don't want no damn thing out of this damn Army, all I want is out of this damn Army. Well, he says, I'll see to it that you don't get any more. And he did, I remained a Pfc. all the way. So that's the way it is, you got to 2 know how to have respect for people. So anyway, (unintelligible phrase), I kept driving him, but he never said nothing and I never said nothing either, I was afraid he was going to take my stripe away. So anyway, we stayed at Pine Camp until we left in November. So I came home to get married in September, from Fort –"
"Aurore:","(Unintelligible phrase)."
"Aime:","No, no, no, I was in Texas then. There's a name for that fort. Anyway, I was in Texas, and I drove to Chicago. And then I drove back home, and I'd had nothing to eat for those eighteen hours. I was just nervous, getting married. You know how it is getting married."
"Aurore:","That's why he can't (unintelligible word)."
"Aime:","Wait until we get to that, wait until you hear that. So, I got off the train and went home and met my mother and my brothers, and then I went, oh no, that's when I was discharged, eh? Yeah. That's not the way it happened. I came home -"
"Aurore:","On a three day furlough."
"Aime:","A three day furlough, right. And I went up to your house to talk about the wedding, that I remember. And we went to church, in that little chapel in, at St. Peter's, there's a little chapel in the back there, and we went to get married. So the priest turns around, he wanted to bless us, I pass out. I (unintelligible phrase) a girl to pass out, but a man? A grown man? Oh, I was mad at myself."
"Aurore:","I look at him, I said, what the hell are you doing? He was on the floor."
"Aime:","So that was pretty good, anyway. Then everything straightened itself out, we shake ourself up, eat some food, we'll be all right. Then we left -"
"Aurore:","You went across the street with my brother to get a drink or something. And the priest was waiting for us."
"Aime:","Waiting for us to finish the wedding."
"Aurore:","He was, where's the groom. I felt like fainting myself, because I saw him. And then we went back and the priest, I said to myself, hurry up, hurry up, so we can get out of here."
"Aime:","But we got over that one, anyway."
"Aurore:","And then he went across -"
"Aime:","Then I went back to Texas, we had to go back there. I promised, my word of honor, that I would not try to escape. Because we knew we were going across. So when I got there, two days later, on the trains and go off. We went to a camp in Massachusetts, not Devons, it's another one. Anyway, that was a camp that people left from. The ship went to Halifax, Nova Scotia, they had to pick up a big convoy with aircraft carriers on it. It was one of the biggest convoys they ever put, we had three aircraft carriers with us. There was planes buzzing over us all night and all day, to make sure, because they had an armored division on it. That's expensive, all the tanks and everything, boy, they had to protect that. So anyway, we got to England 3 January the 12th. I didn't forget. January the 12th."
"AL:","1943?"
"Aime:","No, no, 1942. No, no, it had to be '43 because I was drafted, that's right, '43, January the 12th, 1943, right. Then we stayed in England at, I never thought I'd forget that little name. It was a small village on the outside of, not Bristol, some other one. We were only nine miles away from Bath. There's a Bath, England, too, that's where the Roman baths are, all underneath the big buildings there. So we stayed in England from January until June 18th, when we went into, after D-Day. D-Day was June the 6th. Twelve days later, they had made a place to put an armored division in there, they couldn't take chances. So the infantry, they opened up the place, the 4th Armored went in. Then we all took each our way. We were engineer reconnaissance, myself and the lieutenant, and we went out all by ourselves. Once in a while they'd send an M18 with us, it's a very nice tank, it was fast. I tried to race one cross-country once, and he beat me. We'd do things like that, you know. So anyway, we kept looking around for, to put our tanks across bridges that were safe. We had all kinds of instruments to test things, how good the bridge was and everything. And one other thing that was in France, France had a lot of crevices running through farmland. That's probably made by earthquake, or something, you know, and it's very dangerous for a tank. You get caught, and he's so heavy he'll go, he'll break the wall of the crevice and he'll go down. So we used to bring a great big transom, it's to build bridges with, and you would put that across the crevice. And it would hold, a tank would go across and off they went. So that's what I did most of the time of the war, until I got captured going to a hospital. Something wrong on my insides. And then I was a prisoner of war for nine months. And we, for the time that, we spent probably two weeks in a prison camp until we were trained to understand what the workings of being a prisoner of war. So after we settled in and everything, there was a tech sergeant, American, and he used to put guys to work. I went to work in Munich for a week, and I didn't like it very much and I told the guy so they sent me back to the camp. And then that's when we went to (name), Germany. It's in the Bavarian Alps, and we didn't know at the time what we were doing. We were cutting logs about six feet high, and had to be at least six inches across, so we had a whole bunch of them. We found out at the end. We worked there until, well, we got out of there in April, yeah. Well, we went through the winter, we started in the winter anyway. And it's funny, but a high place like that you'd think they'd get a lot of snow, but there wasn't that much. We could still work in the forest. I had my nice Army boots, too, and boy, that was good then. Anyway, we worked there for at least two or three months, and once they brought us out to work on the railroad and the railroad station in (name), and all of a sudden a big American plane comes over, P51, and everybody's hollering, hey, there's Americans here, you bum. The poor guy, something happened to him, he crashed and he was all burned up. So the Germans told us that he was a black boy. I didn't believe it, because I never knew that they had black boys flying those high priced airplanes. This fellow opens the casket, and he didn't, he just took out his hand and his hand was black, I could see it. I said, okay, okay, he's black. So (unintelligible phrase). After that day they treated him very well, as a German soldier, a nice little casket, and we were there to help the guys dig the grave and everything. Then we served as honor guard and we buried him. But the important thing was to know where it was, and it was a nice churchyard next to a Catholic church, so we knew where it was. 4 So when all of this baloney was all over with, the prisoner of war baloney, we went to Lucky Strike. They had four, they had the Army, the Navy, the Air Force, and the armored force, that's where we went, the armored force, the tanks, (unintelligible phrase) Lucky Strike. There was Chesterfield, Camel, what was the other one? Anyway, they were the names of cigarettes anyway. So, we stayed there six or seven day. Not very long, and I was glad because I was coming home after that. But every day we had to go back to a tech sergeant and repeat everything that we, the information. And he kept (unintelligible phrase), you know, okay, okay, you're sure you didn't forget nothing, now. They were very worried about finding all the corpses so they could bring them home. It was the least they could do. Well, she lost her brother there. He came home from North Africa, they brought him back home and he's buried in the cemetery, St. Peters."
"Aurore:","He died in the war."
