"person","text"
"(Interviewer:","Andrea L'Hommedieu) June 27, 2006 Andrea L'Hommedieu: This is an interview with Real Fournier at his home at Oxford Street in Little Canada, in Lewiston, Maine, on June 27th, the year 2006. This is Andrea L’Hommedieu, and I also have with me today Rachel Desgrosseilliers who is director of the Museum L-A. Real, could you start just by saying your full name? Real Fournier: My full name? Real Fournier."
"AL:","And how do you spell your name?"
"RF:","R-E-A-L."
"AL:","And Fournier is?"
"RF:","F-O-U-R-N-I-E-R."
"AL:","And where were you born?"
"RF:","On Oxford Street."
"AL:","Right here in Little Canada. And what is your birth date?"
"RF:","October 24th, 1926."
"AL:","And so, did you grow up in Little Canada?"
"RF:","No, on Lincoln Street, right across the street."
"AL:","And what was it like in this area when you were a kid, in terms of social activities?"
"RF:","(Unintelligible phrase), we used to play hide-and-seek, and we were very good people to help each other."
"AL:","And so if you look at today, the neighborhood today, and the neighborhood as it 1 was when you grew up, what are some of the changes that you’ve seen?"
"RF:","A lot of change, people, people have change a lot. They don’t help each other. If you’re having a problem, they look at you and they laugh, that’s all. You know?"
"AL:","And what were your parents’ names?"
"RF:","Joseph Fournier."
"AL:","And your Mom?"
"RF:","Hinse, Rose Hinse."
"AL:","Hinse? How do you spell that?"
"RF:","H-I-N-S-E."
"AL:","And were they from Lewiston, or had they come from Canada?"
"RF:","My father was from Canada. My mother come, she’s Scotch."
"AL:","And was she born here?"
"RF:","No, no-no."
"AL:","So she came from Scotland."
"RF:","Yeah, yeah."
"AL:","And how many children were there in your family?"
"RF:","We were four sisters, and one brother. I’m the brother."
"AL:","Now, how did you survive with four sisters?"
"RF:","Well, I mind my own business after all, but they all work at the Bates Mill."
"AL:","They did."
"RF:","Yup."
"AL:","And what kind of jobs did they have at the mill?"
"RF:","Well, one of my sister was a weaver, the other one work at, two work at the cloth 2 room, in the cloth room, and the others working in the winding department, and that’s it."
"AL:","And did either of your parents work at the mill?"
"RF:","My father."
"AL:","What did he do?"
"RF:","He did the, well, - Rachel D: Say it in French, q’est qu’il faisait?"
"RF:","(French phrase), we used to call that female and a male piece of wood, you know, the piece of wood was (unintelligible word) in the female, that’s the way we used to call it, go in the spooler, about that big, see, and it used to go in the spooler, the spool room, for the spool room."
"RD:","Yeah, okay, to make it turn?"
"RF:","Yeah."
"RD:","Okay, yeah."
"RF:","And me, I was taking the spool all, one lot was 280 pieces, you know, of spool. Then I used to take it to the dye house. Well, of course they used to give me a ticket, ten, two five, or ten single, of those, you know. I was working, if it was a ten single, well I was taking it to the dye house. But I had a good job. It didn’t pay too much, but (unintelligible phrase), maybe I work four hours or eight hours, oh yeah."
"RD:","When did you start working at the mill? Was that your first job?"
"RF:","No, my first job was in the Androscoggin. The super was, I don’t remember, I don’t remember."
"AL:","How old were you?"
"RF:","How old am I?"
"AL:","No, how old were you when you first worked in the mill?"
"RF:","About eighteen, eighteen. But when I work at the Androscoggin, oh, it was my first job but, (unintelligible word) I was crying, I said, I was far from home. But (unintelligible phrase) I used to run and go see my mother, we used to live on Lincoln Street, so. But I gave it up, and then I have a job at the Bates Mill, which my father was 3 working there so I got a job through him."
"RD:","Through your dad."
"RF:","Yes, through my dad, in the winding department."
"RD:","So you started in the winding department."
"RF:","Yeah, and I stayed there."
"RD:","All sixteen years?"
"RF:","Hm-hmm."
"AL:","Did you work some with your dad?"
"RF:","Well, I was working, yes, with my father in the winding department, at night."
"AL:","Third shift?"
"RF:","Second shift."
"AL:","Second shift, yup, three to eleven?"
