"person","text"
"(Interviewer:","Andrea L'Hommedieu) February 7, 2006 Andrea L'Hommedieu: This is an interview for the Mill Workers Oral History project. Today I’m speaking with Emile Frechette on 395 East Avenue in Lewiston. This is Andrea L’Hommedieu, and the date is February 7th, 2006. Could you start by giving me your full name? Emile Frechette: My name is Emile A. Frechette, and I live at 395 East Avenue, lived there for a good thirty eight years."
"AL:","And what’s your date of birth?"
"EF:","December 1st, 1915."
"AL:","And were you born in Lewiston?"
"EF:","I was born and brought up in Lewiston, in downtown Lisbon Street."
"AL:","What was it like at that time, the Lewiston community?"
"EF:","Oh, I mean first of all it was all big families, and very friendly to each other. Living in an apartment house, about six units, and mostly all French. And families of, we’ll say from six to ten or twelve children. And usually, I still remember when we used to go out, either play ball or do something that, to pass time away. At mealtime, though, we all went home for lunch or dinner and then right after that we would get again, all day we would be outdoor playing, doing things to kill time. But we always had friends that we could play with. Never a dull moment, because there’s always a big group of young kids that we could play with."
"AL:","And how many brothers and sisters did you have?"
"EF:","I was, in my family we were ten, we were seven brothers and three girls, yeah, and we were, I was one of the seventh in the family, seven boys, and we managed to have good times, bad times together. And Mom always, Mom was home, at home most of the time, to take care of us. Dad used to work seven days a week, and we saw him when he came back from work and then he would go back, he’d be working twelve hours a day at the time."
"AL:","And where did he work?"
"EF:","Over at the Androscoggin Mill. We lived close to that Androscoggin Mill, and he worked there, and besides sometimes he had a part time job because he had quite a large family to feed and dress up."
"AL:","What did he do at the mill?"
"EF:","He was a watchman. First of all he was like a janitor, I mean work in the boiler room, and then he was a watchman for a good many years. And he always enjoyed his work, he enjoyed talking with people, and he kept busy most of the time. And as a kid, whatever time Dad came home, well, we didn’t see much of him but were always happy to see him. 1"
"AL:","And what were your parents’ names?"
"EF:","My father’s name was Joseph Frechette, and then my mother’s name was Clarina, and they were both, they came from Canada, the two of them, at the age of ten and twelve years old. And then apparently when they got to be eighteen, twenty, I don’t know what year, they got married, so they got married in Lewiston and us kids were all born in Maine, all in Lewiston. And these kids today, they’re all grown up. Out of ten, there’s only three left, myself, I’ve got a brother Willie, and a sister Cecile. Brother Willie’s 91, going to be 92 in September, and I just turned my 90s, and my younger sister, she’s 86. And she’s full of it, she talks."
"AL:","Now, did your grandparents live in Lewiston, or were they in Canada?"
"EF:","My grandparent lived on Park Street for a good many years, and when she passed away she was still living on Park Street. But they’re all, well my grandfather died, he was only 49. I never got to know him. But my grandmother lived to be 90 and, well, saw her quite often because Dad was going over, I remember I was just a young boy and I used to follow Dad, go see grandmother. This I still remember, yeah. Every time I go up there she had something good for us. Maybe that’s one reason I wanted to go so badly."
"AL:","And did your dad have a car when you were growing up, or did he walk? Did he walk to the mills to go to work?"
"EF:","Oh yes, yeah. I did walk to the mill. When I worked at the W. S. Libby, started there in 1938, finally got a job as a weaver and I lived up (name) Hill, which is maybe a good mile and a half from the mill. We walked back and forth, the wife and I, we walked back and forth every morning, be up at five in the morning, we had, started work at six in the morning, six, and then at two thirty we were all done, our day’s work was over. But we did walk, morning and night. Didn’t have a car before I was thirty five years old. Had an old bicycle that I could use around, but once I got the car, well I felt like a big shot. (Unintelligible phrase), a brand new car."
"AL:","And so can you tell me about your time in the mills and what you did for work?"
"EF:","Oh, my time in the mill, I was a weaver, I was at the Libby Mill, I worked there a good six years, and then I was (unintelligible word) WWII, and I was fixing looms for a while. And then the, they had a hard time getting help as weavers. Most of these weavers left their job to go work in Portland, Maine, building these Liberty ships at Portland, so really they had to shut down one department. The department that I was a loom fixer, they shut that down. So my overseer asked me if I wanted to go as a weaver, that’s going downhill instead of being a fixer, less money. I said, okay, just for a while. But I did it over three years. And then finally the Army got me into the, I went in in 1944 and ‘45, went in for service. When I came back from the service I said to myself, instead of going to work the Libby, Bates Mill was a little bit closer and a bigger mill, as I wanted to try my luck there. Well, I went in and applied for a job, and I finally got in the same day, they hired me right off as a weaver. I told them I was a loom fixer, and within a few months I went in as a loom fixer and I did that for a good maybe five years, six years. Then finally they needed a supervisor on the third shift, the supervisor was sick and he may be out for a month or so. Poor guy never came back because he passed away, so that job was offered to me, and I took the job and I did that for fifteen years, on the third shift. Had a crew about forty five to fifty people I had to supervise, and it was the nicest people to work with. They help each others. Any problem that came along, I mean, I was around to help and other, older fixers were around to help also. (Unintelligible phrase) worked a good many years there, I spent over twenty-five years at Bates Mill. At the end, well I was kind of fed up, looking toward retirement, and I bought a few apartment buildings, had about eighteen 2 units to maintain, and I enjoyed the, well I went in as a landlord for fifteen, twenty years, and as of now I’m still a landlord in this, my own building, and I still want to hold off to the last minute because I just enjoy being with the people that I have. Especially older people that I have here, to my apartment building. So I enjoyed myself during my lifetime, yeah."
"AL:","And you said your wife worked at the mill, too?"
"EF:","She also worked at the mill. Before I married her she was working there, at the mill, and she was a (unintelligible word) girl, which was kind of a skilled job, I mean it’s, she did that for a good many years. Then when I married her, she was still working, we worked together for, at the same place. And then when the boy was born, I mean when she got pregnant she, we had an agreement that she would, she wanted to stop working for, until the boy grows up. So when the boy was seven years old the wife got tired of being in the house all the time, she says, I’m going out looking for a job. I couldn’t believe it. I says, you’re going to, now, well, go ahead. So she did, went out, she got a job the first day, so she was happy about that. Funny (unintelligible phrase) the first paycheck that she got, she came home with, she had the paycheck, what am I going to do with that? I says, it’s yours, Yvette, do what you want. So she decided, well, I’ll put it in the bank, so she did. Then after she had a good amount of money, she said, how about buying a new car? Well, I was all for it, I says, I agree with you, so we bought a brand new car. And we had that car, we had this for a good many years, we enjoyed it, the two of us. And as time went on we were happy together. We were married for fifty-eight years, and now she passed away just about eight years ago. Yup, missed her for a good couple of years, it was awful. But then you finally get used to it, and I started going out and met a lady friend, which she was, she had lost her husband. As of now, we’ve been going out for about five years and we both enjoy ourselves. She live at home, I live at home, and she stays home and I stay home, but we meet weekends, go out to eat. Not a word, never a dull moment. (Unintelligible phrase), I get the phone, call up. Yeah, so it makes it nice, so."
"AL:","You were talking about, before we started the interview you were talking about the hockey team. Can you talk a little bit about that?"
