"person","text"
"(Interviewer:","Andrea L 'Hommedieu) December 17, 2008 Andrea L'Hommedieu: This is an interview for the Brick Makers Oral History Project at Museum L-A. The date is December 17 2008, and I'm at the Museum L-A with Victor Vital Gagnon, and this is Andrea L'Hommedieu. Could you start just by saying your full name to make sure I pronounced it correctly? Vital Gagnon: Vital Gagnon."
"AL:","And where and when were you born?"
"VG:","Nineteen thirty-seven, in Lewiston."
"AL:","Did you grow up in Lewiston?"
"VG:","Thirty-five- beg your pardon?"
"AL:","Nineteen thirty-five? And did you grow up here?"
"VG:","Yes."
"AL:","What part of Lewiston?"
"VG:","Lincoln Street, Cross Street, Hinds Alley and back again, after bouncing around, back to Cross Street. Then we bought the farm in Auburn where Pioneer Plastic is now. I lived there until I was married and moved out."
"AL:","And what were your parents' names?"
"VG:","Vital Gagnon and Marie."
"AL:","And how many children did they have?"
"VG:","Seven."
"AL:","So there were seven of you. Where did you fall within the children?"
"VG:","I'm the oldest one."
"AL:","And what did your parents do for a living?"
"VG:","My father worked in Bates. First he worked in Androscoggin Mill for seventeen years and the mill closed down all of a sudden and he was out of work, then again to Bates Mill, where my mother had started after she'd gotten done with shoe shops for a while. So they both worked at Bates Mill for a number of years, I'm not sure what years."
"AL:","Right. And then she must have been in the home some raising children , or did she work all the way through?"
"VG:","No, it was off and on, because in between the youngest- and there was a fifteen year lapse there, so she had a pretty good working period, then when the last one was born, it kind of knocked things off kilter there so she took a few years off again . After that, I think she went back, I'm not sure, I think she went back to fancy stitching after that. She was a fancy stitcher in Brunswick for a long time besides working in the mills, you know, a few years in the mills."
"AL:","Right, was that piecework?"
"VG:","Oh yeah, all your shoe shop work is piecework, or ninety-five percent is piecework."
"AL:","And so then your father bought a farm to get out of the mill, or did he do both for a while?"
"VG:","Well, we used to live on the farm in the summer, moved to Lewiston in the winter. Because we had a long road , a private road, to get to our farm and it was, the snowfalls were just too big. We didn't have the right equipment to plow, couldn't afford it. Had a small model A Ford tractor and that's what we plowed with, the snow, plowed the snow. I mean we had an old, I don't know where the plow came from, but the plow weighed more than the tractor did. It was wicked . It was wicked. The driveway was about, I'd say, half a mile long, private road. And in the spring we had mud. Here was a month of the mud season where we couldn't get the car in, had to leave the car on the main road , on Poland Road, and that made for quite a walk. Then we got a little bit organized and we stayed all winter, stayed year-round after a while. I can't remember what years it was, but I was roughly eight, probably eight years old at that time, and we moved there for good ."
"AL:","Now how did you get into brick making and how old were you, probably early twenties?"
"VG:","I was, yeah, I think I was twenty-two, I think, and I had a couple of friends who worked there , and money wasn't bad. I thought it was maybe something I'd like and it 2 was, I liked it, I enjoyed it."
"AL:","Talk to me about what it was like to work in the brickyard."
"VG:","Well, first of all it was very cold in the morning, because we had to strip down to our bathing suit for the simple reason that we were working in water all the time and we were always wet. Whatever clothes we tried to wear just slowed us down and we couldn't perform, so a bathing suit was the most, it was just a cold job, it was wet and cold, no matter if we wore- what they had is, some guys tried rubber pants and rain jackets and rain suits and all that, but you just can't maneuver it, because this is all speed. Another thing is, it's piecework, so you can't go there and waste time. You got to get it done, and that's the way it was done for a hundred years. And water-struck brick, it's more or less, you know, you've got to be in there. We tried all kinds of gloves, and you might have one piece of space dry, but the rest was wet. As far as the boots were concerned, if you got wet from the belt up, it would leak down and would eventually end up in the boots anyways, so clothing was a slowdown, was just a drawback. So when you get there in the morning, and I can't rightly remember what month we started in , but when we'd get there in the morning, I'd seen a few mornings that there was a layer of ice, little puddles, on the ground. And I'm telling you, you want to get started making brick fast. Of course, in ten minutes we'd be nice and warm because we were going full blast, you know, but I tell you it was cold in the morning. But it was beautiful. It was hard work, but I enjoyed it very much. I think you 'll find that - I don't know how many people you've spoken to about making brick, but we all enjoyed it and we all enjoyed talking about it. For some reason , I never worked that much in the woods. I've worked a little bit in the woods and it doesn't seem as though that's anything that people talk about, but if you worked in the brickyard, I've never seen anybody that didn't like it, even though a lot of guys worked two or three seasons and that would be it. Like, I worked two seasons and that was it. I can't remember, I went on the road after that. Yeah, I went into construction after that, and then I got into the glass business and got a trade. But most guys, that was it, two or three years. Some of the old timers, you'll find they spent ten years in the brickyard, but it was good, it was all right."
"AL:","Can you describe the different things you did? How you went about doing it and what kind of tools and technology you had?"
"VG:","Well, first of all, okay, in order to start in the morning you've got to have a pit mixed with clay, water and sand, and this pit is, wouldn't dare say exactly but I would say probably sixteen feet long by maybe nine feet wide and about eight feet deep, almost like the cellar of a house, small. And you 'd fill that with clay and water to the right mixture, and then in the morning you'd start this machine up, and you got molds 3 with six brick and you've got a water tank about waist high, and you had to dunk your molds- they're made out of wood -you'd dunk the molds so that their clay doesn't stick and you put the mold in the machine and you put this big lever, you pull this lever back and then you jump on the pedal with your left foot. It's got to be the left foot. Push the handle back and you pull your mold out, which is, the mold is two-piece, and now you flip this board over and dump the brick onto a- there's a difference- there's making brick in the yard, which I've never made brick in the yard. If they made brick in the yard, they had a wheelbarrow and they'd put these molds, they would have individual molds, which I don't know how many they put on the wheelbarrow. I think it was approximately eight or ten. They'd put these on the wheelbarrow, special made wheelbarrow, two tiers, and they would run up into a field that was all clay, a clay bed , very smooth like the table here, and they would dump these brick onto the ground, which had been sanded . The ground had been sanded, which is hard clay, not round clay. They would spread a slight layer of sand on the yard so that the brick wouldn't stick, and they'd dump all these bricks on the ground in a nice even row and they were to dry for- depending on the weather- that's where they would dry enough to handle them and pick them up again after they were just sitting. And they would stack them up to dry some more before they put them in the kiln to bake, to cook or bake, whichever you want to call it. And that was the old, the way they made bricks way, way years ago. But the brickyard that I went to work for was Morin's over here in Danville, which is about eight miles, seven or eight miles from here. They modernized the (unintelligible). We had conveyer belts over there so that we didn't have to haul the brick away from the machine onto a field by hand. What we did on these newer machines with the conveyers, we just made brick, took the mold from the machine, turned around and dumped it on the cables and then we'd make another quarter turn. We'd dunk the mold into the sink, like a wooden sink there that we had, and back into the machine, fill that up again, turn around again, and dump her on. This went on and on and on like this. And the mud has to be, we call it mud, and it has to be mixed, the mixture has to be right. So once in a while we'd have to haul it to the guy in the pit, you know, you're getting hard or you 're getting soft over there or something, and he has a little bit of water and whatever. Of course we made a lot more brick that way because we didn't waste time, you know, running back and forth with the wheelbarrow, which is what the guys in the older days used to do. And I worked with Rachel's husband a couple of days after school, I think it was on the weekend, on the yard. He had made brick on the yard . I don't think Harvey, Harvey never made brick on the cables, he made it in the yard. That was wicked hard work, though. Of course we made doubles -we doubled on our brick, the number of bricks we made. I can't remember how many thousands were made, maybe twenty thousand, I don't remember. And it was the same story. We had to have bathing suits. Sometimes we'd wear one of these sweatshirts and then it would get- see, as you turned, as you flipped your mold to dump it, which was a two-piece mold and you'd have a board on the bottom -you'd slide the board. So water was splashing continuously. 4 So no matter what you wore, how cold it was and windy, you'd get soaked. I'm pretty sure this would weigh more than you wanted to carry around all day, so this would come off eventually too. If they'd had something that- we looked into quite a few things that never worked. Maybe now what they have, they probably have something now that would work, but it wouldn't pay any more to make -you can't make water strike brick any more, but you'll never get that beautiful pattern either. I don't know how familiar you are with - water- struck brick has a pattern that has seven or eight colors to it, and the only brick that has that is water-struck brick, and it's quite a process in how it's stacked when it's cooked, how the brick is placed together to get that beautiful round rainbow-type effect. And it's a combination of heat and evaporation and moisture that causes all these beautiful rings to be on that water-struck brick, so when you look at brick it may look like water-struck, but if it hasn't got that nice rainbow effect ring , it's not water-struck. And, you know, there's wire-cut, but of course that isn't the same. That's not the same at all. It's not the same texture. I've lost my train of thought now."
"AL:","Well, let me ask you this. Before we started, you were mentioning some college kids who started. Can you tell that story, because I think it's -"
"VG:","The what?"
"AL:","The college kids who worked at the brickyard. I thought that was kind of interesting, just in terms of what it took to do it."
