"person","text"
"(Interviewer:","Andrea L'Hommedieu) November 3, 2005 Andrea L'Hommedieu: This is an interview with Mary Jane Gervais at her home on Jeffrey Street in Lewiston, Maine on November 3rd, the year 2005. This is Andrea L'Hommedieu, and this is an interview for the Mill Workers Oral History Project. Could you start just by spelling for me your full name? Mary Jane Gervais: Mary, M-A-R-Y, J-A-N-E, G-E-R-V-A-I-S."
"AL:","And when and where were you born?"
"MJG:","In Guerette, Maine."
"AL:","Where?"
"MJG:","That's up north."
"AL:","And your birth date?"
"MJG:","April 5th, 1931."
"AL:","And did you grow up in the northern part of Maine?"
"MJG:","No, we moved from up north in, I was eight years old, moved to Biddeford, Maine. From Biddeford, well actually we moved to Houlton first, couple of years we were in Houlton, my father had to find work, so then the mill where he worked kind of, you know, they kind of lapsed and so we moved to Biddeford where there was work. And then from there we moved here, and we lived in Biddeford a couple of years, then we moved here and we've been here since then. So I was twelve years old when we moved here, in Lewiston."
"AL:","And what were your parents' names?"
"MJG:","Josephine Lagasse, and (name) Lagasse."
"AL:","And did they work in the mills?"
"MJG:","No, no, my father was a carpenter. My mother, well she did work at Max Miller's, which was sort of a mill but not Bates, or (unintelligible word)."
"AL:","And how many brothers and sisters?"
"MJG:","One brother and one sister."
"AL:","And so you were twelve when you came here."
"MJG:","I was twelve when we moved here to Lewiston. 1"
"AL:","What was Lewiston like at that time, in terms of how you see it today?"
"MJG:","Well, it was quieter than it is today, and of course the kids were more, you know, quiet. Like today, a lot of them are on drugs or things like that. And you weren't afraid to go out at night, you know, we'd play outside for, you know, we weren't afraid. But today I wouldn't play outside, you know, at that age I wouldn't play outside, when it's dark."
"AL:","What was the downtown area like? Were there lots of, was it a more vibrant shopping area?"
"MJG:","Oh yes, yes, it had a lot of stores then that, you know, like when I was older of course every Saturday my mother and my sister, we'd go out shopping and we'd stop at Nichol's, the restaurant, and have blueberry pie with whipped cream. And we'd shop around, and there was a lot of stores where you could find nice clothes, nice dresses and all that, you know. But today, well, there's not much on Lisbon Street, they're all out, you know, like at the malls and all that."
"AL:","So after, of what age was it when you went into the mill?"
"MJG:","Sixteen years old."
"AL:","Was that the legal age to begin working?"
"MJG:","Yeah, they hired you at sixteen, but I worked for a little while and then they passed a law that you had to be eighteen to work on the machines, so they laid me off. And then they called me back when I was eighteen, so I went back but then I got married so I quit. And I didn't go back until later on, after the kids were, my youngest daughter was about five years old, and I went back to Bates. And from then on a lot of times I was laid off, because they didn't have much work. But then they'd call me back, I'd go back. And then I, after the kids were born I didn't work for a while. Then in 1971 I went back to Bates, worked in the yarn department. I was there for probably eleven years, and then I went to - (Break in taping.)"
"AL:","So we were talking about, you came back in 1971."
"MJG:","Seventy-one, I went back to work at Bates in the yarn department, and I worked on third and second shifts, I worked on spoolers and the unicorners."
"AL:","Now, what are those?"
"MJG:","Okay, spoolers are like you have to feed the machine, a long machine, you have to feed them, put in the bobbins and put up the threads so that when the machine passes by it picks up the threads and hooks it up onto, they call it a cheese, and it's on a drum so they wind around and they make a big cheese. Once that's full, when the machine goes back by, that cheese stays down so you have to take it off and put on a new starter. So that was the spoolers. And unicorners, well it was almost the same thing, they made cheeses also, but it was a lower machine and not as long. You just fed the like bobbins around and that would pick up, too, and make the same things, like cheeses. So that was what I did when I went back. And then I, they laid me off again after, well I worked in that department for probably close to eleven years, then I was laid off and I went to the sample department, worked there for a little while. 2 Then I put my name to work in the finishing room, and I got a job in the finishing room. So I worked there for quite a while, too. Then I was laid off, kept laying me off and the work was getting slower, so then they'd send me to the weave room, I worked in the weave room for a little while and then they called me back on my job in the yarn, not the yarn department but the finishing department, so I'd go back down there and then they laid me off again. So then one of the bosses, Mr. Provencer in the weave room saw my name on the list of laid offs and said, I want her to come back to work for me. So I went back in the weave room and worked there for seven months making the heads, putting up strings for the heads of the patterns, the patterns, the designs come through, so I worked there for seven years, sweating."
"AL:","Very hot?"
"MJG:","Oh well, it was not that it, it was kind of hard but it was hot in the weave room, and it's, they needed that steam so in the summer you were sweating. And you had to tie those strings, you had to string them all up and then tie, when they hung down you had to put on the little gadgets that they had and you had to tie that in a knot. And then it took almost over a month or so to make one head, so it was a long process. And then after the knot you'd have to tie them with pliers and pull, make them tight, tight, and then you'd have to shellac them so they wouldn't slip off of the, while they were going up and down making the pattern. So then after that, well, they laid me off down there, too, because it was getting slow, so they sent me to the office and I worked in the office for, on the switchboard, for maybe three months. And then the girl that I was replacing came back, because her husband passed away, so I was laid off again. But then they called me back in to work in the office on orders, taking orders, you know, on the computer. But that didn't last too long either because then the Chinese were involved in there then, and so they decided to move all the office work to the Minnette Mills in North Carolina. So then I was laid off again. So then they sent me, they asked me if I would want to go to work at the store, or else be laid off, so I said I'll go to work at the store as a telemarketing, you know, and so I'd have to call in like motels and all that to see if they wanted bedspreads, and I did that for quite a while. And then in the meantime they asked me to work in the store also at the same time when they needed somebody in the store to help them out, so I'd do that and work in the office and the store also at the same time. And so I was there for thirteen years, in the store, until I retired four years ago. So that was about it."
"AL:","Now, you were laid off quite a bit over the years."
"MJG:","Quite a bit, yes, I was laid off quite a bit, yes."
"AL:","Were, the times when you were laid off, were they short periods, or many different lengths?"
"MJG:","No, sometimes probably like three months or a couple of months to three months sometimes, and then they'd call me back and I'd go back in and do different jobs, I did different jobs in the, like in the yarn department. Sometimes when they didn't have too much work on folding, where you used to fold, they'd send me doing some other things that needed to be done in the area, you know, so."
"AL:","What were some of the difficulties that you encountered from being laid off numerous times?"
"MJG:","I'd go on unemployment and that was about it, you know. Look for other work in the meantime, but they'd always call me back to go in."
