"person","text"
"(Interviewer:","Andrea L'Hommedieu) February 28, 2006 Andrea L'Hommedieu: This is an interview for the Mill Workers Oral History project. The date is February 28th, the year 2006. This is Andrea L’Hommedieu, and today I am interviewing Andre Giasson at his home on Davis Avenue in Auburn, Maine. Could you start just by telling me your full name? Andre Giasson: It’s Andre D. Giasson."
"AL:","And where and when were you born?"
"AG:","I was born right here on Main Street in Auburn, you were in a house, you were not born in a hospital then, you know, it’s a while back."
"AL:","How many brothers and sisters did you have?"
"AG:","I had six brothers and two sisters, we were eight people in our family. Four of them are gone and four are still here."
"AL:","And what was your date of birth?"
"AG:","5/28/31."
"AL:","And your parents, were they both from the Auburn area?"
"AG:","Yeah, well my mother came, my mother was born on Lincoln Street, and my father was born in New Hampshire, and they both, my father worked in the mill, in Continental Mill, and I worked in the Bates Mill when I was old enough."
"AL:","And your father, what did he do at the Continental Mill?"
"AG:","Well, all that I don’t know. All I know, he walked there every night to go to work, you know, to his shift, like I was."
"AL:","And what were your parents’ names?"
"AG:","My father was Edward Giasson, and my mother was Lisanne Lebrun until she became Giasson."
"AL:","So where did you fall within your brothers and sisters, in the younger end or the older?"
"AG:","I’m the second to the youngest one, I’m almost the, the end of the whole bunch. We were brought up in the country, no water, no electricity. I wish life would go back that way, teach the young ones what we went through. Ain’t it true? They get, everything right now, it’s all handed to you, you know, they don’t go out and get their water, they don’t do this, they don’t do that, you know. Well, that’s life."
"AL:","So you’ve seen the Lewiston-Auburn community change a lot? 1"
"AG:","Oh yeah, very much so. Before people lived on Lincoln Street, right here, you know, in Auburn, it was a place where you always walked to work, and you had busses every fifteen minutes to go to work, you know, the busses ran until twelve o’clock so people didn’t have to buy, take their car and like that to go to work, everything was all nice and easy."
"AL:","And so, tell me about starting at the mill, how old were you?"
