"person","text"
"(Interviewer:","Andrea L'Hommedieu) September 24, 2007 Andrea L'Hommedieu: This is an interview for the Brick Makers Oral History Project, at the Museum L-A. The date is September 24th, 2007. Today we're interviewing Henry Gilbert, at his home in Lewiston, Maine, and this is Andrea L'Hommedieu. Could you start just by telling me where and when you were born? Henry Gilbert: I was born in 1925, November 1925."
"AL:","In this area?"
"HG:","This, this area, I was born on the corner of Walnut and Pierce Street."
"AL:","And did you grow up there?"
"HG:","I, I, no, I grew up right next door here from my place. We moved here when I was four years old. Yeah, and I've been here ever since, except for the time I was in the service."
"AL:","Oh, wow, and now, how many kids were there in your family?"
"HG:","There was, let's see, Jackie, myself, Clement, and, and Wilfred. Both of my brothers have passed away."
"AL:","And your parents, what did they do for work?"
"HG:","My, my mom was just a housewife, and my father worked in a woolen mill, the ( (o'-Pe.f\?) Calvin Mill."
"AL:","Okay, so he was a mill worker?"
"HG:","He was a mill worker, and he did the inside work completely, that's why I always stayed outside. I worked in a brickyard, I worked in the woods, and then I started construction, and I've been at it ever since, and I hate to quit."
"AL:","That's why you keep going."
"HG:","That's why I keep going. 1"
"AL:","And your parents, were they born here, or did they come from Canada?"
"HG:","My, my mother, I think, I believe was born in Brunswick. My father was born in Lewiston. I think he might have been born on Pierce Street, where my grandfather and grandmother lived."
"AL:","Now, how did you get interested in the brick making? Did you know somebody, or?"
"HG:","Not really, I thought I'd give it a try, because my parents think the money was better than working in a mill, which I didn't like to work in a mill anyways. So, that's how I started in a brickyard, and I started as a striker right off."
"AL:","And what year was that?"
"HG:","It was 1947."
"AL:","You were how old?"
"HG:","I was, let's see, probably twenty eight, twenty nine, something like that, after the service."
"AL:","After you went into the service?"
"HG:","Yeah, yeah."
"AL:","Now, what branch of the service were you in?"
"HG:","I was in the Marine Corps."
"AL:","During World War II?"
"HG:","During World War II, I was in the South Pacific. We made the landing on lwo Jima, I don't know if you've heard of the place, but that's where my division landed, yeah."
"AL:","And then you came back, and you started as a striker right away?"
"HG:","I started as a striker, and then in the wintertime, I'd go in the woods, I worked in the woods. I'd buy wood lots or work for somebody else, you know, as a lumberjack."
"AL:","What kind of, what were your days like, as a striker? How long were they? 2"
"HG:","They, well, we started about six o'clock in the morning, and we used to strike ten thousand bricks. It was a three man crew, and one was in the pit, shoveling the mud and sand in the, in the mixing, big mixing machine, and there was two people in the front striking the bricks out, carrying them down the yard, on a, on a cart. There was five molds in each, in each cart. And the two of them would keep that up until the thousand bricks were out, then the guy that was in the pit would go up front, and another guy, the other guy that was up front would go in the pit and start shoveling, just to change their routine, you know. My crew, usually, we strike twelve thousand bricks, because we, not that we enjoyed it, but we enjoyed the money."
"AL:","So, you got paid extra if you got more?"
"HG:","Well, it was all piecework, it was all piecework. I'm trying to remember what it was now, but I can't remember if it was seven dollars a thousand, or something like that, I can't remember exactly what it was now, because that goes back about sixty years."
"AL:","Yes, it does."
"HG:","Yes, it does, yeah, yeah."
"AL:","Wow, and so you had a pretty good team going?"
"HG:","Oh yes, oh yes, yeah, yeah."
"AL:","Did you have that same team for quite a while? Did you all stay?"
"HG:","I had it for like two years, three, three years, I think. I made bricks, by the way, with, with a guy by the name of Willie Baker, which was Harvey Desgrosseilliers' uncle. I thought I'd throw that in."
"AL:","Yeah, that's great."
"HG:","Right, right."
"AL:","So, what, can you talk about the process of brick making?"
"HG:","Well, say, say that the pit is empty now, we've struck out the ten thousand bricks, which was (unintelligible word). Usually the process is three shovelfuls of mud, with one shovelful of sand, and there's a big mixer that mixes all that, that the, the mixer is probably half the size of this room in here. And at night, before, after you've struck out, that means your pit is empty, so then they come in with a, with a tractor and, and, and clay. They bring it on this ramp, and in the afternoon, we shovel that, that clay in the pit with water running in it, so it will form mud, and we fill that pit up. It's usually good for another ten thousand bricks, which will be struck the next day. And that's the process 3 of, yeah, it's usually three or four shovelfuls of mud with one shovelful of sand, and that goes on until about two o'clock, that's when we finish striking the bricks. And then the, the bricks that were struck the day before or two days before, we have what we call an edger, which is, you put it in between the bricks that's already on the ground and you pull on that edger and it brings the bricks sideways, and that way you can pick them up, and you put them on planks, you stack them up probably about four feet high, and they'll dry there for probably a week, and then they're ready to be wheeled into the kiln, where they will be burned. The kiln will hold anywhere's from five hundred thousand to even a million bricks, because they're stacked way up, you know, yeah. And the process of burning is quite something too."
"AL:","Yeah, did you get to observe that?"
"HG:","Oh yeah, because we, I never burned because I was a striker, but of course we've seen the process of it, you know, which, there was holes in between every, every foot or two there was a hole in the brick, and they would, that hole went right straight through, and that's where they put the, the wood in, to get the flames going. Of course now it's done by oil and everything. See, it's different now."
"AL:","But at that time, did they have to have somebody feeding wood twenty four hours a day?"
"HG:","Oh yes, yes, all the time."
"AL:","Oh, so there were people there at night?"
