"person","text"
"(Interviewer:","Andrea L'Hommedieu) June 5, 2006 Andrea L'Hommedieu: This is an interview for the Mill Workers Oral History Project. The date is June 5th, 2006, and I’m at the home of Maria Goranites at 317 Turner Street in Auburn, and this is Andrea L’Hommedieu. Could you start just by saying your full name, including your maiden name? Maria Goranites: My name is Mary Goranites, my (unintelligible phrase)."
"AL:","And when were you born?"
"MG:","I was born in Greece."
"AL:","And what was the date?"
"MG:","The date, October 13, 1914."
"AL:","And so you were born in Greece."
"MG:","Yes."
"AL:","And how long did you live there before coming to the U.S.?"
"MG:","Oh, I came, I was twenty, twenty-one."
"AL:","Oh, so you grew up speaking Greek as a first language?"
"MG:","Oh yes, yeah. And I still, I mix it up, the Greek and American because my first language Greek, so I just stay there."
"AL:","And what made you come to America?"
"MG:","Well, my father came before me, a couple of times, and bring my sisters here. And for a better life, that’s all. Why you come in this country, everybody, for better life."
"AL:","So how many brothers and sisters did you have?"
"MG:","I have four sisters, three and four with me, and two brothers. And one was in, a colonel in the army, in Greece, though, not here, my younger brother. And they all pass away. Just me left."
"AL:","Now, did your family all settle in Maine when you came to America?"
"MG:","No, my, one sister, I came to Lowell, because my sister was one there. She’s the one I suppose, she don’t have any children. No, not just because children, it’s that she wants to bring us here for a better life. So I came to Lowell, I stay a few months, and I came visit to the other sister in Saco, and all the mills there. So my brother-in-law-say, why you sit there and do nothing, and you don’t come here and work 1 and make a little money. And that sounds good, so I just pack my suitcase, came to Saco. And I started to work Jacques Mill. I don’t know if you know, that’s the big mills there, there was, they’re called Jacques Mill, in Saco. So I find my husband, and I marry, and I came here. And, well I don’t go to work right away, but after a while I went to Hill Mill. From Hill Mill, I don’t work too long there, so I go to Continental. So the Continental, I think I work ten years on my life, and I have my family (unintelligible word). I lost my husband, and I stayed home for my children. So that’s my, I like to work. I’m the worker, still, I’m the worker now."
"AL:","Now, what kind of work did you do in the mill, what was your job?"
"MG:","I weave, weaver, yeah. Yeah, I make good money then."
"AL:","Yes, and how many years do you think you worked at the mill?"
"MG:","Oh, I work in the mill ten years, yeah, for ten years. So I lost my husband, and I have to stay home with the kids. Because, you know, so I just worked the third shift, you know third shift? From eleven to seven. And there I, because the kids are small, they go to school, and I want to be here, to them, the time to go to bed and the time to go to school, and I sleep the days."
"AL:","And how many children did you have?"
"MG:","I have five, and I take my niece, too, (unintelligible phrase), so that’s six."
"AL:","That’s a house full."
"MG:","And I used to sew all our clothes, everything, everything, I used to do that at home, and sew for the kids because those days, not everybody have the money to go in the stores."
"AL:","Right. Was there a strong Greek community here?"
"MG:","Yes, well not big community but, bigger now, small, we have a church down on Lincoln Street for (unintelligible word), and now we have the church, the (unintelligible word), we build another one. Now all the, all together they work and we have a small church, but we have our church."
"AL:","So did you have strong ties with the other Greek people in the community, did they support you?"
"MG:","No, no, oh no, we weren’t a group, not a group. The Greek, they stick together because so many, so little, if they separate and have two churches or more. So we work together and, (unintelligible phrase), so they will work together. We don’t ask for, what you belong to, no, no, no. So that’s the main thing."
"AL:","And so having grown up in Greece, you probably learned to cook traditional Greek food."
