"person","text"
"(Interviewer:","Andrea L'Hommedieu) June 1, 2006 Andrea L'Hommedieu: This is an interview for the Mill Workers Oral History Project. The date is June 1st, 2006, this is Andrea L’Hommedieu, and I’m here with Jason Gosselin at the Bates Mill executive office conference room. Could I start just by asking you to give your full name? Jason Gosselin: It’s Jason Gosselin."
"AL:","And where and when were you born?"
"JG:","I was born in 1973 in Auburn."
"AL:","In Auburn, is that where you grew up?"
"JG:","Actually no, grew up mostly in Newport."
"AL:","Newport, Maine?"
"JG:","Correct."
"AL:","What was Newport, Maine like when you were growing up? It’s a small town."
"JG:","It still is. It was a little smaller than it is now, but it was, we moved out, lived on a farm for a while and, it was nice, quiet."
"AL:","And so after high school did you move to Lewiston?"
"JG:","Actually moved with my family to North Carolina for a year during high school, then moved back to live with friends in Newport for my senior year at high school, and shortly after high school moved back to Lewiston."
"AL:","And what brought you to Lewiston?"
"JG:","Family mostly, job. 1"
"AL:","And is that when you started at the Bates Mill?"
"JG:","Actually, it’s not. I worked at Gates for a while when I was eighteen, and had a couple of other jobs around. And then the mill operation decided that they were going to go ahead and do some more stuff for the mill store, and consequently they needed somebody to work in the lab, and so I took that position at that time."
"AL:","And what were your duties in the lab, what sort of things did you learn?"
"JG:","Basically at that point in time it was just simply bleaching and washing. We were providing goods right off the loom to, directly to the mill store, gray goods would be shipped to North Carolina for the mill in Grover, where they were going ahead and processing for retail sale. But for the mill store we were just going ahead and expediting limited goods, just to go ahead and service them. So I was washing and bleaching that product."
"AL:","And did you say it was ‘93 when you started?"
"JG:","That’s correct, yes."
"AL:","What was happening at the mill at that time?"
"JG:","Very little. As a matter of fact, they were gearing down production, they were planning on I believe moving everything to North Carolina. That was met with resistance, and consequently they ended up diverting, they just were no longer associated with the mill in North Carolina. I don’t really know how that all transpired, but then things started to pick up for this mill as they became independent."
"AL:","And I also notice in here that you have quite a family history working in the mills?"
"JG:","Yes, actually."
"AL:","Can you talk about how far that goes back, and what -?"
"JG:","It goes back probably further than I even realize. But I know that grandfather on my mother’s side was associated with the mill, for work, for a long time, his entire life, and eventually actually owned a portion of the mill, and then owned it outright after it became independent of the company in North Carolina. So he’s been in the mills for a long period of time, going back to the heydays of textiles in this area. And my father as well was in the mill, basically he worked in the mill his whole life. And my grand-, not my grandfather but my grandfather’s uncle on my father’s side was actually president of Bates during its heyday as well. 2"
"AL:","And what was his name, do you know?"
"JG:","Hal Gosselin."
"AL:","Oh, yes. And so, and your grandfather is Fred Lebel?"
"JG:","That’s correct, yup."
"AL:","So you have a long line of people (unintelligible phrase)."
"JG:","Yes, yes, yup, lots of textile history in my family."
"AL:","Over the years did they tell a lot of stories?"
"JG:","There really weren’t a whole lot of stories. There was a lot of mill talk, but it was always very official and professional, and just trying to meet agendas and get stuff done. There was never really a whole lot of personality with talk about the mill, it was always just work."
"AL:","So what was the, can you talk to me a little more about the atmosphere at the mills as it -?"
"JG:","Well it, I mean it’s gone through, I’m sure it went through a great deal of transition. I’m sure the atmosphere during the ‘40s, ‘50s and ‘60s, even the ‘70s, was very different than it was when I was at the mill. I enjoyed working there, it was fun, but it was a job, and that seemed to be how everyone kind of perceived it. It was very, oftentimes it was just very dark, it just seemed like everybody had someplace else that they’d rather be. It was during a time that nobody really knew what was going to happen until Bates became independent from this company in North Carolina, because it looked like all the jobs were going to be shifted out. Once that that era kind of came to an end and it became a more independent company, and things started to pick up and more employees came on board, the attitude seemed to change, where people seemed to enjoy coming to work more. And that, you know, in a mill it was, it was an odd environment. It was something that I wasn’t used to. I mean, you have different kind of people to a certain extent where they, I don’t know, sometimes it seems like rumors and innuendo ruled the break room and the lunch room, but you just learned to live with it and deal with it and get your job done. And things started to change a little bit, people seemed to be a bit more upbeat, and then things were picking up, business seemed to be pretty good. And one thing led to another, and ultimately business ended up not being very good at the end. 3"
