"person","text"
"(Interviewer:","Andrea L'Hommedieu) October 28, 2005 Andrea L'Hommedieu: This is an interview for the Mill Workers Oral History Project. Today I'm interviewing Roland Gosselin at his home in Lewiston, Maine, and this is Andrea L'Hommedieu, and the date is October 27th, the year 2005. Could you start just by giving me your full name? Roland Gosselin: My full name is Roland J. Gosselin."
"AL:","And where and when were you born?"
"RG:","I was born in Augusta, in Augusta, Maine, and then we moved to Berlin, New Hampshire, I started school in Berlin, New Hampshire, and then moved back to Augusta and continued my schooling there until 1932 when we moved to Lewiston. And I kept going, my school, at St. Peter's School in Lewiston."
"AL:","And what is your birth date?"
"RG:","May 19, 1926."
"AL:","And so, did your parents come from Augusta?"
"RG:","My mother came from Augusta, but my father was born in Canada, but they got married, they been together, they both passed away now."
"AL:","What did they do for work?"
"RG:","Well, my mother started working in the dime store, and also she had studied the piano and during the end years of the silent movies, she used to play the piano in the movie, for movies. And my father went to college in Suffern, New York. Originally I think he wanted to go to be a priest, but in those years, you know, money was scarce so he didn't continue his schooling, although he continued schooling in Augusta. And then I believe his first job was working at the office at the Edwards Mill in Augusta. So, and then he started working in a shoe store, and this is how come we relocated, when my father was transferred to Berlin, New Hampshire as manager of the Hazard Shoe Store, and then when that closed he came and worked in the Lewiston Hazard Shoe Store. And when that closed, he went to work at the Bleachery in Lewiston until that closed."
"AL:","What year did that close, do you remember? About? I don't know."
"RG:","It had to been late thirties, '38, eventually to the forties. Because I started working at Bates because my father was out of work. He was working only on Saturday at the Boston Shoe Store in Lewiston, so he was, he wasn't working. So being the oldest, I thought I had to go work and that's how come I went to work at Bates Mill, and I got along fine and I stayed there, I never did another job."
"AL:","You were there for like forty eight years?"
"RG:","Yes, I was. 1"
"AL:","How old were you when you started there?"
"RG:","I had to be sixteen, because they were hiring at sixteen. So I started working, I started first as a cleaner in the weave room, and didn't last, that didn't last with me. Right away I started working how to weave, I was being taught by the people over there, they teach me how to weave, and then I became what they, at that time they used to call a spare hand. You were going from one set of weavers with work to the other and going around all day. This way, you know, you were, I was helping out and at the same time I was being helped by the weavers working on regular jobs."
"AL:","So is that what you did for a lot of the time?"
"RG:","I was a weaver, yes, I was a good weaver for a good part time, a good time that I was there. But then in the fifties, I went to the union. When the union got involved in the mill in the late fifties, I went to work for the union office, I became a business agent at the union office in Lewiston. And I went to work there with the understanding with Bates Manufacturing, the manager Fred Lebel, that if for any reason whatsoever they closed or I couldn't do the job, they would take me back at Bates on my regular job that I used to do, and on the same shift, without loss of seniority, and this is what happened. And I'm, you know, I'm kind of grateful to Bates Manufacturing for having done that, because that's how come I never lost my seniority as far as working at the Bates Mill. And I was a very active person from a very early age. School activities, always involved. And as I went along, eventually I helped with decorations for school parties, for plays, and so I got involved to a point where I was doing stage sets and direct French plays. And after I went in the service, in the fifties, and then when I came back I had, I went back to work at Bates of course, and I did, I worked barely a week when my father died suddenly. And being the oldest in the family, I had to stay working so I went back to the job. So in the meantime, when I was in the service I had some friends in New York and I stopped in New York and I started looking for work. And being bilingual, right away they'd take my application and they were kind of interested. And of course I stayed a week, and then I came back home. And lo and behold, during the wake of my father, I had a call from New York, Roger (name), one of the leading mens department store in New York was offering me work. So, I couldn't go because being the oldest I had to stay home. I'm the oldest of nine."
"AL:","Nine, there are nine of you, oh wow."
"RG:","So after I knew I was going to stay home for good, I was, I always been interested in theater so I joined the Lewiston-Auburn Little Theater Group, and I've been involved over there for a good twenty two, twenty five years. I went all through the chain, became president of the Little Theater at one time, but my primary job with Little Theater was I got involved, I started designing sets and building sets for plays. At the beginning we used to have three plays a year, and I used to do the production for the three plays. And then we were doing our work on, like building and rehearsing was done on Sylvan Avenue, the old Sons of Italy Hall, Little Theater had acquired that. So when I joined Little Theater I, then I started working over there and, for the Little Theater, I directed three or four plays besides, but my forte was doing musical. I've always loved doing musical, and through the years I've done, I've been involved in I think it's fourteen or sixteen musicals for the Little Theater in Lewiston."
"AL:","Have you performed at all?"
