"person","text"
"(Interviewer:","Andrea L 'Hommedieu) April 30, 2010 Andrea L'Hommedieu: This is an interview for the Shoe Industry Oral History Project at Museum L-A. , the date is April 30th , 2010, this is Andrea L'Hommedieu, and this morning I'm interviewing Ralph Gould in Auburn, Maine. Ralph, could you just start by giving me your full name. Ralph Gould: Ralph A. Gould, Jr."
"AL:","And where and when were you born?"
"RG:","I was born in Haverhill , Massachusetts in 1923, which obviously makes me fairly old , doesn't it."
"AL:","And did you grow up in Haverhill, or move to -?"
"RG:","No, not very long. My dad was born in Haverhill as well , and we can get into the beginning of the company which will explain why we left Haverhill, but I left Haverhill at the age of five. So I was pretty nearly a Mainiac, not quite but pretty early."
"AL:","And what were your parents' names?"
"RG:","My father was Ralph Gould, Sr. , my mother Thelma Swann Gould , or Thelma M. Gould, she didn't maintain her maiden name. She was from Athol, Mass. , and they were married and came to Norway, Maine basically on their honeymoon ."
"AL:","Was that their first time coming to Maine?"
"RG:","No, he traveled Maine, and we'll get into that as we move along."
"AL:","Okay, so you were in Haverhill til age five, and then where did you go?"
"RG:","Came to Auburn. And do you want me to begin at the beginnings of the business?"
"AL:","I think that makes sense. Your dad , what was his business?"
"RG:","Well , he was with a counter company in Dover, New Hampshire, called Spaulding Counter Company, and they had another division called Three Line Counter Company, and he was a salesman for that company, covering Maine and New Hampshire. And he came to Maine and discovered that there was a small company just started in Lewiston , amazingly in what I remember as the Morency Block in Lewiston which is now where the Chamber of Commerce is in Lewiston . Are you familiar with that building? On lower Lisbon Street, near the school down there? Well, that was an industrial building at that time. They oftentimes now refer to it as the Pontiac Garage, because later on it became Pontiac Center's location. But in 1928, my dad found out that this business was for sale because the gentleman who started it, by the name of Price, had tragically been in an automobile accident and was killed. And so this little embryo business that I think only employed sixteen people was on the market. He thought this was a wonderful opportunity to do something on his own, and he contacted, knew anyway, Henry Scammon, who was then the superintendent of the Three Line County Company in Newburyport, Massachusetts, and the two of them decided they should buy this little operation up here in Lewiston, Maine. But that was not so easily done, because Mr. Scammon had five children at that point and didn't really have the resources to purchase the company. But his father was a superior court justice in New Hampshire, and he decided he would provide the five thousand dollars necessary to buy Mr. Scammon's share of the business. And my dad was a singer, semi pro, and made money singing at weddings and funerals and in the church and this sort of stuff, and he had amassed sufficient funds to provide his five thousand. So putting them together, with the help of a bank in Lewiston, they bought the company, which was then called Twin City Counter Company, but when they bought it, it became Gould and Scammon."
