"person","text"
"(lnterviewer(s):","Rachel Desgrosseilliers, Roger Nadeau) December 12, 2006 Rachel Desgrosseilliers: This is an interview with Bruce Hanley, this morning , for the shoe workers oral history project. It is December 12th, 2006. We're in the Bates Mill complex in Lewiston, Maine. I'm Rachel Desgrosseilliers, who will be conducting the interview. Along with us are Roger Nadeau, who also worked in the shoe industry, and Jessica Dumas, who is our new museum assistant. We'll start, Bruce, by asking you , where did you grow up? Bruce Hanley: I grew up in Lynn , Mass, which was the one time, the shoe city of Massachusetts, and probably the country. The history of that city was pretty, you know, the shoe business was big there, not only the shoe business but the tanning leather was a central too, up until probably the World War II, was pretty much a shoe city. And then GE moved in there and GE was, kind of took over. The shoe workers went into the electri-, well, like aircraft engines, turbines, so GE was a big thing. And at that time, probably just before the World War II, was a, was a shoe capital of, of the, of Massachusetts, and probably the country at one time, okay. My, my father worked at, for United Shoe, my mother, before she got married, was a stitcher for one of the factories in Lynn, my brother worked in the tanning industry, I worked in the tanning industry when I was a kid . And this is something I mentioned earlier, that when I was about four or five years old, my next door neighbor was in the shoe industry, as a supplier, and when I was a little kid I used to go next door and wind , for, three or four years old , wind stripping , and his wife would give me a nice big molasses cookie. Roger Nadeau: What was this stripping used for?"
"BH:","Shoes, stripping , you know, binding, binding a, you know, you used to wind it on, on rolls and stuff like that. And when I was a kid I'd wind the, I'd wind the, the binding or stripping. And then, he was still in the bus-, he was an old timer then, old Mr. Peterson, or Patterson, Patterson , I guess his name was Patterson, so he was in the shoe industry probably back at the turn of the century, because he was an old geezer then when I was a young kid . But anyways, that was my first part of, of the shoe business so I started I think young."
"RD:","So where did you go, so then you went to school?"
"BH:","Yes, I went to, I went to the University of New Hampshire and the Boston University. But between that time I went to, I was in the service, I went to Korea, and where I was over in Korea was a shoe, shoe section, or a shoe part, you know, when they, they were still, you know, after the war there, they were still manufacturing some shoes there. So I, I didn't do anything with them but I was still involved with shoes I guess, because I was stationed right in the, what they call the shoe area, for Korea. And I came back home, finished school, got my bachelor of science in engineering, and at that time I, while I was at, in school, I worked at, well Falcon Shoe's parent company as a, on maintenance, while I was in college. And my wife was executive secretary to one of the executives at Eagle Shoe, so my history goes back with her, and I could talk with her about different machinery, because she ordered machinery and machinery parts and stuff like -."
"RN:","Your wife, yes?"
"BH:","Nancy did, yes. And so I could talk about an Ensign lacing machine, which was called ELR, and she'd know what I was talking about. But, so our history goes way back in the shoe business."
"RD:","So, how did you get to come to Lewiston? 2 BH : Well, Ted , like I said -."
"RD:","(Unintelligible word)"
"BH:","Yeah, Ted , Ted was at Harvard Business School, and he, he and I, well we were looking for another place. The factory in Massachusetts was having problems, you know, getting people to work, so we were looking around for another area to start another factory. So I, at the time I was working at the, at the factory there in Everett, Massachusetts, where it was called Eagle Shoe at the time, and still was. Then I went from there, we, Eagle Shoe started a small factory, a pilot factory for, a spinoff factory for something different. We were making men's shoes in Massachusetts at that Everett factory, and we wanted to go into boys' and little ch-, what we called little gents' shoes. So I started, I helped start the factory in what we call Raleigh, Mass. It was a small little factory, it originally was what they call a ten , twelve by twelve, but it was one of the first shoe factories in Massachusetts, years, this goes way back to seventeen hundreds, the factory itself, it's still there, and we, we started a factory there for men's, for boys' and gents' shoes, and that's how I started . And that's, we got going there to start a business. I had to hire a salesman."
"RN:","(Unintelligible word)"
"BH:","And that's, we started selling shoes out of there, hopefully finding someplace. So I, Teddy and I traveled all around the eastern part of this country, from Maine all the way down to, I believe we were down in Carolinas, but we finally ended up here in Lewiston, Maine, because everything was here, workers, supplies, tanneries, the whole shoe business sup-, was right here in Lewiston. So the mill, the (name) Mill was available, at that time it was empty, well in fact, when we first moved in we, the mill had, still had textile machinery there. In fact, when we started moving in, they were just moving out 3 some of the textile machinery. And Bob Roy, got to love him, he was, he was there, I had that huge mill, and we were the only people in it. And we started in, well we started I in the summer, I believe it was '63, and when it came, when we really started to move in it was, I mean it was cold , and Bob would be standing there, we were in the fourth floor, on the farther wing, furthest wing from where the furnace was, and he was, he would be pumping coal, cold as heck, and all those trucks coming in , and we're the only people in the mill. He was heating, you know, twenty thousand square feet for us. But anyways, I can remember Bob, this might be kind of going off the record here, but I can remember Bob standing on the fourth floor and looking out the window and the dump trucks coming in with coal, soft coal, I mean, these huge trucks, and I'd say, penny for your thoughts, Bob. He says, I wish it was, you could give me a lot more. Because, I mean, tons and tons of coal would be going in there just to heat, you know, our little section of, of the building . But then, we started from there and it went, the rest is I guess history, because we start out with that one little section, eventually we had (unintelligible word), we had the sixth floor for a warehouse, we had the fifth floor for a molding department, \ fourth floor was lasting and stitching, second floor was offices, the third floor, you know, ~ sowehad-."
"RN:","And shipping?"
"BH:","And shipping was, yeah, that was, at the time it was, the sixth floor was shipping. Remember AI?"
"RN:","Right. AI Goddard?"
"BH:","Yeah, yeah, so."
"RD:","So the workers, the workforce and whatnot, kind of convinced you, was a major aspect of it? 4"
"BH:","Oh yes, oh gosh , yes, oh we had."
"RD:","What was it about the workforce, was -?"
"BH:","Was great, I mean, people here were, let me tell you, I came from a tough workforce, in Massachusetts they were tough, okay? They, I don't know what, just say this enough, very unionized, okay? So you couldn 't do anything without calling, you know, a co-committee together. If you wanted to bring in a new machine, you couldn't. That's why, the reason we started the other factory, we could bring in new machinery. We couldn't do it there without starting a, you know, a force of, one guy would have to check, check the machine. If I had, if we had a line of ten, fifteen guys, each guy would have to have so, so many weeks on as a test. Well, there's no way you're going to be tested machine for a year just to, so that's why we started the other factory, and that's why we came up here. The supplies were here, the people were here, the, just about everything was here. Great people, in fact we used to have tests, tests for different parts of the factory for -."
"RN:","New machinery."
"BH:","New machinery, well, so for people coming in we had, you know, it was, back when we first started, was a lot of chances for people to, you know, well at the time it was textile business, well, Continental had closed. This buil-, Bates was starting , you know -."
"RN:","(Unintelligible word)"
"BH:","Go down too, so we, we had a, we had a supply of people. At that time too, there was some factories here, shoe factories that were starting to slow down also, but 5 we had business and we were able to, well we went from just a handful of people, at one time we employed over five hundred, just workers, not salesmen, probably maybe office help and five-fifty, six, close to, over five hundred fifty people at one time, you know, our payroll, so."
"RD:","Can you talk about the makeup of the workforce, as far as, you know, backgrounds, education-?"
"BH:","Sure can."
"RD:","What ethnicity they were, what, you know, were they pretty well one, all the same, or did you have -?"
"BH:","Let me tell you , that was an eye opener for me. Ninety nine point nine percent of the workers were French, spoke French, every one of my, my superintendent down to every foreman , could speak French. I couldn't, so I had tore -"
"RD:","So how did you communicate?"
"BH:","Roger."
"RD:","Through the, through management."
"BH:","Right. See, when we first started, that, let me tell you, then most of the people there were, well not, no, not highly educated but they, hand wise, for running machinery, stuff like that, no better place. And they were good workers, they were there every day. One of the things that amazed me too is, is when we first started there were, most everybody could walk to work, most everybody walked to work. They were all from right around here, and that was an amazing thing. I think I had one, one or two foremen that 6 G : d cars, the rest walked to work, Bobby walked to work."
"RD:","So you think that most people in, didn't have their homes as much as lived in tenements? BH : No, yes, oh yeah , little Canada, and yeah, oh definitely. Yeah, there was, and then at the very end , you know, when we, most of those people, well you know, Roger, we all had , they all had , look at the Bossies, they, all their kids, you know, college graduates, all sent their kids to school. Ninety nine percent of the, after few years they were pretty well educated, I mean as a (unintelligible word) , you know, one eighty."
"RN:","Complete turnaround ."
"BH:","Complete turnaround is right, yeah. And we started off, like with the computer, we, you know, we went from , you know, the old fashioned sewing machines to highly computerized , we were the first computerized stitching and joining fact-, shoe factory in the world. Not the count the world. We developed what we call the automatic computer st1 c es with United Shoe. I sent an engineer down there for probably six, six or seven months, just to work with , at, with United Shoe to work on , on computer stitching. So anyways, you know, that was, that was a big thing with us. We probably spent, well even our injection molding machinery were, you know, state of the art. We, we had to buy stuff out of Europe. In fact, I used to go to Europe, oh, every other year, or every, for machinery shows, just because over here, you know, the shoe business was starting to get smaller and smaller, and most of the machinery's made either in Germany or Italy. And we had exotic machinery, and we had our own mold shop, we made our own molds for, for soles. We had our own, just, we were pretty much self sufficient."
"RD:","What about the workers, did they get along, was there strife? 7"
"BH:","No."
"RD:","You know, (unintelligible phrase) , yeah."
"BH:","We had, we had a good , we never really had any real problems. Well we, I think we took pretty good care of our people, didn't we, Rog?"
"RN:","Hm-hmm."
"BH:","I think so."
"RD:","Did you find that other than working together, did they socialize a little outside, outside of work? We're trying to go the whole, the cultural scene and , you know."
"BH:","We did, yes, we had, yes we, yes, all us, yeah, we used to have some good times, always out to camp or to, we always had big parties, and Christmas parties and stuff like that, yeah, we give, I think we always had good times."
"RD:","Was there a special way of getting special jobs, or did everybody, did the job get put out and anybody could apply, or did you go search out people, or?"
"BH:","Oh yeah. Most, most of the time we, from within, but as we started to expand we had to, we had to hire from outside so you did get a lot of, lot of outside people. At the time, well we went from , like I said , almost zero to five hundred, so that's a lot of people. And most, most of, well a lot of our people were right out of high, high school, or even, well, a lot of them came down out of Canada too. We, we used to have a lot, not a lot, at, when we first started , a lot of Canadians, you know, they would come down and, and I was thinking of some of the, some of our, even our foreman , Canadian. Cokie was 8 Canadian, right?"
"RD:","Even in 1963, they'd come down to work in the, the shoe shops?"
"BH:","Yeah, yeah, yeah, believe it or not, yeah."
"RD:","That's interesting."
"RN:","(Unintelligible)"
"BH:","Well yeah, we had, not a lot, but you know, not like back in the '20s or '30s."
"RD:","Right."
"BH:","But we did have Canadians."
"RD:","Did you have, like were there, outside of management, were there certain jobs that was looked down upon, or looked upon as a favorable job, or a better job, or?"
"BH:","Well, like anything, yeah, yeah, we had all kinds of jobs, and if, some people, you know, if, they were geared to, to the job so to speak. I mean they might have not had college education, but we, we had, the fact is some, a few of our guys had , look at Roland , he was, I don't think he, he finished high school, look at what he is now. And , and oh, half-."
"RN:","Greg, Greg Campbell, a great example there."
"BH:","Yeah, oh, ninety percent of them, a lot of them had no high school education, or (unintelligible word) , and they all ended up pretty darn good , making good money, so. 9"
"RD:","Did the workers feel comfortable offering suggestions, or -?"
"BH:","Oh yeah."
"RD:","Being inventive on trying to do things better and so forth , or did they depend on management to tell them?"
"BH:","We used to, no, we used to have brainstorming, we'd take a, take a shoe, and depending, mostly the foreman but sometimes, sometimes the workers, we'd just break our shoe down and see, you know, how can we improve this, competitors' or our own. And a lot of times even the workers would say, well can we do it this way? Let's give it a shot, so. No, we, I think we were, but that way."
"RN:","We had a reward program at one time, for suggestions."
"BH:","Yeah, that's right, yeah, I forgot that."
"RN:","You had the (unintelligible word) for that."
"RD:","Were the workers, did they find the work hard, or? I went to take pictures with Roger, and there was an eighty or late seventy year old woman there, and I asked her when she started working in the shoe industry and she said, sixteen years old, and she's in her seventies or late seventies and she's still working, and she wouldn't think of -? BH : Jeannine Roy? My goodness, Jeannine, she was, she had to be a teenager when she started."
"RN:","She's still there today. 10"
"BH:","She's still there today, and still one of the better, if I, I don't know, because I-."
"RD:","I was amazed ."
"BH:","Some of those girls were great."
"RD:","So, is that the -?"
"BH:","When they got married a lot of them left for a while, and then they'd come back. They'd come back after they had the children, they'd get grown up, and so we had a lot of that too. And, and that was amazing things, someone would come back, we've had , one of the things that, couple hap-, it happened at, we would give lessons after, after work, or knock off maybe an hour or so early, and we'd give some of the, that did not have a high school education, so we'd give them, well you ran that, Roger. GEDs, right? I can remember one girl, she decided that, might, you know, after she got her, her diploma, she went to work for some, you know, into an office, I don't think she was gone a month, was she? And she came back, well, couple times this happened , you know, came back. Well, money was better, and it was manufacturing and it was also more comraderie with the, better than the bank, or an office, you know, different, different type of."
"RD:","Did you have anything that you used in the shoe industry that, that had anything to do with the river, or discharging anything in the river, or that you remember of?"
"BH:","No."
"RD:","Did you use anything like that?"
"BH:","No, we didn't, no, we had no, most of our was internally, steam and everything II was internally, we generated our own . No, I can't remember anything, no, there was no discharge, not to my knowledge, I can't think of anything now. Although we did have chemicals, we did, the shoe industry had chem icals, but we were pretty kosher in that type of thing. We always had inspections, our insurance people were pretty careful with that too, you know. After a fashion , you know, it was probably during our heyday when things like that with the environment was very important. So we, we were, I always considered us pretty, pretty good neighbors, so to speak. No, we never, we never had any problem with the, with the, you know, with the discharge of unfriendly environmental stuff, so no, but we did have chemicals."
"RD:","You mentioned when you first started business, there were other shoe shops. Can you talk a little bit about what the competition was like when you first started? You know, were there a lot of other shoe shops? Were they in Lewiston? Were they in Auburn? Were, and then as you went along, can you talk about how that changed?"
"BH:","Well we probably, I think we were survivors, we survived . Some of them didn't, a lot of them didn't, in fact Falcon is the Lone Ranger, so to speak, you know, they're really, and I can, I can (unintelligible word) , pretty lucky thing. We always found our niche. We started out with little children's, we went to men's, and we developed the u-, what we call the unit sole. We developed the unit sole down in Massachusetts and we brought it up here, and that was, that was kind of unique at the time, especially for children's shoes. We developed what we call PVC, which was polyvinylchloride, which was injected molded, and we had, and we had , oh, we went to urethanes, which was kind of unique, which at the time we were probably one of the first making urethane soles, and again, these, these, this machinery to do that was in the millions of dollars, so, yet, plus the fact, one, you bought a machine, and the machine would be, you know, like this table, each, each place had a mold in it, and the molds could be from ten to thirty thousand dollars apiece, and each sole, each size had to have, you had to have a mold . So very intensive, you know, investment, big investment. I don't know how we 12 did it, to tell you the truth, but we, we did."
"RD:","So, it was your inventiveness -? BH : Yes, well-."
"RD:","Being able to foresee what was happening, and be in the forefront to carve out your own niche to be, that you, that you survived?"
"BH:","I think that's, that's a good point there, because both Ted and I were engineers. He was an engineer and I was an engineer. And ninety nine point nine percent shoe companies were started by salesmen , okay? So we had the manufacturing end of it, I think. We weren't salespeople. In fact, we had a hard time, we'd have a hard time selling the shoe laces, maybe, but anyways, we were one of the first ones to have conveyor lines in like the, you know, shoe industry. And actually we used to have a lot of people from all over the country come to see our places, like Brown Shoe and International Shoe. In fact, I used to, Ted and I traveled all over the place, and that was one of the things, we were always invited to someplace, and we'd give them information, and they'd come to see us and we'd give them information. But it was, we had a good report with the rest of the shoe industry. I think we did anyways. There were a couple places that may not have let us in but, but we, those people were always, we figured they were, we were ahead of them. No, that, and it's, I think that's one of the reasons, the place is still going. It's, it's still, my son is over there now and he's an engineer, and I guess we tend to engineer the, the business. The business was basically engineered, not, wasn't, like I said, it wasn't sales oriented, it was engineered . So we were able to make them, and we would find our own niche, and hit that. Like I said, we went from little boys to big boys, little boys, what we called little gents, and we went to boots or, you know, work shoes, and work boots and safety shoes, and now they're even making , they're , I think they're one of the few places in the country that will 13 make leather firemen's boots. They're not rubber, they're leather and, back when, it was one of the last things I was working on when I, when I left, was developing with the tanneries, right here locally, in the state of Maine, helping, working with them to make fireproof leather. And we did develop it, and that's what they're using right now over there. It's one of the few places in the country. I think it's the only place, to tell you the truth ."
"RD:","Good. What about, do you have a feel for like how the family was organized? I mean, was there an order in the family? Was there like an overall general, you know-?"
"BH:","Amongst the workers?"
"RD:","Amongst the workers and their, and their own families?"
"BH:","We had a lot of, lot of wife, husband, ki-, children."
"RD:","Teams?"
"BH:","No, no, no."
"RD:","That, that came into work?"
"BH:","That worked for us, quite a few. I'd like to, it's a good, that would be a good thing to, to investigate, how many families we had working for us. RN : I would say right now, off the top of my head, that we had at least fifteen husband \ and wife teams doing, when I say teams I mean them being a team, but they did separate jobs. You know, one worked in the stitching, the other one in cutting, you know, lasting , and so forth . But we had that many. 14"
"BH:","Yeah, yeah."
"RN:","Husband and wife."
"RD:","Who was the boss in the family?"
"BH:","I'm going to take the Fifth on that."
"RD:","Well, we find that in the textile industry it seems like-."
"BH:","Was the woman?"
"RD:","The woman was the one that handled the affairs of the family, and the husband most, you know, most of the time, she's the one who took care of the, the household and paying the bills, the husband would come in and give the paycheck."
"BH:","I hate to tell you, I think that's what happened in my family. No, I would say it was, I, I think it was even-Stephen. I wouldn 't, though the women were usually the dominant, they, they could be the dominant ones."
"RD:","Can you speak a little bit about the community itself in general, when you first started versus how it changed, you know?"
"BH:","Very, very much, I would say -."
"RD:","Can you?"
"BH:","Can I? It was very, well like I say, it was oriented that the, the families and the 15 church, and definitely it was a French, and now I think as it, as it got, well near my end , my end of my term, I would say that things changed. I don't know how much, but at the first of it, it was definitely, you know, family oriented, revolved around the community, it was a very close. Like I said, they, a lot of them didn't even have automobiles, and so it was here with , within the community, the clubs. In fact the first, where I, when, the first year or so when Ted and I first started , we spent time here right across the street, there was (unintelligible word) and also at the restaurant there."
"RN:","Cedar Street Lunch. BH : Cedar Street Lunch. In fact, I forget the fellow's name that was the cook there. We, we'd be working late at night, and maybe just before they closed Teddy and I would run over there and we'd get all the leftovers. He'd just fill our plates up, so we could, we could eat once a day, and that was it. But who the heck?"
"NR:","Nell."
