"person","text"
"(Interviewer:","Andrea L'Hommedieu) January 22, 2010 Andrea L'Hommedieu: This is an interview for the Shoe Workers Oral History Project at Museum L-A. The date is January 22nd, 2010, this is Andrea L'Hommedieu, and today I'm interviewing Neil Hanley at Falcon Shoe in Lewiston, Maine. Neil, could you start just by giving me your full name? Neil Hanley: Neil Stephen Hanley."
"AL:","And how do you spell Hanley?"
"NH:","H-A-N-L-E-Y."
"AL:","And where and when were you born?"
"NH:","I was born in Norway, Maine in August of 1966."
"AL:","And did you grow up there, or surrounding community?"
"NH:","Yeah, in the South Paris area."
"AL:","And what was it like in South Paris at that time?"
"NH:","It was a nice place to grow up, I grew up on Paris Hill and it was a nice, close knit community, a lot of good friends, growing up, it was a good place to grow up. Great public schools, safe, not a lot of crime."
"AL:","And what are your parents' names?"
"NH:","My father's Bruce, and my mother Nancy."
"AL:","And how many brothers and sisters?"
"NH:","I had three brothers, so there was four boys, growing up. No girls."
"AL:","Well, talk to me a little bit about your father, was he, at that time when you were growing up, in the shoe industry?"
"NH:","Yes, he moved up from Lynn, Massachusetts in 1963 and started Falcon Shoe with Ted Johanson, and I think he actually lived in the YMCA for a few months until they settled in and found places to live. So he was here three years before I was born, so I've been in and around this place for my whole life."
"AL:","Now, did he meet your mom here, or had he already-?"
"NH:","He met my mom, they were married in 1960, or '59, and they met in Massachusetts."
"AL:","So she was from , was she from Massachusetts as well?"
"NH:","Yeah, and she actually worked in the shoe factory too, as a secretary."
"AL:","So he came here and started Falcon, and you were here a lot as a young child?"
"NH:","Oh yeah, yeah, weekends, yeah, we'd come in with dad on the weekend, and it was kind of fun, because the place was dark but we'd run around and ride around on the conveyors and things like that, up and down, it was fun."
"AL:","Well, talk to me about what you sort of, what interested you in following in your dad's footsteps, did he teach you different aspects of shoe making?"
"NH:","Not so much, really. I just, I was always fascinated with math and mechanics and things like that, and I went to school for electrical engineering, of all things, but I decided after four years of that I really didn't want to be in the electronics industry, I wanted to be more hands on in manufacturing. That certainly was due to my father's influence and being in the shoe factory throughout high school, seeing how things are ' done, the challenges. So that's really how I got into it. I interviewed here with Ted ohnson right out of college, and he offered me a position and it was -I wanted to stay n the area anyway, so I didn't, I prefer to stay in Maine versus, say, Silicone Valley or something like that, that's a big draw too, was to stay in Maine."
"AL:","So what year was that, that you came on as a regular employee? NH : Nineteen eighty-eight, September of '88."
"AL:","So you 've been here your whole career?"
"H:","Yeah, my first day here was my seventeenth birthday, in 1983, because I was enough to go to work and work machinery, so my father called me, he said we need me help, get your fanny in here. So that's how I started."
"AL:","And so how long did , what year did your father retire? Did you overlap for some years?"
"NH:","Yeah, yeah, he retired in, I want to say 2002 or 2003, maybe it was before that. But yeah, I worked for my dad for a number of years."
"AL:","Was he your supervisor, in a way? NH : Well, I was an engineer, so I was responsible to really the whole upper senior management team , which was my dad and Ted. But it was a little awkward at times, working for dad, but never a bad thing."
"AL:","Well, talk to me about Ted Johanson. I know that people have described him in many different ways, and he really, one aspect was that he invested in the people who worked here?"
"NH:","Well yeah, he took very seriously, takes very seriously, the responsibility to the commun ity and to the employees. I mean it was one of the first shoe factories that actually had a retirement plan and profit sharing plans, health insurance, things like that, ~ so very responsible and very caring for the community. And I would just add that when I ~ ) started , I worked the regular shift as a cutter, because Ted thought it was very important 1 for me, even as an engineer, to learn the aspects of the business, the hands on stuff, the importance of leather, leather cutting quality, different aspects of the leather, so I did that for three months full time, and then after the shift ended I would stay later and Ted would kind of mentor me in some of the engineering aspects of shoe making, so it was a good learning experience, and a lot of fond memories."
