"person","text"
"(Interviewer:","Andrea L'Hommedieu) February 2, 2006 Andrea L'Hommedieu: This is an interview for the Mill Workers Oral History project. The date is February 2nd, 2006. I’m interviewing Charlie Herrick at the Bates Mill store, and this is Andrea L’Hommedieu. Could you start just by giving me your full name and spelling it? Charlie Herrick: My name is Charles Herrick, H-E-R-R-I-C-K, and I started in Bates Mill in 1970, and I started off as a can doffer and worked at that for a little bit, and then went on to learn to run the cards and I did that for a few years, and then I also ran the drawer frames for a while, and then I went on to fixing, and then I went into the shop as a machinist, and I was in there for the rest of the time that I was there."
"AL:","And you started in 1970?"
"CH:","Yes."
"AL:","As a can doffer?"
"CH:","Can doffer, yes."
"AL:","What is that?"
"CH:","That’s, the cards are producing a strand of like rope, and it fills a can, and you doff them every hour. And it goes from there onto the drawer frames, which takes about ten to twelve cans, and it splices them all together to make one rope. Okay? And then from there it goes to the slubbers and it’s stretched out to make a finer thread. And then eventually it goes to the spinning room, and it’s a real small thread, onto smaller bobbins, and then it goes to the, let’s see, it would go, like some of it would go to the weave room and some of it would go to, I’m trying to think, (unintelligible word), different things until it goes on to making threads which go onto a warper to make beams, which go on to the slashers, which produces the beams to go onto the looms, which makes the cloth."
"AL:","It sounds like there’s a lot of steps in the process."
"CH:","There was, there was a lot of steps. Because when I started here, it started right from opening the raw bales on through. It was pretty good."
"AL:","And you said at one point you were a fixer. Was that a loom fixer?"
"CH:","No, I fixed cards, I fixed drawer frames, and like I said, then from there I went into the shop."
"AL:","And in the machine shop what did you do?"
"CH:","I was a machinist, and then they consolidated eventually down through the years and made it a millwright, so you did a little bit of everything, you made parts, you went out into the mill and you made repairs, so whatever needed being done, that’s what you did."
"AL:","And I heard that some of the workers were quite self-reliant and if they had tools they needed they 1 were able to make them themselves. Did you ever see that?"
"CH:","Oh yes, in the shop, if something needed like a special tool, they’d figure it out and we had, like blacksmith, could make a little bit. So you more or less formed your own tools that you needed that you didn’t actually have, special tools to get stuff apart, to put stuff together. It came in handy, having a little bit of knowledge. If one didn’t know how to do it, somebody else did. You always worked together."
"AL:","Were there any old timers that, or, I guess old timers we’ll call them, that you worked with when you first started that you can remember?"
"CH:","When I first started as a can doffer, okay, and then when I went on to the, running the cards, I started out and I was the low man, okay, put in a year and a half, I had all the seniority, all the old timers that were running the cards were all retiring. Yeah, there was a lot of old timers, as you’d call them."
"AL:","Maybe I shouldn’t refer to them as that. I’m just thinking of people that I can’t interview that might have stood out in your mind as, to describe, or, it sounds like a lot of them were getting done when you started."
