"person","text"
"(Interviewer:","Andrea L'Hommedieu) August 22, 2005 Andrea L'Hommedieu: This is an interview with Nancy Higgins at, what is the address here? Nancy Higgins: Two Cedar Street."
"AL:","Two Cedar Street, in Lewiston, Maine on August 22nd, the year 2005. This is Andrea L'Hommedieu and this is an interview for the Mill Workers Oral History Project. Could I start just by having you give me your full name and spell it?"
"NH:","Nancy J. Higgins, N-A-N-C-Y, J, H-I-G-G-I-N-S."
"AL:","And where and when were you born?"
"NH:","In Lewiston, Maine, October 8th, 1955."
"AL:","And did you grow up in this area?"
"NH:","Yes."
"AL:","And what were your parents' names?"
"NH:","My mother's name was Bertha Jane Rideout, and my father's name was Merle Parker."
"AL:","And what did they do for work?"
"NH:","Can you pause this for a second?"
"AL:","And did you have relatives that worked in the mills when you grew up?"
"NH:","Yes, I did. My great uncle and my godfather, he worked at Bates Mill for many years. 1"
"AL:","And what did they do in the mill?"
"NH:","He was in the weave room, he was a superintendent in the weave room. And his wife, my aunt, she was in the shoe, worked in the shoe business, the shoe factories around town. But my uncle worked in the mill."
"AL:","And was the shoe factory mostly women, did they tend to go there rather than -?"
"NH:","I'm not sure. I think that they were mostly women. We had quite a few shoe shops in town at one time."
"AL:","What year, was it in the '70s that they started closing?"
"NH:","Oh, I think probably in the '60s, some of them."
"AL:","So what led you to go into the mill? Because you had relatives?"
"NH:","No, initially I started in October and I was going to work just for a few months because I wanted some extra money for Christmas. Thirty one years later, I'm still here. So I just continued. I started as a stitcher in the finishing room at Bates, and it was piece work, made very good money. And then a few years later I was given the opportunity to go into management, become a supervisor, and I did do that."
"AL:","What was it like to work in the stitch room, what was a stitcher?"
"NH:","Very dusty. We would have to stitch so many a day, because it was piece work, we had to meet the quota. At the time I was stitching about six hundred bedspreads per shift, in the eight hour shift. That's a lot of bedspreads."
"AL:","That is a lot. They were eight hour shifts?"
"NH:","Yes."
"AL:","Were they rotating shifts, twenty four hours a day, or was it eight to four? 2"
"NH:","Bates did operate three shifts. In my department we only ran the two shifts, first and second, and I started out in second shift and then went on to days later."
"AL:","And how, was there a lot of pressure to meet your quota? How did that work?"
"NH:","They would train the stitchers, and it takes quite a while to train a stitcher to get up to piece work. And they were good, though, about it, and they would give you, you know, you have to increase every week until finally you were able to go on piece work. They would have other stitchers train. I don't know what else to tell you. I liked it, made good money. The people were great. We'd get two ten minute breaks, and a twenty minute lunch break per shift."
"AL:","And so your supervisors were good? Did they help you, or what, I guess I'm asking if someone was having a hard time meeting their quota, what sort of things did they do to help them get up to speed?"
"NH:","More training, find out what's going on. Is it the operator, is it the material that you're working with, is it the equipment, you know, why aren't you getting, meeting your quota. Not all jobs were piece work, though. Some were just by the hour."
"AL:","And so then you went into a supervisory position. How did that come about?"
"NH:","One of the supervisors was getting done, and so they approached people, I was the only female supervisor there, they were all men. But I applied for the position, I had to take all kinds of tests, these psychological tests that they put me through, it was unbelievable. Like nine hundred questions. There was three of us, I think, that applied for the position, and I got it. I actually took a cut in pay when I became a supervisor, took a cut in pay. But I was okay with that, I had another income in the house, I was married at the time and so it was all right. And I didn't really want to stitch the rest of my life, you know, piece work can be tough. So it was a great opportunity for me. And I had at one point I think it was about a hundred people working for me."
"AL:","Now, do you have a perspective on what it was like to be the only woman supervisor?"
"NH:","Yes, most of the time it was okay. Had no problem with most of the men, that was all right. I thought I'd have a hard time with that, but I didn't. It was really all right, yeah, everyone, everybody was really pretty good. After a while though, work started slowing down and they didn't need me as a supervisor, because they were laying off people whatever. The executive secretary in the finishing room 3 gave her notice, so I took that position and I worked there for quite a few years. And then, the owners at the time were the two Tangs, two Chinese brothers, they were opening up an electric blanket factory, up on the top floor at Bates, and they asked if I would go up there along with Howard Ashby and get that started. So we did. So technically we left Bates at that point, and opened up that new factory. Casco Belton, it was called. And I worked there, we had over a hundred people working for us there. That was hot, up on that floor, up on the fifth floor. Oh, it was just incredibly hot."
"AL:","No air conditioning."
"NH:","No air conditioning, no air conditioning at all, no."
"AL:","Over the years working for the mill, what are some of the things that stand out in your memory as events or experiences that you had, that stay with you today?"
"NH:","The people in general were very nice, nice group of people to work with. Always been very happy about the quality of the product that Bates did, you know, Bates is known for their quality. That was important. Bates did an awful lot for the community. Of course they were the largest employer in the State for a number of years, and then BIW I think surpassed them. It gave a lot of people in this area a good income for many years."
"AL:","And a large portion of the mill workers were Franco-American."
"NH:","Yes, and Irish."
"AL:","Did they tend to work in departments together, or were they just spread out throughout the mill?"
"NH:","Spread out throughout the mill, when I was there, yeah. Because when I started at Bates, you would apply for a position and you, so, like I wanted to be a stitcher. And you can sign for other jobs throughout the mill, so if I wanted to change and go to be a folder, I could have. So it's really a blend, it wasn't, you know, segregated in any way."
"AL:","I heard about the French and Irish rivalries?"
"NH:","Yes. 4"
"AL:","Was that earlier than your time?"
"NH:","Yes, much earlier I believe. Because I started in '74."
"AL:","So you were sort of the last wave of workers."
"NH:","Yeah."
"AL:","Were there some that had been working there a long time that you worked with during your time, and did they have stories of what it was like? Maybe someone I can no longer interview that you remember?"
"NH:","I don't know, did you get to interview Lucille Barrett? She was the president of the union."
"AL:","Yes, yes, yes I have."
"NH:","And Fred Lebel?"
"AL:","He's on my list."
"NH:","Okay, yeah, because he's just a wealth of information. I'm trying to think who else. Dot Hollands passed away now. She would have been great. Quite a lot of these people are passing away. She was industrial engineer department, she used to be the time study, she would come over and time us to adjust the rates to the piece work. Sometimes, you know, she would cut the rates and we weren't too happy with her, sometimes she'd give us a little increase. But she would figure out how much per bedspread I would have, get paid, so you get paid by the bedspread. So it might be five cents, ten cents, whatever, depended on the style that you were working on."
"AL:","And how difficult it was to stitch and all that?"
"NH:","Rights."
"AL:","And what was her name again?"
"NH:","Dot Holland, wonderful lady. Smart. I thought a lot of her, she was like my mentor. 5"
"AL:","Was she?"
"NH:","Yeah."
"AL:","Did she help train people as well?"
"NH:","Not really train, no, no. Most of the time like it would be another stitcher that would teach you how to stitch, or a folder who'd help, you know, teach you how to fold."
"AL:","So you were there when they started downsizing, is the term we use today."
"NH:","Yes."
"AL:","What was the feeling like in the mills when that started to happen?"
"NH:","It was sad, it really was sad, because we're seeing so many people leaving. Of course, a lot of people were just retiring. Some of the younger ones, they could see it coming so they went and tried to find other work before it actually happened, before it closed. I ended up, when we closed the electric blanket factory they sent me down to the mill store to work, so that's when I went down there. And I'm still here at the mill store."
"AL:","So who owns this now, this is the, what is left of the original?"
