"person","text"
"(Interviewer:","Andrea L'Hommedieu) July 24, 2009 Andrea L'Hommedieu : This is an interview for the Shoe Workers Oral History project at Museum L-A. The date is July 24th , 2009 ,and I'm here with Laurianne Hynes, and this is Andrea L'Hommedieu . Laurianne, could start just by spelling your name for me, so I'm sure I have it right?"
"LH:","Last one or the first one?"
"AL:","Both"
"LH:","The first one is all in one word, L-a-u-r-i-a-n-n-e. Hynes, H-y-n-e-s."
"AL:","Where and when were you born?"
"LH:","Was born in Lewiston, Maine, October 17, 1933."
"AL:","So you grew up in this community."
"LH:","Yes."
"AL:","And what were your parents' names?"
"LH:","Edward and Amelia Trembly."
"AL:","And what did they do for work in the community?"
"LH:","My mother worked in the mill, and my father's the one that built the cellar down here, where I'm living now. Mr. Boucher, the Mayor of Lewiston and Auburn , owned this place, and when he started up, my father happened to be laid off, and he's the one that made the foundation of this building. Long time ago."
"AL:","So your father did construction."
"LH:","He did construction , and he was a bed laster in the shoe shops, and my mother worked at the Bleachery, in the mill. I don't remember the job she was doing."
"AL:","Was that Jean Charles Boucher?"
"LH:","Yes, the mayor. He used to be mayor of Lewiston."
"AL:","And so how many brothers and sisters did you have? LH : We had two brothers, one died, one is dead , and I had two sisters, one is dead too. We were five . There's only three of us left."
"AL:","What part of Lewiston were you living in? LH : On the Old Greene Road, right up here. I was born , at those times, you were born in a home, you didn't go to the hospital, so I was born in that block, where we lived, across the street on the third floor. My brother was born there, my two brothers were born there, my sister was born on the second floor, and the baby one, Sue, was born in a hospital."
"AL:","So you lived there most of your growing up years."
"LH:","Oh yes."
"AL:","Is the house still there?"
"LH:","The house is still there, but it's all fixed , remodeled . The block is still there too, but it's all remodeled ."
"AL:","So what was Lewiston like when you were growing up?"
"LH:","It was nice. We used to go downtown on Saturday afternoons, a whole bunch of us, we used to take the bus. We used to go downtown, there was Woolworth, there Kresge's, there was Newbury, there was, name it, they had it. There was (unintelligible) news, and it was wonderful to go downtown . Now, downtown is like a ghost city to me. There's nothing down there, nothing that attracts me down there no more."
