"person","text"
"(lnterviewer(s):","Rachel Desgrosseilliers, Roger Nadeau) Rachel Desgrosseilliers: Rockland , at the Island Institute today. We're interviewing Ted for the shoe workers in the industry. This is part of the oral history project. We are interviewing Ted on November 27th. I'm Rachel Desgrosseilliers, who will be doing the interviewing, along with Roger Nadeau, who used to work for Ted at Falcon Shoe. Ted, could you start by stating your full name and spelling it, so we have it correct to the -. Ted Johanson: Do you mean the official Theodore, you mean that, Theodore Courtland Johanson?"
"RD:","Exactly the way you are, or how-."
"TJ:","Okay, T-H-E-0-0-0-R-E, Courtland , C-0-U-R-T-L-A-N-0, Johanson, J-0-H-A-N- S-0-N ."
"RD:","Good, where were you born?"
"TJ:","I was born in Lynn , Massachusetts. Lynn was actually a shoe town, and that's how I got in the business."
"RD:","Oh, okay, good, that's interesting. And when did you decide to move to Lewiston? 1"
"TJ:","That was, we started in 1963 was, I think, when the factory started , and I had got out of college. I was an engineer, a graduate engineer, and went to work for a shoe factory, which was my family's business back in Massachusetts. I had done a study for them, and it was obvious that they weren't going to survive in Massachusetts, in my mind, and so, I had done a study for them of places that they could move their factory. I came up with three places, and they turned them all down, and then it finally dawned on me that my father and his two brothers, who basically owned the business, they didn't want to leave Massachusetts, and they were, at that time, they were sixty years old and why should they leave. So I realized that if I was, for the bus-, if I stayed there, that business was going down, and so I looked to set up a factory of my own. I had one of the brothers, which was the president of the company, my uncle, he said , he said, I'll get five investors together, we'll put up five thousand dollars and you can go build your factory, and I didn't have a nickel. And, so then in my travels of looking at a place for them, I had found Lewiston-Auburn, which was not one I had offered them, because they had capital and could set up a factory somewhere else, so we had looked at other, other communities, but I knew of Lewiston-Auburn. And there was, one there was high unemployment, there was like eleven percent. There were high unemployment among skilled shoe workers, which was important in my mind, and there were empty buildings because the, the textiles were leaving, and so there was tons of space that could be rented for pretty much nothing. There was an infrastructure there for the shoe industry in Lewiston-Auburn . United Shoe Machinery had an office there. They kept supplies there. There were all kinds of shoe suppliers in that area, so it was a perfect place for somebody who didn't have a gosh darn nickel to get started. And so, that was the place I figured would be the best, you know, for me."
"RD:","What was the community like, when you first established in Lewiston-Auburn? 2"
"TJ:","There was, there, it was, it was definitely I would say the Franco-American heritage was still strong, very strong, because I can remember one of the things, I ended up, if I can remember right, and when I, I first lived in there, I lived in a motel called The Masonette, which was downtown-."
"RD:","Bless you."
"TJ:","Yeah okay, but that was, got to be, (unintelligible phrase), to my date, I ended up, I ended up living at the YMCA over in Auburn, because it was, I think, nine bucks a week or something like that, so that's where I ended up living for the first six months. But anyway, I mean it was interesting to me that, that downtown, you know, still you saw teenagers talking French to each other. That indicated to me that heritage was strong, and that it was, it was still there. And I would have to say in the time that we were there, and the factory was there, you lost that. You know, we really lost that, we lost that heritage. But there was, that was the, the main and downtown, you know, that was, was, was really the center of that, that French culture, it really was. And I, I loved it, it was, it was, it was terrific. But anyway, that was the, the major difference, and the other th ing was, there was unemployment, tremendous unemployment in Lewiston at that time, it was ten or eleven percent, and that was really the best decision we ever made. I mean because the people really did want to work. You know, that was the one thing that Lewiston-Auburn had."
"RD:","And the French culture are hardworking?"
"TJ:","Yeah, absolutely, yeah, absolutely, yeah , it was really great. That we had, we, we even had tryouts for our job when we started . You know, I mean , with that many unemployed people that you could put in tryouts for, for, for very specific trades, like a bed laster. We're having bed laster tryouts at, at ten o'clock, and 3 you might have five or six people come in and tryout to be a bed laster."
"RN:","And then that's how you, you opened up. I know that was in '63, and I didn't think, get there until '69 myself. But I, I didn't, we -."
"TJ:","The thing was, I had some ideas and they were unique for the shoe industry, and basically one was kind of a conveyor operation. And when people would come in to tryout, there were always people who didn't like change, and people would say, oh that will never work. I'd say, okay, next, because you had four or five people to choose from , and there was no sense choosing somebody who didn't have faith that what you had was going to even, was not going to give it a try, if you know what I'm saying. And it was only (unintelligible word) even possible because it was system (unintelligible phrase) point, it really was. I mean those people really wanted to work."
"RD:","So, when you started, what was some of the major challenges that you faced , if it was easy to get the workers?"
"TJ:","Well, of course, you know, the, the, the big challenge, of course, you got to get the customers, okay. I had an old salesman, that I had, in the old days he had worked for my father and uncles, and then he had broken off and set up his own company with five other partners back in Pennsylvania, or something. But they were a typical, I'd call it a Brooklyn partnership, you know, in that one would leave everyday and a new partner would come in everyday and they were always fighting and all this kind of a, and finally Aaron, his name was Aaron Petashnak, and Aaron finally left them. And I think they went broke, if I'm not mistaken, I don't know. And so, Aaron, I teamed up with Aaron, he was my salesman, when I started , and you know, getting the customers was very important, you're brand new, who is going to give you the business. And we were lucky, I mean, to be 4 honest with you. He had the stature to get the first orders from people, but then the product had to speak for itself, and we really worked hard to make a very quality product, and , and the people liked the product, and we went from there. But Aaron got, you needed an Aaron to get us in the door of those customers, and then once we were in the door, the product, you know, was, was good and was inexpensive. Our, our process was always, our philosophy was always to have the most modern techniques that we can use because I start-, I started with the fellow, Bruce Hanley, who was my vice president of manufacturing , and we were both engineers, and so we saw the shoe industry for what it was. You have an awful lot of handwork, and technology was just coming into the, into the shoe industry, and of course, it was, you know, most people, they really don't like change, and so it's very difficult to bring new technology into anything, and that was Bruce and l's forte, was to bring technology into that, into the industry, and therefore our costs were a lot lower than anybody else's and , and we grew pretty rapidly, which is a-."
"RD:","Your, your, well your workforce, can you speak a little bit about them? You mentioned something about a lot, it was easy to get into the, you know, as far as, you didn't need an education, and so forth. Did you have a, was it a good workforce? Did you have to -?"
