"person","text"
"(Interviewer:","Andrea L 'Hommedieu) April 23, 2010 Andrea L'Hommedieu: This is an interview for the Shoe Workers Oral History Project at Museum L-A. The date is April 23rd, 2010, and I'm at the home of Ed Koss in Lewiston , Maine, and this is Andrea L'Hommedieu . Ed , could you start just by giving me your full name? Ed Koss: Edward Lester Koss."
"AL:","And where and when were you born?"
"EK:","Lewiston, Maine."
"AL:","And when?"
"EK:","November 30th, 1933."
"AL:","And is Lewiston where you grew up?"
"EK:","Yes."
"AL:","What was Lewiston like back in the late thirties and the forties, in terms of-?"
"EK:","It was a shoe town, all the way through, and-"
"AL:","Were the mills still open at that time?"
"EK:","The mills were in the process of closing, and the shoe factories were basically going good , until we ran into what was called the Chinese."
"AL:","And was that later in the eighties, seventies?"
"EK:","I would say in the sixties, the late sixties, the imports started to come in. They ~ just opened the doors and that was the starting of the end of the shoe industry in Maine."
"AL:","And what was downtown Lewiston like, did you spend time downtown as a family, or socially?"
"EK:","Not really. We used to go shopping in Portland a lot, for clothes and everything, and my mother would take us when we were small and then we would , downtown Auburn, I used to go to a Cobb-Watson Store and get my clothes there. We never really went downtown that much. Going back, my father came into here a lot earlier than we, well he wasn't even married , and he had a factory with the old Morphy Shoe they called it, it was behind the Strand Theater, and he started making women 's shoes there with a partner, he had a partner, Joe Goodman, a junior partner, and -"
"AL:","And your dad's name was Joe, too."
"EK:","Yeah, Joseph Koss. He lost that during the Depression, and he lost it to Knapp Shoe, and today I think it's a, where the operating rooms are, the CMMC's heart thing. And that's how he got started , and then he went into the gully, we called it the gully, in Auburn ."
"AL:","What's that? /"
"EK:","That was his other factory that he started after the Depression, he bought a house on Elm Street, right above it, and we used to go walk down to work all the time, right by Edward Little High School, the old Edward Little High School. And there, I learned most of my stuff from Jerry Feinstein, I would say I learned eighty, ninety percent of it from him."
"AL:","So he was-"
"EK:","He was a superintendent, the general manager, he was a very, very, very good shoemaker, and a very, very, I don't know how you put it but like a perfectionist. Yeah, he didn't trust anybody for doing anything. I think he trusted me more than anybody else, you know, because he said you're going to do it my way or I'm not going to bother with you. And so I did it his way ninety percent of the time."
"AL:","And it worked."
"EK:","Buying, or making shoes, if someone was out in the factory I would go, whether it was the making room or the lasting room and go over and take over in there until they came, or someone was hurt, I used to go all around the factory looking at the shoes all the time. My father would look at it, he had a knack of finding something that wasn't there. He had a very good eye to find out if anything was wrong, and Jerry and I used to sit and laugh, but he would make a lot of noise."
"AL:","And he was your older cousin, is that right?"
"EK:","Yeah , he's older than me. Today, well I'm seventy-seven , and he's got to be ninety-three, something right in there. He came up as a young gentleman , well he came right out of, he was one year in college somewhere and then he came up here, or high school, and from there he just went in, and he had an excellent relationship with my father, believe it or not, and he was tough in the factory."
"AL:","Your dad?"
