"person","text"
"(Interviewer:","Andrea L'Hommedieu) October 28, 2009 Andrea L'Hommedieu: This is an interview for the Shoe Workers Oral History Project at Museum L-A. The date is October 28th, 2009, and this is Andrea L'Hommedieu . Today I'm interviewing Herb Koss at his home in Lewiston. Herb, could you start just by giving me your full name?"
"HK:","Well , my full name is Herbert Koss, K-0-S-S."
"AL:","And where and when were you born?"
"HK:","I was born January 11 , 1937, right here in Lewiston. (Aside: '35, Herb) Oh, '35 , that's right. You were born in '37."
"AL:","So you were born right here in Lewiston. Your parents, where were they from?"
"HK:","Well both my mother and father were immigrants from Russia. My father came from Russia to Haverhill, Massachusetts, and my mother migrated into New Bedford, Massachusetts."
"AL:","As young people? Were they grown?"
"HK:","Yeah, no, they were grown. My father was about twelve years old , and my mother came as a baby, brought over by her parents."
"AL:","And how did they meet?"
"HK:","Well, that's interesting. My father's family had a summer home in Salisbury, Massachusetts that they rented , and my mother was up there visiting one day, with her family , and he saw her and wanted to be introduced to her, and she didn't want anything to do with him because he was kind of a roughneck, in those days, from Haverhill. An old time shoe manufacturer. But eventually they got together and they fell in love, and they were married in Massachusetts, in Brookline, Mass."
"AL:","Okay. So your father was the first in your family to get involved in the shoe industry?"
"HK:","Not really. His brother, he had a brother that also was working in the shoe factory. He started off as what they call a block cutter in a shoe factory in Haverhill. That's in the cutting room . In those days, they didn't have clickers or hydraulic machines to cut the leather. They used to have a mallet, and they'd put the dies over the leather and then they, brute force, they would hit the die with the mallet, and then the pieces would be cut out. And that's how he started in the shoe business. Then he started selling the scraps from the leather to, they used to grind it up and make other materials from it. And that's how he stared in his own business."
"AL:","Is this your father or your -?"
"HK:","My father and his brother. And before that he used to be a fruit peddler in Jamaica Plaines, before he got into the shoe business. So it was a long history there. And finally he decided he didn't want to be a cutter any more, so he started selling his scrap leather. Then he borrowed from some friends, five thousand dollars, and they opened a shoe factory in Massachusetts."
"AL:","That was a lot of money in those days."
"HK:","Oh, it was tremendous. You could run a shoe factory for five thousand, or any business for five thousand . Today, it's nothing . So, from there he went broke, twice, in Massachusetts. But again, he was able to start up. He had some relatives that he got involved with and started another factory, and they were manufacturing shoes at Haverhill , and it was around 1937 when there was a strike in Massachusetts with all the shoe factories. So my father had heard about the Lewiston-Auburn area being a center for shoe industry, so he moved up here with my mother. I wasn't born yet. They bought a house in New Auburn, and they opened up a shoe factory called Morphy Shoe (sounds like)."
"AL:","How do you spell that?"
"HK:","I wish I knew."
"AL:","Okay. But it is in the building today that is housed by the CMMC in Lewiston . At one time it was the Lown Shoe Company, and he rented space there, and they made women 's shoes. He was the first manufacturer to make women 's high heeled shoes successfully. Because up until that time, the heels always used to break. They would never last very long , and people would get hurt. So he was the one who, I don't think invented , but they put a wooden dowel inside the heel to reinforce it. And they were very successful in making women's shoes in this building ."
"AL:","And what was your dad's name?"
"HK:","Joseph ."
"AL:","Joseph Koss."
"HK:","And my mother's name was Reba ."
"AL:","And did his brother come with him to Maine?"
"HK:","No, no, his brother stayed in Massachusetts, in Haverhill, and opened up a retail store. For years he used to buy shoes from my father. Well, he used to give them to him so he could sell shoes in Haverhill. Father, his brother's name was Jacob, so that's how he started. Actually it was in 1937, and he was the first Jewish manufacturer in the Lewiston-Auburn area . After, I don't know what happened , the factory closed and he brought up a nephew with him , or no, it was a, yeah, a nephew, Joe Goodman , who was a relative of his, and he was the superintendent. And they opened another factory in Auburn. It was down on Hutchins Street. You either know where Hutchins Street is or you don't, it's by the old restaurant, by the old (unintelligible) high school in the gully."
"AL:","Okay."
"HK:","So he started manufacturing shoes there and he made all different types of shoes, I mean there was at least ten different formulas, or different types of shoes that they made. And he had his own milling process down there for making crepe soles, which was popular at one time. He made slippers. He made what they call American welts, Goodyear welts, which is all terminology for the different types of manufacturing . Men's shoes, women 's shoes, children's shoes, depending upon what was popular."
"AL:","Right. So the production went up and down according to what they demand was at the time?"
"HK:","Yeah, but it was quite busy in those days. There was no foreign manufacturers. All the shoes were bought here in the United States. So it was a question of what type of shoes you were going to make and what customers you were trying to target. My father was selling mostly large chains, and then eventually discounters."
"AL:","So you got into the business eventually. I I HK: Well yeah , my brother, and I have a brother also, Edward who lives here in Lewiston, we were brought up in the shoe business, in the factory actually, when we were- I like to tell a story, when I was thirteen years old my father took, and my brother was two years older, he took us, and we, during the summers, from school, we would clean out the warehouse. That was our job. And my mother, when we came home at night, used to have to scrub us down because we were so filthy with all the dirt. And we had to wear a mask. We looked like we came out of a minstrel show. That's how he and I both started. And then, it was every summer from there on. We would work in the different sections of the factory, learning the manufacturing process, and also the different types of leathers that had to be used. And then when I became fifteen years old, which was a big thing because we got our license, my father said, you're going to drive me to Boston every Wednesday. Wednesday was market day, so all the manufacturers from the Lewiston-Auburn area, and actually all over the state, would migrate on this one day a week to Boston. It was quite busy there. We had an office on Lincoln Street, and all the leather salesmen and the component salesmen that sold different parts to the shoes would gather on Lincoln Street in Boston and visit all the offices from the factories and they would show their wares, their leathers. There was a lot of purchasing done. Of course everybody got together and had lunch, and then we'd drive home at night. So this went on for quite a few years. And then we would also travel, I would travel with my father, selling. We would sell shoes. There was a great deal of cl ients in and around the Massachusetts area, so we would drive down with the samples. Wednesday we would be on Lincoln Street doing our buying , and then we'd take a few days and drive around through Rhode Island , different parts of Massachusetts, where clients were located , selling shoes. So that's how I got started . Then I eventually went into sales one hundred percent. I got out of the factory. My brother stayed in the factory. He was the inside person, I was the outside person . And eventually, I have a cousin, who still lives · Lewiston, his name is Jerry Feinstein ."
"AL:","Yes."
"HK:","You may have heard of him."
"AL:","I know him ."
"HK:","Yes, and he was our superintendent, and for many years he was very helpful training us. Then he left and opened up his own shoe factory in town, making hand sewings, called Billings Shoe. And he still, he's in his nineties, but he's still here today, thank God . So that was the quick history of our progression to what happened in the early days."
"AL:","Right. And so did your father eventually step back and your brother took over? You and your brother together really."
"HK:","Yeah, my brother, he was on the inside, I was on the outside, so in around , I'm thinking around 1960 the manufacturing was starting to dwindle. Imports were becoming very prevalent."
"AL:","That early?"
"HK:","That early. The handwriting was already on the wall, that imports, footwear, was very popular. Shoes were being made in Italy, especially in Italy, cheaper. And then in Spain . And the quality was very good , and the public wanted it. Unfortunately we, as an American manufacturer, were not subsidized by the government as they were in Europe, so we couldn 't compete. Our labor costs were high, insurance costs were high , and rising . So even though we were still manufacturing, we opened up an import division. We took our in-stock division, which was in the same building, in New Auburn, and we went to Italy and bought a new line of shoes, complement the ones we were manufacturing. And then what happened was, the manufacturing dwindled , and we eventually closed it in 1960 and became strictly an importer. And that was the demise. And you could see, it was written on the wall that the shoe industry was going to shrink, and was shrinking."
"AL:","And you could see, at that time could see shops starting to close around town ."
"HK:","Oh yes, many shops. And today I don't know if there's more than two or three shops located , still here. There not very big, struggling. But that's today. You want to know about what happened then."
"AL:","Yeah, well, and so I mean you were in the business and learning about it in the fifties, in the 1950s. Can you give me a sense of what Lewiston-Auburn was like in terms of the shoe industry at that time, before things started to turn? Like a picture of, how busy was it and how many shops where there."
"HK:","It was very busy, very busy. And there were a lot of manufacturers. There was a lot of competition for employees, skilled employees. And when I say skilled employees I mean stitching, which was an art. And there was also a competition for hand sewers, which is a very strenuous and time consuming art. And the competition was for these people who, the employees were very much in demand. And we found that there just wasn't enough in the, younger people who were in school at that time didn't want to work in a shoe factory and their parents didn't want them to work in shoe factories. So that was another problem . In those days, they wanted to get a college education and get out of this business, because it wasn't the best job in the world, and it wasn 't the best paying job in the world."
"AL:","So you had a lot of turnover with employees, especially-?"
"HK:","Well, we did, but a lot of them retired , and then after retirement the children, or the grandchildren of these people that had this art of hand sewing or stitching, or making, running the machinery in a shoe factory, was a diminishing art. So that was another problem we ran into, in addition to the imports themselves. And as I said before, in Europe at that time, the factories, the governments of these foreign countries were subsidizing their factories. They were giving them a percentage to ship overseas, especially here. So that was another strike against us, so it was getting very difficult. And my father at that time decided to say that it was time to call it quits as far as manufacturing. But you want to know about manufacturing, so I'm getting on what's the demise of manufacturing , and I don't think you want to know that."
"AL:","Well , let's talk about the manufacturing then."
"HK:","Okay, what about it? There 's so much involved in manufacturing. What specific, do you have any - ?"
"AL:","Well, I guess I'd like to know the process."
