"person","text"
"(Interviewer:","Andrea L'Hommedieu) September 4, 2007 Andrea L'Hommedieu: This is an interview for the Brick Makers Oral History Project. The date is September 4th, 2007. This is Andrea L'Hommedieu, and I am interviewing Eloi- Eloi LaChance: Eloi, yeah, they call me Eli."
"AL:","Eli?"
"EL:","But my real French name is Eloi."
"AL:","Eloi."
"EL:","Eloi."
"AL:","LaChance."
"EL:","Right."
"AL:","And where and when were you born?"
"EL:","I was born in, in Quebec Province, a small, farming community in (name), in, in, in Quebec Province. I was born and raised there until I moved to Maine in, I was born in 1941, March of '41, and then I moved to Maine in May, May of '61 , 1961 , I was twenty years old."
"AL:","Now, what brought you to Maine?"
"EL:","It was mostly for work. I mean, back then, in our area, there was, it was a farm, farming community, and of course, we were a, we were big families in those years, they had big families, and we were. There were fourteen kids in the family, so we could not find work, every, any, any place that we could. So there was no, no place to go to earn a living really. It was small, small business here and there, but not enough to employ a lot of people. So back then, people were either moving to Quebec, Montreal, or bigger cities, and some were moving to the United States, and for some reason, I decided that's, that's what I'm going to do."
"AL:","Did any of your brothers or sisters come also? 1"
"EL:","Back then there were, well, I had one brother already here, my, it was, two years older than me. As a matter of fact, he's still here in, in Lewiston. He lives now in Minot, Maine, yeah. It took me a while to get my, my visa, and we needed a passport or visa to get through the border, and then of course, there was, they had somebody that had to provide us, they wanted to make sure that when we crossed the border that we had some work to do. So, back then, Bates Mill and Hill Mill were providing, I don't know, I forgot the name, what they called it, like a some type of work besides that, so when we crossed the border, we had some work, we could not be on welfare, or whatever. Yeah, so, so, I guess, and it was through Bates Mill, that I got my paperwork all in order to cross the border."
"AL:","So, that was the first place you worked when you arrived?"
"EL:","That was, basically, well, I, Bates Mill was not the first place though. Morin Brickyard was the first place that I worked with. Oh, even before that, because when I moved to Maine, it was in early May, and the brickyard was not working at that time. They started, it, it's, it, it was just as a season like, the brickyard. They didn't start early, I think, if I remember correctly, they, they started toward the end of May or early June to start to make the brick, because they were waiting for the hot season to start, in order to mix the mortar and the stuff there, the clay to make the brick. I mean they had to wait for the warmer weather. So, in the meantime, I stayed in Augusta for about, I think, about three weeks that I was in Augusta trying to, to earn a few bucks, because I didn't have much in my pockets. And in Augusta, I worked at a, Hill, what is it called, Hillcrest. It was a place where they, they killed chickens, how you call it, I'm not sure what you call that. They like, they had a place right here in Lewiston, they were doing that, a place where they'd prepare the barbeques and, and, and poultry. And I worked there for a couple of weeks, but, but I hated it, that was not my line of work, no."
"AL:","And so, then you came to (unintelligible word)?"
"EL:","Then when the brickyard was ready to, to hire, then I came, and that's where I decided to work, yeah, in the summertime."
"AL:","And what did you do there?"
