"person","text"
"(Interviewer:","Andrea L'Hommedieu) September 26, 2005 Andrea L'Hommedieu: This is an interview for the Mill Workers Oral History Project. The date is September 26, 2005. Today we're interesting Doris Labbe, and this is Andrea L'Hommedieu. Could I have you start just by giving me your full name, including your maiden name? Doris Labbe: Doris Ouellette Labbe."
"AL:","And that's O-U-E-L-L-E-T-T-E?"
"DL:","Right."
"AL:","And Labbe is L-A-B-B-E?"
"DL:","Right."
"AL:","And where and when were you born?"
"DL:","I was born in Lewiston."
"AL:","And your birth date?"
"DL:","November 15, 1923, so that would make me close to eighty two."
"AL:","And is Lewiston where you grew up?"
"DL:","Yes, yes."
"AL:","So you were born in the '20s, and so what was the Lewiston community like at that time, in terms of social activities?"
"DL:","Well it was really Depression, 1923, so I was a baby then. And then growing up I went to school, to Holy Cross School, which I was the last one, the last member of the family, youngest, and graduated from 1 Holy Cross School. And that's it, that's as far as I went, I didn't go to high school or anything, because we were too far out to travel. There was no way of commuting, there was no busses, no lines, so, and I lived on River Road then, so. And that's a long time ago, but that's about it. And then I started working at Bates, that was during the war, 1941, and I worked there for forty three years. I retired in 1984, and they gave me a watch for my, when I retired. And I don't know what else."
"AL:","How many brothers and sisters did you have?"
"DL:","I had three brothers, yup, three brothers, and we were four girls."
"AL:","You were the youngest?"
"DL:","I was the youngest."
"AL:","And did a lot of families do things around the church and religion, was that a strong piece of the community?"
"DL:","We were quite, living, we weren't too much of a neighborhood, there was only a few houses. And way out there, at the time. And then it started to grow, but the rest, when I was a teenager, and I used to go to a lot, did a lot with my girlfriends, but that's about it. And then when I first started to work at the mill, that's where I met my husband. He worked there also, he was a truck driver, after the war. He went to war, so I started in '41 while he was away, but when he came back, that's where I met him. Because they were allowed to have their job back after the service. So he came back, and so we got, he started working the yard, and he was a truck driver for the Bates Mill. And I was, I started working at the mill, I was, let's see, 1941, I was what, eighteen? And I was, and then I started on the cutting table, and then I went to, on the sewing, then I was a sewer, I used to stitch on the blankets, well, the big George Washington and Martha Washington. And then I went to the regular, where they did the regular bedspreads, and then I stitch on the drapes, draperies. I was there for a while, for quite a while."
"AL:","Was there one job that you liked more than another?"
"DL:","I liked stitching, sewing, you know. Well, it was kind of interesting, because you, different things, you know. So anyway, of course there was a lot stitching in those days, it was a good, before it closed. 2 And I was joking, I said, maybe it's closed because we weren't there. But no, it's, so, and his family worked there all the time, all of them."
"AL:","All your husband's family?"
"DL:","Oh yeah, yeah, the father and the mother, and the sisters and the brothers, they all worked there. And me, I had my sister-in-law that worked there, and my son. My son, he worked in the office. So, what else? I, it's not very interesting."
"AL:","I have a question about wages. Did you automatically get a raise every year, or could you make, depending on how much you stitched, how did it -?"
"DL:","Yeah, it was piece work. And at the beginning, when we were stitching was making, we were making seventy nine dollars a week. A week. And that was a big, oh, big thing. And you were paid in cash in those days. And after a while, you know, the, we got the checks, a long time after. The paycheck girl would come and would be all envelopes and all, everything written on it, and the change, you know, whatever it was. At the beginning, I should have kept it. I kept it a long time ago, a long time, and I says, oh, what am I going to use that for? But you never know, eh? You know? Seventy nine dollars we were making, and that was a lot in those days. And then, well, after that, well of course when we worked piecework, the more you made the more, sometimes we would stitch, it depends on the thickness of the, when it was ripplette, like, it's light, they used to use that in the hospitals, you know, the bed, not the bedspread, but that, we used to stitch about two hundred and fifty an hour. Both sides. One side, then you pull, and then you get the other side and then it goes. And the folders would pick it up at the end, and they would fold it at the same time. And of course the wages increased after a while. But I don't, I don't remember how much we used to make a day, as far as wages. It depends, because there was different rates for different styles and different, so, it's a little complicated in a way. For a while."
"AL:","Were there any social activities that were associated with the mills?"
"DL:","Yes, there, well yes, because there, sometimes they would, a long time after that, they had reunion, they had parties, and we went to see Maurice Chevalier at the Lewiston Armory. Yeah, almost forgot, that's a long time ago. And, well, and then there was the, oh, I have a picture here that they took when I was taking first aid at the nurse's station. If you're interested in the picture, I have it. And there used to be, well of course dinners every time that some people would retire, you know, they'd have big parties 3 and all that. That's about all I can think of."
"AL:","You said your parents worked in the Androscoggin Mill for a time?"
"DL:","Yes."
"AL:","Was that through their career, or just for, yeah?"
"DL:","Yeah, yeah, it was, he was a loom fixer, and my mother was a loom girl, in the weave room."
"AL:","And what were their names?"
