"person","text"
"(Interviewer:","Andrea L'Hommedieu) December 7, 2005 Andrea L'Hommedieu: This is an interview for the Mill Workers Oral History Project on December 7th, the year 2005. This is Andrea L’Hommedieu and tonight I am interviewing Jacqueline and Gerry Lafrance. Jackie, could we start with you? I’d like to ask you your date of birth and where and when you were born. Jackie Lafrance: April 16th, 1927, and I was born in Lewiston but I’ve lived in Auburn all my life."
"AL:","So you grew up in Auburn?"
"JL:","Yes."
"AL:","What area of Auburn?"
"JL:","Right here."
"AL:","Right here in New Auburn?"
"JL:","Next door."
"AL:","And what was the community like at that time, was it sort of the outskirts?"
"JL:","Outskirts, it was wooded. It was, there was nothing, just that one house, that’s all there was."
"AL:","And were your parents both from this area?"
"JL:","My mother was from Auburn. My dad grew up in Auburn but was born in Canada."
"AL:","And did either of them ever work in the mills?"
"JL:","No, I don’t believe so, no, they were more shoe shop. No, I don’t believe they did."
"AL:","Do you recall if the shoe shops worked on shifts? Gerry Lafrance: Yeah, she, you worked on shoe shop."
"JL:","Oh, just briefly, I didn’t, just when I came out of school."
"AL:","Was it shift work like the mills, or was it more daytime?"
"JL:","Oh, no, I think it was just daytime, from what I remember. I don’t believe they had shifts in shoe shops. I’m not sure, though. I don’t have that much knowledge."
"AL:","So, at what age did you go to work at the mill? 1"
"JL:","Oh, let me see. I would say twenty, I would say about twenty years old. I started at General Office, and then I got transferred to, from General Office, I worked in the lab there, and then we, they transferred us to Bates, the Bates Division then, and they built a lab there and they transferred our, what was left of the General Office, they transferred us there and I worked there quite a while. I’d say, oh, I don’t remember how long. But they closed the General Office and then, like I said, they transferred us to Bates."
"AL:","What kind of work did you do in the lab?"
"JL:","Sugar analysis."
"GL:","Oh, my God, that’s hard to explain."
"JL:","With raw cotton, we analyzed raw cotton and we were taking the sugar contents out of it, and we analyzed that. And I did that for a few years, and then I got transferred into the office and I stayed in the office until I retired, in the main office at Bates."
"AL:","Was that more clerical work?"
"JL:","Yes, it was all clerical. When I retired I was in customer service. We worked directly with the salesmen in New York."
"AL:","And as a woman in the mill, was there any, were there issues about being a woman working in the mill?"
"JL:","No, I don’t think so. No, I don’t remember. We certainly weren’t making much money, but I don’t think the men were either, so. I mean, they weren’t know to, for paying an awful amount of money."
"AL:","Who were some of the people that you worked closely with over the years, do you, some of the supervisors or -?"
"GL:","Norm Lemay, in the lab."
"JL:","Well, no, I worked for Ray Bissonette for years, under Irwin Berg, which was the office manager. And I worked for Stanley Bubier for a number of years. And I don’t remember General Office, who was in charge. God, I think they’re all dead, except for Ray."
"AL:","And what year did you retire?"
"JL:","I don’t know. I was in my late fifties. I didn’t wait for retirement, I mean I didn’t wait for retirement age, I just retired."
"AL:","Probably the early eighties, does that sound about right?"
"GL:","Yes, yes."
"JL:","Could have been, yeah."
"GL:","Yes, because I think I retired in ‘89."
"JL:","It sounds about right, yes."
"AL:","Let me switch to you for a minute, Gerry. Could you tell me your date of birth and where and when you were born? 2"
"GL:","July 21st, 1926. I’m seventy-nine."
"AL:","And you were born where?"
