"person","text"
"(Interviewer:","Andrea L'Hommedieu) March 29, 2006 Andrea L'Hommedieu: This is an interview for the Mill Workers Oral History Project. The date is March 29th, 2006, and today I at the home of Ernest Lamontagne in Auburn, and this is Andrea L’Hommedieu. Could you start just by saying your full name? Ernest Lamontagne: Ernest Lamontagne."
"AL:","And where and when were you born?"
"EL:","In Canada, about thirty miles from Quebec."
"AL:","And what is your date of birth?"
"EL:","December 2nd, 1916. And that’s the day that I got off the train here in Lincoln Street, two years old."
"AL:","So your, you were born in Canada and your family, when you were two, decided to move to Maine?"
"EL:","Yeah."
"AL:","Do you know why?"
"EL:","Yes, he lost his job at the, what do you call that, where he was working for the war, for the, make shells. And my mother had an uncle here, and she wrote to find out if there was work, and he answered that, to come, there’ll be work and a rent, he’ll fix all that up. When we come in, we live on Ash Street, below the church there, St. Peter Church. And he didn’t live too long, in 19-, I don’t know when he died, I’m not sure about the year."
"AL:","We’re talking about your dad?"
"EL:","Yeah, he was sick, he work in the shoe shop, then my uncle was a wholesale fruit and vegetable, and beside that he got in real estate, so he got my father to work on real estate, which he work only a couple year, but made as good as in the shoe shop. And we had a car, for the real estate, and my mother said, you go and take people on Sunday and, on a farm, and they go there and just to pass their time, and I stay home. So he kind of choose the way that he would spend his Sunday. And we went to Canada, that was in 1924 I think he bought the car, and we went to a 45th anniversary of my grandfather, and two or three time we went to Canada. And one time, there for that anniversary, he bought some firecracker to celebrate, and during the night he have the firecrackers going, and people from out in the country, we were in the village, but, they came down, find out what was going on."
"AL:","So you got to know your relatives in Canada even though you moved to Maine. 1"
"EL:","Yes, I already, this year I spend a week in Canada. My son, he has a store, during the winter period there’s a slack time, so his wife went with the two kid to Florida, and he in his turn, he took me to Quebec and Montreal for a week. We left on Sunday, we came back on Friday. And we saw a lot of related that we used to visit when, when it was more, and during the summer, that was the first time in the winter. It was in the, they say that it’s not snowing in March, they pile the snow in Quebec up to the roof of like the second floor. They open to get in, and they throw the snow on the lawn, wherever the, it’s awful what they have. And in the street, they clean one side for a sidewalk, but the other side they pile up the snow, like when the plow goes, to the telephone pole there. It’s all piled up, and some places it goes up as high as the second floor. But it was nice, clean. The only thing, it was a little slippery. Like in Montreal, we went to the north part of Montreal and that was, you had rain or, melt the snow or whatever, it was slippery. Well, they clean the driveway, on the asphalt and, and I don’t remember seeing any sand like here. We had to watch where we were going."
"AL:","Now, how many children were there in your family, how many brothers and sisters did you have?"
"EL:","I better count. Two brothers and, yeah, two brother and two sister. There’s one at (unintelligible word) and one in California, and the brother, they passed away."
"AL:","So what was Lewiston like when you were growing up, in the ‘20s and the ‘30s? I mean in terms of what it’s like today?"
"EL:","I can’t, the teen years when I was young, I used to go and pass the paper, French paper. And I had my own customer. Not like now, that everything, with the Journal, everything goes to the Journal and they’re responsible. So I had to go from Lisbon Street where the paper was (unintelligible word), to almost the end of Park Street, maybe two or three paper I deliver that way, then I go way up on Blake Street and Pine, I deliver a few paper. And on Oak, I remember Oak and Blake, I had a customer that, I don’t think I had thirty customer, and I had to travel all that. One cent a paper."
"AL:","Was it Le Messager?"
"EL:","Yup, yup. I still have a bag to put the paper in, you know, when you put the paper and you go wherever you have a customer, and you take a paper from the bag, and it’s marked Le Messager. Sometime I’ll find a place to give it to."
"AL:","Now, you said your dad died fairly young?"
"EL:","Yeah."
"AL:","Were you still a child?"
"EL:","Nine years old. And I was the oldest."
"AL:","You were the oldest."
"EL:","Five kids, and I was the oldest."
"AL:","How did your mother manage?"
