"person","text"
"(Interviewer:","Andrea L 'Hommedieu) January 15, 2010 Andrea L'Hommedieu: This is an interview for the Shoe Workers Oral History Project at Museum L-A. The date is January 15th, 2010, this is Andrea L'Hommedieu, and today I'm interesting Roland Landry. Roland , could you start just by giving me your full name? Roland Landry: Roland Fernand Landry."
"AL:","And how do you spell the middle name?"
"RL:","F-E-R-N-A-N-0."
"AL:","And where and when were you born?"
"RL:","I was born August 21st, 1959 on Walnut Street in Lewiston, Maine."
"AL:","And did you grow up in that part of Lewiston?"
"RL:","Grew up actually Lisbon Street, way-way down, almost on the Lisbon border. My dad owned Landry's Barbecued Chicken, we were the first barbecued chicken restaurant in the entire area."
"AL:","Oh , that sounds wonderful. What were your parents' names?"
"RL:","My father's name was Fernand, like my middle name, and my mother's name was Miguelle (sounds like) , so they're very French."
"AL:","Were they both born and grew up here, or did they immigrate from somewhere else?"
"RL:","My mother's parents were from Canada, but my mother and father were both from Lewiston, so yes, they were both born in Lewiston ."
"AL:","And now, your father, was he a restauranteur his whole career?"
"RL:","Just about, just about. He went to Pratt Whitney Aircraft in Connecticut when he and my mother separated years ago, so he went to Connecticut. But then he got on to manage some Kentucky Fried Chicken stores over there, about fifteen of them, so he was back in the chicken business very quickly."
"AL:","So chicken was something he really enjoyed doing."
"RL:","Yes, that's probably why I love chicken so much."
"AL:","Now, it was called Landry's Barbecued Chicken?"
"RL:","Yeah, yeah, it's where the Black Stove Shop used to be, just until a year ago, by the church, that was a chicken coop, and we slaughtered our own chickens right there."
"AL:","So it was all done local, local and fresh."
"RL:","Yeah."
"AL:","And how many years was that, that he was in that business?"
"RL:","I had to have been five, and I'm fifty so it was forty-five years ago."
"AL:","And how many brothers and sisters did you have?"
"RL:","There's four Rs, Roland , Robert, Richard and Roger, all brothers."
"AL:","And did your mother work in the restaurant as well, or did she -?"
"RL:","Absolutely, then she worked in shoe shops throughout the area, throughout her career."
"AL:","So you were growing up in Lewiston in the sixties and seventies, what was it like then? As you see it now, what was it like then, what was it like as a child, growing up?"
"RL:","I thought it was a very exciting place to live. There was so much for kids to do . .. And I actually marched in a drum and bugle corps called Pine Tree Warriors that was located right on Lincoln Street here, and I did that for like twenty years, that kept me out of trouble. And to this day, I still love that type of thing so I hooked up with corps out of Boston and I march with them. But that was great for kids back then, there was all ~ kinds of things going on back then for kids. And the businesses were thriving. I ..- remember standing in front of the Bates Mill on Friday afternoons, waiting for my memere and pepere to get out. When they'd come out of there, there was thousands of people and you 'd just keep looking and looking and all of a sudden you'd see them, hey, memere. Then you 'd walk over to Kresge's on Lisbon Street and you had a fish dinner at lunch. So it was just exciting back then, I thought."
"AL:","And you could do a lot of walking through the town."
"RL:","It was all walking , all walking, which made it much more special. Now it's very fast-paced, there's a lot of, a lot of shopping, a lot of malls, that's about all I do."
"AL:","And so your memere and pepere both worked in the Bates Mill."
"RL:","All their lives, fifty-five, I think my grandfather hit sixty, sixty years in the mill."
"AL:","And what did they do in the mill, what were their jobs, do you remember or were you too young to -?"
"RL:","I think I was too young. She worked on the weaving something, or something to do with weaving , which I'm not too familiar on the mill part, and my grandfather ended being like a machinist, he was fixing all the looms and all that stuff so he was pretty active. They both started out working for like twenty cents an hour, and standing in line for bread, so they've seen it all."
"AL:","And so you grew up in Lewiston, and how did you come to work in the shoe industry, and at what age?"
"RL:","Well, when I was, I think I was thirteen, that's when my mother and father kind of split up, and I decided that I wanted to be with my father, because my father and I were pretty close, you know, I was with him all the time at the barbecue. So I decided to move to where he went after he left for Connecticut, because then he was really far away, he met a southerner and they moved down south to Alabama . So, you know, from Lewiston, Maine, spending a lot of time in Hartford , Connecticut with my dad, on weekends and coming back and this and that, to actually wanting to live in Alabama and go to school there. So I went to Alabama as a freshman , so I spent my freshman , sophomore and junior year there- they found out that I wanted to come home so bad . It was brutal down there, it was just miserably hot. We all want to get out of her during the winter, well I'll tell you, they want to get out of there in the summer. There was rattlesnakes in my front yard, there was fire ants that just eat you alive in seconds, there was flying cockroaches, forget it, I wanted to come home."
"AL:","Very different from Maine."
"RL:","So basically, I kind of just like got on a bus and ran away and came home, because my dad didn't want to let me go and I said, I'm leaving. So I finished my junior year in high school, straight-A student, left there, got on a bus, came home to Lewiston , Maine to live back with my mother. Immediately, within a week, I was looking for a job. • The first place I went to was Falcon Shoe, in 1977, I walked up four stories and I said, I'd really like to work. And to this day - she still works for us, by the way- Pat Lindholm I (sounds like) looked in my eyes and said, okay, I got something for you. Because at first she said , there's nothing, and I felt like crying. Because it was my first attempt to get a job. But when she seen me, that I really wanted to work, in my eyes, she brought me a little computer sewing machine, and I said yes, I want to do that. So the next day I started work here at Falcon Shoe, August 17th, 1977. And I made my piece work the first day on the job, which back then was unheard of. It would usually take a month or two months for somebody to get their speed up, so I made my piece work that first day and I just set my mark and I just sent the message that I wanted to be here, and thirty- three years later I'm still here and now I'm one of the owners. So it was quite a journey."
"AL:","Right, now it hasn't always been in this location , though , has it?"
"RL:","Always, always, I've been coming up these stairs, or that elevator, for thirty-three years, same floor. Of course we had fifth and sixth floor at one time. Like right now, we're getting rid of the fifth floor, we have space on the fifth floor we don't need no more, and we 've shrunken down a little bit on the fourth floor, but basically the fourth floor was always our (unintelligible)."
"AL:","Well coming up those stairs just has a special feeling to it. That's the first time I've come up that staircase. Very wide, and you can tell it was made for a lot of people to travel up and down."
"RL:","Thousands of people, yeah, thousands of people. And if you look at the stairs coming up, you 'll see it's actually worn down about an inch in the areas where people walk, it's all rounded just nicely. It looks really nice when it's finished instead of painted , but (name) likes to be able to sweep it pretty good so she's having them paint it. It's quite an historic building. Although we're one of the few tenants left and we're getting a little scared on space, so we're looking for new facilities now."
"AL:","So you started here in 1977. And so talk to me about your work here and how it progressed over time, and how you came to become a part owner."
