"person","text"
"(Interviewer:","Andrea L 'Hommedieu) April 2, 2008 Andrea L'Hommedieu : This is an interview for the Shoe Workers Oral History Project at the Museum L-A. The date is April 2nd , 2008 . I'm at the home of Rolande and Norm LeClair in Lewiston , Maine, and this is Andrea L'Hommedieu . First, I'd like to just have you say your name, your full name, and spell it for me. Rolande LeClair: Rolande LeClair, R-0-L-A-N-0-E capital L-E capital C-L-A-1-R."
"AL:","And Norm, could you give me your full name? Normand LeClair: Oh, absolutely. Normand J. LeClair, N-0-R-M-A-N-0, that's French, J for Joseph, LeClair, L-E capital C-L-A-1-R."
"AL:","And where and when were you born?"
"RL:","In Lewiston, in 1932."
"AL:","And did you grow up in Lewiston?"
"RL:","Yes, I did."
"AL:","What area of Lewiston?"
"RL:","Lincoln Street, that I remember way back when."
"AL:","And were your parents from Maine?"
"RL:","My mother was from Canada , and my dad was from Lewiston."
"AL:","And so were you a big family?"
"RL:","A family of seventeen living."
"AL:","Wow, that's a lot, and where did you fall within those siblings?"
"RL:","I was the firstborn ."
"AL:","Okay, do you still have lots of brothers and sisters in the area ."
"RL:","There's sixteen of us still here. We only lost one."
"AL:","Wow, what was it like growing up in such a big family? I come from a family of one brother, and so for me it's quite an experience to hear about this."
"RL:","Well, it was hard times, but being the eldest one, my mother stopped having children at forty six, so I stopped having children and she kept having children, so it's really strange."
"AL:","Right, wow, did you do a lot of family oriented things, because of the large family, in terms of social activities and -?"
"RL:","Well, we mainly did it amongst ourselves, you know, the family itself, no outsiders."
"AL:","And Norm, where did you grow up?"
"NL:","I grew up in Lewiston, born 1935, March 14th, goes way back. I, contrary to my wife, come from a very small family. I have one sister that's seventeen years younger than I am, and basically that's about as far as kinfolks, and born and raised here in Lewiston and proud of it."
"AL:","And what did your parents do for work? Were they from Lewiston?"
"NL:","Yes, they were both from Lewiston, and oddly enough back then, if your parents worked in a shoe shop, the odds were that you were going to work in a shoe shop, or in some cases it would be the mill. In my case it was a shoe factory, so consequently I went to high school and during high school I ended working at the shoe factory on a part time basis until I graduated. I worked in the factory after that for about seventeen years."
"AL:","Now, Rolande, when did you begin in the shoe factories? Was this before you married?"
"RL:","I was sixteen, I quit school to go work. Being the eldest, I had to go help, so, and then I got married at twenty-two, that's when I stopped working in a factory and I stayed home. I had a child then, so."
"AL:","Right, so for about six years, worked. Which shoe factory did you work in?"
"NL:","Wood & Smith, wasn 't it?"
"RL:","Before that it was -?"
"NL:","(Name) , no."
