"person","text"
"(Interviewer:","Andrea L'Hommedieu) January 25, 2006 Andrea L'Hommedieu: This is an interview with Fred Lebel for the Mill Workers Oral History Project on January 25th, the year 2006. This is Andrea L’Hommedieu and we’re at the Bates Mill store that is located on - Fred Lebel: Two Cedar Street is the address, in the Continental Mill complex."
"AL:","And tell me what year you started working in the mill?"
"FL:","At Bates, or mills in general?"
"AL:","Mills in general."
"FL:","Well, my first job was basically in this mill over here. I started working here in 1952, I believe. And I started to work with my father, who used, the maintenance department. From there I went into the quality control and IE work. And I did take about six or eight months to go to school in Memphis, Tennessee learning to class cotton, and when I graduated from there I was a qualified government grader and buyer. But when I came back to work for Bates I still stayed in the quality control and industrial engineering department. Continental went out of business in 1961. Basically I stayed, I was the last person with the mill to get rid of the equipment, and in June of ‘61 the mill closed and the week after I went to work for Bates, also in the industrial engineering department. At that time Bates had three mills. They had the Edwards at Augusta, they had the Hill Division and Bates in Lewiston. I was stationed at the Androscoggin headquarters, there was a portion on the side that was set aside for the treasurer and IE department and other departments, and from there I would travel the three mills, Augusta, or Hill or Bates. That was ‘61. In ‘63, I was assigned in charge of the IE at the Bates Division, and I believe in two years I became the general superintendent, and then another three or four months I became the manager. So by 1965 I was the manager of the Bates Division. I stayed on the job until, for I don’t know how many years, and I became the vice president of manufacturing, and eventually president, in probably 1988 or ‘89. That’s after the Chinese, the Tang brothers had purchased the mill, and I was associated with them. I also forgot to mention, I did leave Bates for one year in 1983. I had a problem with the president at that time, Bill Gleason, and I left to go to work for Guilford, up in Guilford, Maine. After a year, John Wahl, who was the chairman of the board of the, this, of Bates, called me and said he wanted to meet with me and they said they were not happy with what was going on at Bates and if I wanted to come back. Tom Levine came back, and I did to help him. The only reason I came back was because my parents were not feeling that well, and Bates, I mean not Bates but Guilford was so good to me and I, if my parents were okay I might have stayed at Guilford. But in any event, with my parents, I came back. But I was pleased to get back to the operation I knew well, and Tom Levine and I tried to get this place, to make it profitable. But it was so much in debt that it was almost impossible, it was just a matter of time that the mill would run out. 1 Now, it’s quite a few years, I might be off a year or two, and I believe it was early nineties or late eighties that the Chinese had stopped, they were not paying their bills and everything else, and the mill was going to close completely. I believe they owed the city three quarters of a million dollars in back taxes, that’s the Chinese, and other bills were mounting all over the place, and they were just stepping out of it. So I approached the city and I said, hey look, do you want me to continue the operation? I’ll do the best I can with it with limited resources that I have, and they finally agreed, by all means do it. There’s so many people still working, if you can keep it going we’re all for it. So that continued for a couple of years and we struggled somewhat to keep it going, because we just didn’t have the backing and financial to make it worthwhile, so in a couple years basically we did run out of money and basically we did file for bankruptcy. And one reason we did this is the city at that time had just announced they were going to make a convention center in mill number five, which was most of our operation. So our advisors, legal counsel, said you better go into bankruptcy because with the money that you owe now and it’s seen coming out in the paper, the banks I’m sure were going to force you to pay up, so we figured by filing we’d get some time that maybe we could recover. Then (unintelligible phrase) we didn’t, so the mill was out for sale and I believe it was 19-, the nineties anyway, they were sold to, the mill was sold to (name) Mills, and they had four American Heritage brands. Their intent was to have Bates, and they had their own company, it was also as old as ours, and they had another elderly mill in the south they were trying to get together. That in itself didn’t work out, so basically the mill was closed in 2002, or 2001, and then I started my own operation as a result of this. I just wanted to keep the Bates Division going, especially on the bedspreads that we were making, they were well known, and I felt if that would stop that would be the end of it. So I took a gamble and I started a small weaving operation that I have now at the Hill Division. We’re struggling, but we’re making progress. Right now we have six looms, and I believe this year will be a good year for us. I’m getting the jacquard heads going the way it should be, so we should be able to produce and deliver to our customers. So, actually this was started in, the first loom started in September of 2002, and we’ve completed three years. Now I have four jacquard heads going, I have a preparation department to make the warps, and a slasher for loom beams, so pretty independent now, so all we do is buy the yarns and we’re pretty well on our own. We have a small dye house and all, and our product is being well received and we think this year will be a decent year for us."
"AL:","Is it that it’s grown since 2002?"
"FL:","Yes, yes, we had to start from scratch, we had no equipment."
"AL:","Did you have people that were, had worked in the mills that you were able to keep?"
"FL:","I was very fortunate to keep some of the technical people that Bates had. People like Danny Fitzsimmons who’s a tremendous technician on looms and all equipment. I was able to, because my daughter had worked for Bates in the weave room as a clerical, and she also was in charge of the cut and sew operation at the end, so she came with me with a couple of the girls that had experience in the cut and sew operation. We also (unintelligible word) Ray Bilodeau to work in the dye house, so he came over with us. Dot, an excellent jacquard weaver, also is with us. So right now we have nine people. In addition to that, we also have Leonard for designing and all, and right now he just, he left last year, he was doing part work for me designing but last year he got a job in Brunswick in one of the industries in there, and I finally convinced him to come back so he’s going to be back with us starting in February. So now I have the people I wanted in place, like Leonard will be designing, and other work that I need with Danny and the other, so we’ll be about nine people basically, so I feel this should be a decent year for us, too."
"AL:","Now, you talked about the mills declining over the years in terms of production and number of 2 workers, but there also seems to be a continuing interest in this product. Can you talk a little bit about what you saw as some of the reasons for the, was it technology or, for the downsizing of the mills, or financial?"
