"person","text"
"(Interviewer:","Andrea L'Hommedieu) March 21, 2006 Andrea L'Hommedieu: This is an interview for the Mill Workers Oral History Project. The date is March 21st, 2006. Today I’m interviewing Blanche Legendre at her home on Sabattus Street in Lewiston, and this is Andrea L’Hommedieu. Could you start just by saying your full name? Blanche Legendre: Blanche Brochu Legendre."
"AL:","Legendre, okay. And where and when were you born?"
"BL:","I was born in Van Buren, Maine."
"AL:","And the birth date?"
"BL:","June 16, 1918."
"AL:","So did you grow up in Van Buren?"
"BL:","I left Van Buren when I was fourteen. We moved to Lewiston. We were eleven in the family."
"AL:","Eleven kids?"
"BL:","Eleven children, and Mom and Dad."
"AL:","And what were your parents’ names?"
"BL:","Dennis and Malvina Langlais. It’s L-A-N-G-L-A-I-S."
"AL:","And why did they come to Lewiston?"
"BL:","Well, there was nothing for a growing family up there. And I had a sister and a brother older than I was, so they decided to move here."
"AL:","Was it work related, were they able to find jobs here more easily?"
"BL:","Yes, oh yes."
"AL:","And what did they do for work?"
"BL:","Well, my older sister worked at the mill also, and also at Pepperell. (Telephone interruption.)"
"AL:","And so you said your sister worked in the Pepperell Mill, and then later at Bates? 1"
"BL:","Yes, later at Bates."
"AL:","What did she do in the mill?"
"BL:","She worked in the winding room, and then she, I don’t remember what other room she worked in. And my brother was a weaver at the Androscoggin Mill."
"AL:","And did he work there a long time?"
"BL:","Yeah. When he left there he worked for Central Maine Power."
"AL:","Now, when your parents moved here your mother was probably a homemaker, with eleven children."
"BL:","Yes."
"AL:","Did your dad find work here?"
"BL:","He was working at the mill also."
"AL:","The Bates Mill?"
"BL:","Yeah, well not the Bates, the Androscoggin."
"AL:","The Androscoggin. And what did he do there?"
"BL:","I really don’t remember."
"AL:","And so you were fourteen when you came to Lewiston. What was it like at that time, in terms of the way I see it today?"
"BL:","Well, coming from a small town it felt big. And, but I found work babysitting for, I don’t remember his name, I think it was a Mr. Lessard. And I babysat for them, and then when I got older, of course I cheated about my age, and he was a foreman at the mill and he kept telling me, get your birth certificate, and I waited until I was old enough to give him the birth certificate, and I worked summers in the Androscoggin Mill, in the winding room."
"AL:","At what age was that?"
"BL:","I must have been sixteen."
"AL:","And you were supposed to be eighteen, was that the rule?"
"BL:","I think then it was seventeen."
"AL:","So you worked in the winding room. What kind of work was that, what did you do?"
"BL:","We filled in the bobbins for the weave room. And my boss, well the overseer in the weave room was Mr. Fournier, and my boss was Philippon, Ralph Philippon."
"AL:","And how were they to work for?"
"BL:","Oh, they were wonderful. And then, and that was at Bates now, and then, then I had my daughter, 2 and then my husband went in the service. Well, I had my daughter and I stayed at home for four years, and when my husband was called in the service I went back to work. And I was working I think in the warp room they call it, but I didn’t stay there long, I signed up to work in the finishing room. And I used to push those big trucks with all the bedspreads on them, used to push them to the girls that wrapped them up. And then after that I signed up to work in the Bates Mill store, and I worked there for quite a few years. And then I had a chance to sign up for the sample department, and I worked in the sample department until I retired."
"AL:","So you were there about forty years?"
"BL:","Just, an average I guess."
"AL:","And you started in the late thirties, like 1936 or ‘37, does that sound right, in the summers?"
"BL:","Yeah, yeah."
"AL:","And looking back at that time and then through the years you worked there, did things change in the mills? What kind of changes were there?"
"BL:","Oh, there was a lot of changes. But all my bosses were very good. I had, I worked for Mert Parker, and I worked for Tom Connelly, I worked for Dick Ricker and Gus Mullen, and Jack Russell, you know, and they were all nice."
"AL:","Was there a certain job that you liked the best in the mill?"
