"person","text"
"(Interviewer:","Andrea L'Hommedieu) May 23, 2006 Andrea L'Hommedieu: This is an interview for the Mill Workers Oral History Project. The date is May 23rd, 2006, and this is Andrea L’Hommedieu, and today I’m at the mill conference room with Gerry Letourneau. And Gerry, could you start just by saying your full name? Germain Letourneau: Germain Mario Letourneau."
"AL:","And when were your born?"
"GL:","I was born in East Albany, Vermont."
"AL:","And the date?"
"GL:","9/14/31"
"AL:","And did you grow up in Vermont?"
"GL:","No, I lived in Vermont about six years, then we came to Lewiston."
"AL:","And what were your parents’ names?"
"GL:","Letourneau, (name) and Eugene."
"AL:","And what did they do for work when you were growing up?"
"GL:","My mother was a housekeeper, my dad worked at the Androscoggin Mill."
"AL:","So your father had worked at the Androscoggin Mill, and what did he do there?"
"GL:","He was a cleaner, loom cleaner. When he left there, he went into mechanics, on automobiles, for more money."
"AL:","And so when you moved to Lewiston, what part of Lewiston did you live in? 1"
"GL:","One hundred and eight Knox. The building is gone now, right on the corner of Knox and, I guess it’s called Locust Street or, I’m not sure."
"AL:","So you were fairly near the mill."
"GL:","Very near, very near."
"AL:","And were there lots of families living in that area, when you did?"
"GL:","Oh yes, all French families, some, a few Polish people. But they all worked in the mill. In fact, the people upstairs on the fourth floor, their name was Poisson, and come to find out years later, Poisson was working for me at the Hill Mill. He was part of the family."
"AL:","And there were a lot bigger families then, weren’t there?"
"GL:","Oh yeah, much bigger. My family, we were twelve."
"AL:","Twelve, ten kids and the parents, or twelve kids?"
"GL:","Oh no, twelve kids. Twelve kids. I had eight sisters and three brothers."
"AL:","And where did you fall in the line of the children."
"GL:","I was the first boy in the family, after six girls. I was spoiled."
"AL:","What was it like growing up in such a big family?"
"GL:","Well, it was difficult at times, and we always had enough to eat and a place to sleep, nice and warm, we went to school at St. Peter’s School. I graduated from St. Peter’s School in 1945, then I went to St. Dom’s for two years, and then I gave up going to school, I was working."
"AL:","Was your first job in the mill?"
"GL:","Oh, no, I worked as a dishwasher. I don’t know if you remember Tanguay’s Drug & Sundry on the corner of Blake and Sabattus, was owned by Raymond and Rosaire Boulet. They had a candy shop. I’d stop in there and wash pots and pans when I was in the seventh and eighth grade. From there I got a job three hours a day at Jimmy’s Diner. That’s where I began my cooking career, so-called, and I stayed there for a long while. And like I said, Ray (name), which is a friend of Rachel, he went to work for Friend’s Restaurant on Walnut Street, and they were doing catering, banquets and stuff 2 like that, and while I was still working at Jimmy’s, in fact I was the youngest cook ever at Jimmy’s, I was seventeen years old, I was running the second shift. Ray called me, he said, Gerry, come on down here, Mrs. Nadeau will pay you more money and you can work with me, so I went there. Now, I’m seventeen, and when I got to be eighteen I wanted to go in the mill because that’s where the money was. I had three sisters that worked at the Hill Mill. Well, they finally got me in. I started at the Hill Mill in November of 1949."
"AL:","At that time did you, was it important that you knew somebody already working in the mill?"
"GL:","It helped, it helped. It helped. It’s always a little chiseling there, you know."
"AL:","And what did your sisters do in the mill?"
"GL:","They were spooler tenders. Mary was a spinner, (name) and Yvette were spooler tenders. And Marybelle wasn’t there yet, she came after me."
"AL:","And so, what was your first job in the mill?"
"GL:","I was a general hand. In other words, you were, replaced someone if someone was out on a mediocre job. Lowest paid thing there was. I can’t remember what, I think I was getting sixty-eight cents an hour. It was a lot of money, gee."
"AL:","So how long did you work that position?"
"GL:","Oh, maybe three or four months. Then I went, I got a job, because you had to bid for jobs, they were union, partial union at the time. And I got yarn man, then I went as a beam doffer in the warpers, I learned how to run the warpers. But I was always very nosy, and I learned a lot more. I learned how to spool, I learned how to twist, I learned how to, you name it, I was into everything, best I could. And that’s how I became the supervisor. My overseer, which was Ovide Charest, his son is still alive, lives on the Hotel Road, he was more or less the man that brought me up. So I became a supervisor in 1956. I was a second hand on the third shift. That was the beginning of my textile career."
"AL:","And so talk about the years that you were supervisor, and the different mills. You worked at three different mills over your career, right?"
