"person","text"
"(Interviewer:","Andrea L'Hommedieu) March 31, 2006 Andrea L'Hommedieu: This is an interview for the Mill Workers Oral History Project. The date is March 31st, 2006, and I’m here at the Muskie Archives at Bates College with Tom LeVeen, and this is Andrea L’Hommedieu. Could I just start by asking you to say your full name and spell the last name? Tom LeVeen: Yes, Thomas Upton LeVeen, last name is spelled L-E-capital V-E-E-N."
"AL:","And what is your date of birth?"
"TL:","4/17/47"
"AL:","And where were you born?"
"TL:","Worcester, Mass."
"AL:","Is that where you grew up?"
"TL:","Yes."
"AL:","What was Worcester, Mass. like in the ‘50s and ‘60s when you were growing up?"
"TL:","Well, it was a city that was beginning its long slide into decline. It was a heavy manufacturing city, there were foundries and all sorts of heavy manufacturing there that was starting to suffer, I mean, the old Pullman railroad cars were made there. I think in those days, the ‘50s, it probably had a population of 220,000, and I think today it’s probably under 180,000. So it was like a lot of New England cities. I grew up actually outside of Worcester, in a small town, but most activity centered around the city."
"AL:","And what did your parents do for work?"
"TL:","My father owned an operated a company called Carlton Woolen Mills that was headquartered in the town of Rochdale, Massachusetts, which is about six or seven miles west of Worcester. And my mother was a homemaker. 1"
"AL:","And how many brothers and sisters did you have?"
"TL:","I have three brothers."
"AL:","So you were four boys."
"TL:","Four boys."
"AL:","And so, how did your father deal with the Depression years, does he ever talk about that?"
"TL:","He was just starting in business at that time. He had just gotten out of, graduated from college, and my grandfather had a company that sold woollen fabric, and one of his source of supply in which he had an interest went out of business during the Depression, and my grandfather decided to buy a mill called Carlton. It was owned by a fellow by the name of E. G. Carlton, and they made white flannel for men’s slacks and spats. The product that my grandfather had been, my grandfather’s company was started right around the turn of the century, and he sold a product called under collar fabric, which is a product that went under the collars of men’s jackets. And it was a very specialized market, and he considered himself the under collar cloth king. But the mill was in 1934, that they purchased, was, to quote my father, should have been opened as a museum rather than a mill, meaning he had equipment that went back to 1880. And he said that one of the happiest days in his life was when they went out and they bought some new carding equipment that was made in 1915. He said, in one fell swoop I had just become twenty-five to thirty years more modern."
"AL:","So when he owned the company, did he continue to modernize the equipment over the years?"
