"person","text"
"(Interviewer:","Andrea L'Hommedieu) February 1, 2006 Andrea L'Hommedieu: This is an interview for the Mill Workers Oral History project. The date is February 1st, 2006. Today I’m interviewing William Bud Lewis at his home in Auburn, Maine, and this is Andrea L’Hommedieu. I’d like to start just by asking you to give me your full name and your date of birth. William Lewis: Okay, my name is William B. Lewis, I was born on February 19th, 1919, which makes me almost eighty seven."
"AL:","And where were you born?"
"WL:","Portland."
"AL:","And did you grow up in that area?"
"WL:","Yes."
"AL:","What was Portland like in the twenties and thirties?"
"WL:","Oh, it was great. It was, actually it was a run down city. It was an old seaport, and it was going through hard times. A lot of fishing, but a lot of poor people, and it was not a thriving city. It was of course the largest city in Maine, and for that reason all of the goods and materials that come into Maine went through Portland. And it was a banking center and mercantile center."
"AL:","And what was it like in terms of neighborhoods and growing up with other kids?"
"WL:","Well, I was right in the west end, right in the middle of Portland, and walked to school, it wasn’t a very far walk, you know, three or four, five blocks. And it was fine, it was great. Automobiles were just coming in, there were cars around, we had a car, but there were horses as well. And many of the things that came to our house, like the milk, would come horse and wagon. Coal, we had coal furnace and that was delivered by truck but, and that was only delivered once a year. It was quite nice, but it was poverty stricken, there were a lot of poor people in Maine. And of course during the Depression that got quite bad."
"AL:","Do you remember any examples that you saw during the Depression years that stick out in your mind?"
"WL:","Nothing particular. There were soup kitchens and that sort of thing, but my family did all right, and the people I knew did. I mean, I didn’t know any different and it was just, the Depression was normal. I mean that we grew up in the Depression and it was kind of normal. But things that my generation learned during the Depression stick with us today, and we’re very saving, we don’t throw, the throw away society is hard on us because we don’t throw things away. And we’re accused by our children of, you know, being too saving."
"AL:","And what was your father’s occupation?"
"WL:","He was a banker. 1"
"AL:","And was your mother a homemaker?"
"WL:","She was a homemaker. Women didn’t work in those days very much. Some women worked in the factories, and in the sardine plants. And from my house I could hear the sardine sirens blowing when the boats came in, and the siren, when the boat, sardine boats came in they’d blow this siren which could be heard all over that part of Portland, and the people who worked in the sardine packing plants would hear the sirens and go to work and pack the sardines. That was probably one of the bigger businesses in Portland at the time."
"AL:","Now, what brought you to the Lewiston-Auburn area?"
"WL:","Well, there’s a long, long story and I won’t go into it too, in too much details. I went to college and was an engineer, mechanical engineer, and I studied internal combustion engines. So in 1939, between my junior and senior years at college, I went to work for Pratt & Whitney Aircraft in their experimental department, and when I graduated they wanted me back, so I went back to Pratt & Whitney and I worked there until 19-, all through 1948. But my parents were living in Portland and wanted me to be near them, so my father said, you’ve got to come up and interview fora job in Maine, if you’d like it, you know, we’d like it, to have you move back. So I interviewed with a man named Robert Braun who was the chairman of the board of Bates Manufacturing. Bates Manufacturing had been incorporated in 1945, after a very tough period of time when textile mills – you’re going to edit all of this, I assume, so –"
"AL:","If there’s any publication, yeah."
"WL:","Yeah, I mean, this, my, my speaking is just for your purposes, right, okay. During the war, textile mills were (unintelligible word) flourish, they boom, they make millions, because they’re making uniforms, tent materials, parachute cloth. So all the mills get into a war effort and they really boom. But after the wars, when times are tough and the country is trying to recover, the mills have a really tough time. And they were on the verge of going out of the business during the Depression. Well, one of the biggest customers of the Central Maine Power Company at the time were textile mills and other mills in the state of Maine. And Central Maine had kind of a vested interest because they were selling the mills an awful lot of electricity, because the mills after the war were running more and more on electricity. And it was so crucial, and they were the biggest customers of the Central Maine system, but also the workers. And textiles is a very labor intensive business, so there were thousands of employees. It’s ironic to me that in the Bates Mill today they have almost as many employees as they did when it was a textile mill. We didn’t think we’d ever see that again. But Androscoggin, Bates, and Hill in the one chain of mills, there were the others, the Libbys and the Continentals, but I’m talking Androscoggin, Bates and Hill, along with a mill in Saco, the York Mill, and the Edwards Mill in Augusta that were independent cotton mills. And Central Maine Power was sort of working for all of them, they were doing the accounting, the purchasing, and they were doing it all from Augusta right out of the Central Maine headquarters. Well, Securities and Exchange Commission said, you can’t do this any more, you’ve got to decide whether you want to be an electric utility or a manufacturing company, so you’ve got to split up. So Central Maine Power sold five cotton mills, the Androscoggin, Bates and Hill in Lewiston, the York in Saco, and the Edwards in Augusta, they sold them to this newly formed company called Bates Manufacturing Company, Inc. They took the Bates Mill name, and then they had the Androscoggin Division, the Hill Division, the Edwards Division, the York Division, along with the Bates Division. But it was Bates Manufacturing Company, Inc. 2 And so they separated from Central Maine Power, they began to have their own offices. And Robert Braun, of Porteous, Mitchell & Braun, was the first chairman of the board, and Herman Ruhm was the president, he came from sales, he was in Bates Fabrics before, that was the selling house for these mills in New York. And a man named Fred Scribner, a lawyer in Portland, became the treasurer. And it was all Maine management, and it thrived from 1945 until 1956, and got bigger and better every year because the boom times were coming, you see, and they put all the money that was made right back into the mill. So they did a lot of modernizing from 1945 up through the early part of the 1950s, a seven or eight year period. And somewhere during that time, into the, maybe into the fifties, there was a man named Lester Martin who owned a company known as Consolidated Textile in the South, and he’d made an awful lot of money with his textile mills in the South. And he saw Bates, and he saw how well it was doing, so he started buying stock. And to make a long story short, in an unfriendly battle, he took, he bought enough stock, he eventually in 1956 got up to fifty two percent of the Bates Manufacturing stock. So the whole original Bates Manufacturing Company, Inc. board of directors, even into the plant managers, some of them, they all left in 1956 and it became, it was the same company but a new, out of state management. And of course there are a lot of different opinions on this, but the general Maine opinion was, and this take over was fought desperately by Lewiston politicians, but they couldn’t stop it. They tried, they did everything they could to stop this man from taking control of the company, but he got control. They left, and the mills continued. But the prophecies were correct. He didn’t want to run it to keep it running; he wanted to run it to make money. And so from 1956 until 2000, that’s a long time, forty four years, Bates went downhill because, although they did put some money into it, they didn’t put a tremendous amount of money, and so we began to lose our position as a leading cotton textile mill. Our bedspreads weren’t the only thing. Originally there were sheets and blankets, and probably one of the most important, ladies dress fabrics. And Bates in the early fifties, very early fifties, developed something they called disciplined fabric. Fred Lebel may have told you about all of this."
"AL:","No."
"WL:","But, well he wasn’t even working for Bates at the time, he was working at Continental Mill. And Bates Manufacturing Company, Inc. had a big research and development department, which was located in the Androscoggin Mill, with a lot of chemistry people, Ph.D.s in textile chemistry. And they developed this disciplined fabric, which was wrinkle proof, that was the principal thing about it. But it ultimately became stain resistant and wrinkle proof, and shrink resistant. Many mills had what they called sanforizing. Sanforizing was primarily a process which prevented shrinkage. Cotton fabric will shrink, and it was a terrible thing, you know, you buy something and it shrinks, and you expected it to shrink. And in those days, if you were going to go buy undergarments or close fitting garments, you would always buy something a little on the large side of what you really needed, knowing that it was going to shrink. Well anyway, disciplined fabric came along and was an overwhelming success. It was used on, one of the big customers were Arrow Shirts, which you probably never heard of, but they were big in that, and Manhattan Shirts. And the biggest one of all was the Hill Mill which made shirting goods. Textile mills make all kinds of fabrics, you know, heavy fabrics and light fabrics, and that’s just in cotton. You can get into wool, and you can get into other types of, lots of types of wool. But I’m talking mainly cotton, because Bates was always a cotton mill, never anything else, never a woollen mill. But they did get into blends, cotton and polyester blends. And the disciplined fabric came along, and then after that we developed other fabric treatments, complex chemical treatments with cross linking fibers to prevent shrinkage and to make them, if you put press in them then press will stay and they wouldn’t wrinkle, so Bates became quite a plant and quite a business. 3 And each division, each of the five divisions was making over a million dollars a year, that as a corporation was the largest company in the state of Maine, on employees, with somewhere in the neighborhood of six or seven thousand employees, around twelve hundred in each plant, and the greatest profits. And this was from ‘45 through ‘55, in that general area. And then things started to turn. Now, I don’t want to keep going on one vein and talk your ear off, so I’ll stop at that point and you can ask me other questions."
"AL:","Well, you, over the years you saw a lot of different presidents at Bates. Can you talk about them in order, if you can remember them in order?"
