"person","text"
"(Interviewer:","Andrea L'Hommedieu) March 1, 2006 Andrea L'Hommedieu: This is an interview for the Mill Workers Oral History project. The date is March 1st, 2006. Today I’m interviewing Helen Little at her home on Pierce Street in Lewiston, Maine, and this is Andrea L’Hommedieu. Could you start just by telling me your full name? Helen Little: Helen Rita Little. Do you want my family name as well? Helen Rita, well, Mary Ann Helen Rita Grondin Little."
"AL:","And where were you born?"
"HL:","I was born here in Lewiston. We lived on Park Street at the time. I was born at St. Mary’s Hospital in Lewiston."
"AL:","And what’s your birth date?"
"HL:","My birthday is 8/1/20, August 1st."
"AL:","And did you have brothers and sisters growing up?"
"HL:","I had one brother, he was a year and a half younger than I was, and one sister, she was four years younger than I was. His name was Maurice, and my sister’s name was Dorothy."
"AL:","And you mentioned that your mom worked in the mill."
"HL:","She worked at the Androscoggin Mill for twenty-five years. And she had started weaving first of all, and her legs were bad, you know, and she had to be on her feet. So she had to give that up, and she trained to be a drawing-in hand, it was a sit down job, they put a whole big warp and they had these little, like a crochet thing, and they pulled thread which made a pattern, and then they’d take it to the weave room to weave that pattern into cloth, you know. And during the war they were working on nylon parachutes, over at Androscoggin, so they had a lot of work, they could do a lot of overtime then. And if you were fast, naturally you made more money. It was on piecework. And she was fast."
"AL:","So, and what did your father do?"
"HL:","My father was a laborer, and he worked for Lewiston Crushed Stone Company, and my uncle was part owner with Mesere Therio (Monsieur Theriault?), of Lewiston Crushed Stone. So that was his job."
"AL:","And you grew up in Lewiston, and what was Lewiston like in the years that you were growing up? In terms of what did you do socially and church functions?"
"HL:","Socially, oh we had all kinds of church functions, and school as well, you know. And then we had a little club that we called Le Foyer Musicale Cadet for the younger generation. It was overseen by the older members, you know, and we, the club rooms were at corner of Chestnut and Lisbon, upstairs, I think it was the third floor. And we had meetings, and we had outings, and it was nice, you know. And we had plays at school, things to keep us going. 1 And of course in those days you walked, no matter where you went. We didn’t have a car, we couldn’t afford a car, so you walked. Well, it wasn’t bad when I walked to St. Peter’s School, and I was there ten years because the nuns taught two years of high school in those days. They called that l’ecole superior, and I went through ten years. And of course there was more French than English in those days, but we had an English teacher who was an Irish nun, Dominican nun, and she suggested that we speak English during recess time, and asked our parents if we could speak English with our brothers and sisters to get used to conversing in English. And of course my mother approved of that, because my mother was a schoolteacher in Canada before the family came here, she taught school for seven years. So we had a French newspaper at the, le Messager, but we still had the Sun-Journal, too, so we had the two papers. My mother was up on things, she liked to learn her English and all, and she became a citizen. So did my father."
"AL:","So they had, both were born in Canada and came here?"
"HL:","They were both born in Canada, and the two families came to Lewiston on the same train. They just, and they were on neighboring farms in Canada, so they just pulled up stakes and came to Lewiston. And of course the train went through Allen Pond, Vermont then, that’s how the train came this way. And of course then it was the Grand Trunk Railroad on Lincoln Street where they, yeah. And my father’s family settled in Auburn on Fourth Street, and my mother’s family settled in Lewiston on Park Street, next to the City Hall. That building is still there."
"AL:","Did they ever talk about why they decided to come to the United States?"
"HL:","They were scratching for a living. Very poor. You know, my father’s family, they had nineteen kids. My mother’s family, they had six. But, you know, that’s what they were looking for, come up here and work in the mills, that’s what they were doing then, you know. And some of them would come by wagon even. In the summer time, my mother said, some of them would come up to Augusta."
"AL:","So when your father came here, did the whole, all the nineteen kids come with him, or -?"
"HL:","No, some had died, you know, but, and of course in those days it wasn’t farming here that they thought of, it was the mill and shoe shops. My father went into the shoe shops, and my mother went into the mill. And my father didn’t like the shoe shop, he liked to be outdoors. That’s why he worked for the Lewiston Crushed Stone, he was outdoors. He felt just like he was, wasn’t breathing if he wasn’t outdoors, you know. But when he was in Canada, he and his father, they used to build churches and schools and they were away all week, you know, in the city like Quebec and so on. And that’s about fifty miles from where they lived in St. Victor, that was the name of the town where they lived. So he, they weren’t really farmers, you know what I mean?"
"AL:","Did you know your grandparents at all?"
"HL:","Yes, I didn’t meet my maternal grandfather. When he got here he had a stroke and he died. But I knew my maternal grandmother. She died, I was thirteen, and we had gone to Canada to see her. She stayed in Canada. And my grandfather and grandmother Grondin lived right here next to that funeral home on the corner of Pierce there? The next building, that was theirs. So we were just like a block away. Oh yeah, I used to go there for lunch if my mother was working, and my grandmother would say, well, what do you want for lunch tomorrow, you know. So it was fun."
"AL:","So what was Lisbon Street like when you were growing up? It was very different from today?"
"HL:","Oh, I loved it, especially as I got older. They had everything on Lisbon Street. We had a drug store, Rivard’s Drug Store, and then we had another one, another drug store, Pharmacie Nationale, down at that end. And then they had Senter’s, this was a department store, they had Benoit’s, they had 2 LeBlanc’s, they had B. Peck’s, they had Ward’s. We could, you know, and then there was a cross the street Reed & Hughs, they had all these stores, everything was available right there. And I used to go when, there was a butter, egg and cheese store at the head of the street, on Lisbon Street, and I’d go on the weekend and buy what we needed, cheese and butter and so on, because I was the oldest of the three so I was running the errands. And then F. X. Marcotte, on the corner of Lincoln, they used to sell tea by the pound, mixed tea, you know? And I used to go every so often and get two pounds of tea, and they’d give you coupons and you could get kids stuff, you know, like my brother had gotten a little wagon, I’d gotten a baby carriage and a doll, you know, stuff like that. So I was running the errands. And then later on I was going to the bank to pay for the mortgage, too, every month. It was kind of fun. I enjoyed it."
"AL:","Now, what age were you when you started at the mill?"
"HL:","At the mill? First of all, I was almost sixteen and they hired me at the Androscoggin that summer, I had two years of high school then. So that summer I worked at the Androscoggin on second shift, three thirty to twelve, my girlfriend and I. We were in the winding room on the top floor. Very hot. And the winders, it was like a skein yarn, and it would unwind and make bobbins, and there was so much a case we got. We were on piecework, too. Oh, I had those things rolling, let me tell you. And then as soon as everything was good, we’d go and stick our necks out the window to get some air, and we’d turn around and watch. If there was one stopping, we’d go an wind it and start it again, you know. So I was making eighteen dollars a week, which was pretty good. This was 1936. And my mother said, well, maybe you should stay here and, you know, you can get up to twenty-one dollars. That looked pretty good for the oldest one, you know, earning. I said, Mom, I want my diploma from high school, I got to have that. Otherwise I’m going to stay in the mill all my life like you’re doing, you know, and I don’t want to do that. So, okay. And I was taking piano lessons, so she said, well, we really can’t afford to do everything. Drop the piano lessons. Okay, drop the piano lessons. I had two dresses. One was one piece, the other was a two piece, skirt and top, which I, you know, because at St. Peter’s we didn’t have no problem, we had a smock, a black smock and a white collar, so we could wear anything underneath. But once you get to high school, you got to dress up a little. That’s all I had for those two years. But I made it."
"AL:","And so what did you do after high school?"
"HL:","After high school? Well, I had to take a commercial course because there was no such thing as scholarships that I knew of, you know. And I really would have liked to go into nursing, but the second choice was commercial, so I did that. And they called me, they had a job opening in the finance company, because I was an honor student, my picture appeared in the paper, they knew I spoke French and English, they offered me a job. So I thought, well, okay, so I took that job. I kept it until I got married, six years. So we went through everything there. They gave us a cashier course because we were handling money all the time, you know, and all that. So I really enjoyed that. And at the end, the last year, somebody, by then we were at war, you know, somebody in Bath, the secretary quit because they used to go into the Bath Iron Works and make more money in the office there, so the supervisor from Portland, his name was Kelber, Mr. Kelber, wanted me to go work for the manager at the Bath office. Well, I wasn’t too keen on traveling, because right away it was seven, you know, putting on more hours and I was getting the same pay. So I had to go, so I went up and the manager was Larry Raymond, I used to work with him in the Lewiston office, and he’d moved to Brunswick and he was managing the Bath office. So I worked, oh, about six months there. And I was getting married, I’d met my husband a couple years before, and we did it by correspondence mostly because he was in the Navy. And so I said to Mr. Kelber, I’m getting married on October 7th, you’d better get yourself another secretary so I can train her. He said, well, don’t have 3 anyone. They had put ads in the paper and all that. I says, all right, I’ve got one for you. He says, what? My sister graduated from high school in June, I’ll train her for two weeks and she can do this. That’s what happened. I trained her and she took my job."
"AL:","That worked out."
"HL:","It worked out good, yeah, and she stayed a couple years and then she got tired of traveling, because that adds on more hours, you know, to your day and your week, when you’re traveling back and forth. And if you don’t have a car, and I didn’t, you have to wait for the bus. Oh, that was for the birds. I’d never get home until seven o’clock at night, you know, where I used to get home right after five o’clock. So anyway, that’s what happened to that."
"AL:","And so you got married."
"HL:","Yeah."
"AL:","And then how did you come to work in the mill, is that the next job you took?"
