"person","text"
"(Interviewer:","Andrea L 'Hommedieu) September 5, 2009 Andrea L'Hommedieu: This is an interview for the Shoe Workers Oral History Project at Museum L-A The date is September 5, 2008. I'm here at Montello Heights in Lewiston, Maine, with Irene Madore, and this is Andrea L'Hommedieu . Could you start by giving me your full name, including your maiden name?"
"IM:","Irene Y. Bilodeau, my maiden name, Madore."
"AL:","And did you grow up in Lewiston?"
"IM:","Oh yes, I lived right here on Montello. For fifty-three years I lived here. I saw this built, when they were building it."
"AL:","And what's your birth date?"
"IM:","March 6, 1923, and I grew up over here and I went to Holy Family School , and then I went one year in high school, and I start working because my mother was alone, for me and my brother, so I went to work at sixteen, and I worked at the Maine Shoe for a long time. I learned a lot of jobs over there. Then it got slow at the Maine Shoe, there wasn 't enough, things didn't look good, so I went to Clark Shoe and I got a job there. That's where I married, I worked for my boss, I married him, and I worked there for a couple, three years, then we got married and I stopped working, because I was having my kids, you know, for five years. And then I went back for a little while, and then I heard about Falcon Shoe coming to Lewiston, and where I was working at Belgrade, before that, well when I quit at Clark I went to Belgrade Shoe, and it was quite a ways, you know, for the winter, to travel about seven miles, way up on Old Hotel Road . So I heard about Falcon shoe and I went and I got the job. I started with them , in '63 they opened up, and it was about the month of November when I worked there, but they weren't in full operation til after January 1st, but I helped to line up my packing room, finishing room and packing , because that's where I always worked."
"AL:","What was finishing and packing? What was it that you did?"
"IM:","Well, we finish the shoes when they came out of the lasting room . From the lasting room , they came out to me, last pullers, and I had girls who were cleaning the shoes, putting a dressing on it. First of all they put a sock line inside, you know, it was a process of finishing and making them look good. I had somebody to put a spray over them , shine them up. After that, well we had the repairers who touched up here and there, that was done along the way, and then I had some girls to pack them, pair them up and put them in the boxes."
"AL:","Now, starting at age sixteen, was that legal then to work?"
"IM:","Oh yes, oh yes. I was working for twenty-five cents an hour until the NRA came in. We had the NRA parade, and I remember looking by the windows, we could see them parade on Court Street. And they passed the law of seventy-five cents for minimum. And gradually it went up, you know, but working for twenty five cents an hour, you know, it didn't give me my twelve-fifty. But in those days, in 1940, 1942, it was a lot of money for us. My mother worked at the mill and she only made fourteen- fifty a week. I had to go help her, and I learned every job along the way. From two, three different shoe factories, I learned different jobs, and when I went to Clark, I knew every job in the finishing and packing. But he needed a packer, so that's where I learned how to pair up the shoes, match them up, size them and pack them."
"AL:","Did you make different kinds of shoes at different places?"
"IM:","Oh, yes."
"AL:","What kinds of different shoes did you make?"
"IM:","Well at Clark Shoe, it was a novelty shoe. It was all sandals, and we made zebra, satin, leather, patent leather, all kinds of different sandals we made over there. They were beautiful shoes. When I was at Maine Shoe, we made nurses shoes, and regular lacing shoes. Different places had different style of shoes. When I went to Falcon, they were making, well they started on men's shoes that they brought in from Brockton, when Ted came, and he was with Bruce Hanley and they opened up Falcon Shoe on the fourth floor. So there wasn't many people, there was only one cutter and four, five stitchers, and they were starting to learn how to put them on the lath, how to make the shoes. But by January it started in full production. I got a little more people. new a lot of people in Lewiston and Auburn, having worked for so many years, that I brought in a lot of people to get things rolling . And gradually we had a second line, so they made the men's shoes and we made the child ren's shoes. So I ended up that by the time I retired, I had about forty, forty-five people working, I had two lines and, you know."
"AL:","Did the different shoe shops have reputations in terms of one being better to work for then another?"
"IM:","Yes, I know, different places is right. They're very tough to work for. But Falcon Shoe came in and started, and from the beginning they were wonderful. They were good to the people and they paid well. Of course we didn't have the union, and they didn't want that, so they always paid a little better than the union would allow the other. So they were very, very nice people to work for. I really enjoyed there, I worked their for twenty years and it was great, it was very nice."
"AL:","Did you make friends with and socialize with other people that you worked with at the shoe shops?"
"IM:","Oh yes, oh yes, you mean at Falcon Shoe?"
"AL:","Or whatever shoe place. I just wondered if your coworkers were also your friends outside of work."
"IM:","Well, you can 't please them all, so there was always little bit, a little if's in there, you know. But at Falcons, a good worker would last quite a while. And really, the young girls that had never worked before, well they didn't stay very long. But we managed to get good help. We had very good help and they were steady, you could depend on them , you know. And as the years went on, we had a dinner meeting at Falcon Shoe, and we had share of profit, every meeting we had a share of the three months, you know, and very good bonuses, very well paid . I have no complaints, I really enjoyed working at Falcon . It was the best place to work, really."
"AL:","And you said your husband was also in the shoe - ."
