"person","text"
"(Interviewer:","Andrea L 'Hommedieu) February 11 , 2009 BRICK WORKERS ORAL HISTORY PROJECT LEWISTON-AUBURN, MAINE Andrea L'Hommedieu: This is an interview for the Brickyard Workers Oral History Project at the Museum L-A. The date is February 11th, 2009, and I'm at the home of Joe Mailey in Auburn, Maine, and this is Andrea L'Hommedieu. Joe, could you just start by giving me your full name? Joe Mailey: It's Joseph Mailey."
"AL:","And where and when were you born? JM : I was born in Brunswick, Maine in 1964."
"AL:","And did you grow up in Brunswick? JM : No, I grew up mostly in Lewiston-Auburn."
"AL:","And what were your parents' names?"
"JM:","Hester and Duke (sounds like) Mailey."
"AL:","And how many children were there in your family, growing up?"
"JM:","We had a family of four."
"AL:","So two kids and the parents, or four kids?"
"JM:","Four kids in all, yeah."
"AL:","Okay. So what part of Lewiston-Auburn did you live in?"
"JM:","I lived on Bearce Street, which is right down the street from here, when I was a little kid, and then I lived on Knox Street for a few years, in my teen years, and then we moved back to Auburn right across the street Seal's Laundry, in a building that's no longer there, and then I stayed in Auburn from then."
"AL:","What was Auburn and Lewiston like when you were growing up? That would have been the sixties and seventies."
"JM:","Well, mostly the seventies. Geez, what was it like."
"AL:","In terms of what you see today, how was it different?"
"JM:","Well, it was definitely a lot less crime ridden . I mean it was still, Lewiston was still rough, but it was different, it was a different kind of rough . I mean, you had to go looking for trouble a lot of times. Nowadays, you don't even have to go looking for it, it finds you. As far as Auburn, Auburn is still Auburn, it's quiet for the most part and, you know."
"AL:","Were you in a neighborhood with lots of kids around?"
"JM:","Yeah, yeah, we used to play down at Webster School a lot. My mom, she was always good about letting us stay out, especially in the summer time, so we used to play basketball and foot-, kickball, that was big back then, dodge ball, God forbid. I think there's a lot of scarred kids now because of dodge ball. But yeah, we played, we rode our bikes around. But most of us generally stayed right in the neighborhood where we were brought up, so."
"AL:","And what did your parents do for work?"
"JM:","My mom worked at local heel shops, and my, well actually it was my stepfather, and he was a welder and he worked at various places."
"AL:","In the community at that time, did you, well, did religion play a big part in growing up?"
"JM:","No, no."
"AL:","So it was the social aspect that you can't do today, just sort of run around in the neighborhood and be with your friends that's not the same. JM : It's not the same. I mean even with my son, when my son was fourteen I asked him, he was complaining to me one day on how he was bored, and I said well why don't you and your friends go out and build a cabin. And he looked at me like I was a space man or something, he said a cabin, what's a cabin? You know, they don't, you know, they just don't do that stuff any more. I'd buy him a bike, and he didn't even want to ride that around, he's just happy playing video games and being on the computer and stuff."
"AL:","I'm interested to know if during your growing up, the downtown Lewiston area was still vibrant, or had that moved away?"
"JM:","No, no, I remember, geez, I remember Kresge's and the, I can't remember the name of the hardware store that's in the, where the, I think it's the courthouse now. Is that the same building? I can't remember, I think it is. But anyway, geez, that was a busy place. Because that was before the malls, or, yeah, Zayre's mall was there, Bradley's mall was there, but there was still a lot of downtown, you know, I remember all the stores down there. It was different."
"AL:","Was Peck's still there?"
"JM:","Yes. No. No, Peck's was empty that far, as far as I can remember back, Peck's was empty."
"AL:","Now, at what age did you start working in the brickyards, or how did that come to be?"
"JM:","Well, I'd been working, I was working, geez, I remember when I was six years old, I was living over Bisson's Market in Lewiston, on Lisbon Street, and I wanted to make chocolate. He used to have these big chunks of chocolate, and in order to get the big chunks of chocolate I had to shovel the porch, there was a community porch on the building upstairs, and he told me, he said, you shovel that and I'll give you chocolate. I always had chocolate in the winter time. I was, I would help the next door neighbor, he was a, him and his wife owned a couple of apartment buildings and I would help them paint, or what I thought was helping, you know, how much of a help can a six, seven year old be, but-"
"AL:","Oh, that young."
"JM:","Oh yeah, oh yeah, I mean I was, when I was six years old I was playing on Lisbon Street around where the drunks were, around the bars, because that was back when the bars were, there was a, that strip was nothing but barrooms, and I was down in there. But then, you know, as I got a little bit older, I started carrying newspapers, and then when I turned fifteen I really wanted a ""job"" job, so I went to work at mom and dad's carwash, I did that for one winter, and then I started working at the Sun-Journal, in the mailroom."
"AL:","Well, where did you get your work ethic? All these jobs at such a young age. Was it part of, come out of your family, or?"
"JM:","No, no, I think it was, well yeah, it was a result of my family. It was, I wanted to be out of the house as much as possible. It was a working class family that had a lot of issues, social issues, and I just wanted to be away from that. So I chose to work. But I did, I think I learned a lot from my mom, though, in that, geez, I remember her going to, she'd go to work at the heel shop sicker than a dog, because she was worried for her job, you know, she was always saying, you know, got to be there every day, got to make the boss happy and, you know, so I picked up a lot of that ethic. But not all of it, because now I'm, if I'm sick, I don't work, you know, I'm different in that way. But anyway, I worked at the Sun-Journal, and then when I turned eighteen I needed full time employment, they didn't have any at the time, so I wound up going to Enterprise Foundry, over on South Avenue, and I talked to the gentleman- well first I had filled out some applications in all the mills, and to this day I'll never forget it, I went into Libby Mill and the woman told me, after interviewing me, she said, well I'm sorry, but I just don't think you're mill material. And to this day, almost thirty years later, I'm not quite sure what she meant, but in a way I'm kind of, if I ever got to meet her I think I'd have to thank her. Because from what I, as I grew, I found that once you get in that mill environment it was very difficult to get out."
"AL:","Did you have friends that worked at the mill?"
"JM:","No, no, I didn't know anybody that worked in the mills. At that time, the biggest places to go to work was like Clark Shoe, and a lot of the people were working up at like DeCosta's and things like that. I didn't really know that many people that were really into full time real employment yet. But then when I went down to Enterprise Foundry, I was in that Catch-22 deal in the sense that, well you don't have the experience, and I told the guy, I mean, I'm only eighteen years old, well if I can't work, how do I get the experience, to get the experience to come to work for you? So, but he brought me on, and it was back breaking work."
