"person","text"
"(Interviewer:","Andrea L'Hommedieu) October 21 , 2009 Andrea L'Hommedieu: This is an interview for the Shoe Workers Oral History Project at the Museum L-A. The date is October 21st, 2009, and I'm here with Roland Martel. And could you start just by giving me your full name, and spelling it?"
"RM:","R-0-L-A-N-D, middle initial 0 , last name is M-A-R-T-E-L."
"AL:","Where and when were you born?"
"RM:","I was born in Lewiston, Maine, in 1930."
"AL:","And did you grow up in Lewiston?"
"RM:","I grew up all my life in Lewiston, yes. I went to school in New York for a couple of years, but most of my time, and time in the service, but everything else was spent in Lewiston."
"AL:","And what were your parents' names?"
"RM:","My father's name was Antoine Martel. My mother's name was Dorothy Coulombe. She was a Coulombe. My father was from Canada, my mother was from the northern part of Maine."
"AL:","Aroostook County?"
"RM:","Aroostook County, yeah, Fort Kent and that area."
"AL:","Right."
"RM:","And they moved down here, migrated down here, and all my siblings were born here in Lewiston , and we've lived here all our lives."
"AL:","Your father came from Canada as a young man, or a child?"
"RM:","As a child , I believe. I don't have too many memories of my father."
"AL:","And he met your mother."
"RM:","He met my mother, my mother was a mill worker, he was a shoe shop worker, and my mother was a mill worker."
"AL:","So your father worked in the shoe shops."
"RM:","He worked in the shoe shops."
"AL:","And your mother worked in the mills in Lewiston."
"RM:","In the mill in Lewiston, yes."
"AL:","What mill did she work in?"
"RM:","Oh , god , that's a long time ago. I don't know. They all migrated here, lived in Canada, so they worked in the mills around Little Canada."
"AL:","So you grew up in the Little Canada area?"
"RM:","No, I didn't grow up there, no. By the time I came and lived in Lewiston , I was born on Farwell Street."
"AL:","And how many brothers and sisters did you have?"
"RM:","I had a brother and four sisters. Now, my brother has passed on, two of my sisters passed on , so I still have two sisters."
"AL:","And have they lived in this area too, or spread out?"
"RM:","Yes, they've lived in this area all their lives, until recently. One of my sisters had to move to New Hampshire, because their children live there. It was just recently, within a year."
"AL:","So what was it like to grow up in Lewiston, well, in the forties mostly?"
"RM:","In the forties mostly, yeah . It was okay. I mean you 're a kid, you don't know what's going on. I mean , it was fun . I worked as a bellhop at the DeWitt Hotel in those days."
"AL:","At which hotel?"
"RM:","DeWitt, over at Pine and Park Street, I was a bellhop there, and that was a lot of fun ."
"AL:","Were there a lot of kids in the neighborhood?"
"RM:","Oh yeah, there was a lot of French kids. We lived downtown , so there was a lot of kids in the neighborhood. And I went to St. Peter's school, primary school , and St. Dam's."
"AL:","What did you do after school for fun? What sorts of things was it, just outside, playing sports?"
"RM:","Outside, playing games, stuff like that. Then I was kind of, I liked different activities. Bits in plays, shows, kept busy."
"AL:","And so you went through school, and then went to work in the shoe shops."
"RM:","In 1951 I started, in 1950 I believe, yeah, I started to work in the shoe shop. And in '52 I went in the service, '54 I went back, I went back to my job, and I worked there until 1969. And for health reasons, I had to leave the shoe shop."
"AL:","Which shoe shops did you work at? RM : I worked at Shapiro Brothers, the one and only."
"AL:","The one and only."
"RM:","Yeah, I was there for almost twenty years."
"AL:","And what did you do there?"
