"person","text"
"(Interviewer:","Andrea L'Hommedieu) January 17, 2009 Andrea L'Hommedieu: This is an interview for the Shoe Workers Oral History Project at Museum L-A. The date is January 17, 2009, and I'm at the home of Bert, can you pronounce your last name?"
"BM:","Mathieu."
"AL:","Mathieu, yes, in Lewiston, Maine, and this is Andrea L'Hommedieu, and this is an oral history for Museum L-A. Bert, could you just start by giving me your full name?"
"BM:","My full name is Bertrand David Mathieu."
"AL:","Where and when were you born?"
"BM:","I was born in 1922 on Reservoir Avenue in Lewiston."
"AL:","And that is not too far from here."
"BM:","I can see my home, where I was born, from here, about six hundred feet away."
"AL:","And we are on Webster Street right now."
"BM:","Yes, we're on 391 Webster Street."
"AL:","So, is this where you grew up, in the house on Reservoir?"
"BM:","All but five years when I was in the military."
"AL:","Talk to me about your family, and how many children were there?"
"BM:","Well, we were five children, two boys and three girls. The girls are all passed away. My brother still survives. He is fifteen years younger than I am . My parents both died at the age of eight-five, so I guess longevity is in my life. They all graduated high school, all but me. I quit school when I was fourteen years of age, and I went to work in the shoe industry at that time, which was 1936. My first job was at where the Barker Arms is today, in Auburn. It was Venus Shoe and Lawn Shoe, were there. I worked in both. Then when Lawn Shoe moved to where the barn is today, in Auburn, then I was put on a machine for the first time, because I was sixteen years of age then."
"AL:","You had to be sixteen to be on a machine? BM : To be on a machine you had to be sixteen years of age. And when I started, at the age of fourteen at Venus, I was making a lot of money, fifteen cents an hour."
"AL:","And what were you doing for work?"
"BM:","Working all over the floor, chasing around for different shoes, parts of shoes or whatever. If I saw a machinist working somewhere on a machine, I'd sneak up and watch him to try and learn the trade, which I did. And in 1939 I joined the Maine National Guards who, in 1941 we were called into active duty, Maine Guards. We went to Camp Blanding in Jacksonville, Florida, from there we went to Camp Shelby, Mississippi. From there I got transferred out to Camp Maxey, Texas to the 32nd Calvary Reconnaisance Squadron, which is where I finished my four and a half years there. Last week actually was an anniversary, in a way. Sixty-four years ago we were in the Battle of the Bulge, January 1st of 1945, is when General Patton came up and freed us troops, and we went back to Paris. That was my last day of combat, January 1, 1945. Good way to start the year. From there we went to Camp Lucky Strike in LaHavre, France, where we went on to a troop ship, came home, and we got discharged on points, although the war was still going on. From there I went back to the shoe district, on my old job, but they made me a foreman, which was big money then, a dollar twenty-five cents and hour."
"AL:","Was this at Lawn Shoe?"
"BM:","Lawn Shoe, yes. While there, a company from Waltham, Mass, approached me. They wanted me to go on the road for them, as a salesman and instructor. Compo Shoe Machinery is where I worked for forty-two years. I was the district manager for the state of Maine. I had fourteen men under my wing. Silverstien Shoe Machinery, and all the factories in the state, which at that time was one hundred eighty-three shoe factories. They depleted pretty fast."
"AL:","So, there were one hundred and eighty-three."
"BM:","When I started in 1947, yes. They went down very fast. And then from there, of course I got my, 1946, had two girls, they're both nurses, their pictures are there. My first wife, of fifty one years, passed away in 1997. I remarried a young lady from across the street, who was a widow. That lasted about six years. She too passed away. She passed away in 2004. But my career has been the shoe industry. But from 1949 until I turned eighty, I also repaired televisions on the side. That was, paid the girls' schooling. Other than that, there's not much else to say."
"AL:","Well tell me about your, you went to war, and you came back, and you became a foreman . How did you become a foreman so quickly?"
"BM:","He was watching me going around . If an operator's machine would break down , I would go to the operator and fix it for him. And they noticed that I was operating all the machines as I fixed them . So they said, well heck, if I can operate them, then I can also teach. And th is is how the company from Waltham came to hire me. The name of the company was Compo Shoe Machinery, from Waltham, Mass."
"AL:","And would you go around to all the different shoe shops to fix things?"
"BM:","In the state of Maine, yes. I was put in charge of the Maine office, which actually was right off Canal Street, in the Hill Building. There's a little building in the courtyard there, right in from of where Museum L-A used to be, upstairs. That little building there, if you see pictures there, you 'll see my sign , Compo Shoe Machinery, in the pictures at Museum L-A, I've seen it there. That was a pretty good job. I had fourteen men reporting to me. Some lived in Kennebunkport, one lived in Sanford, one in Winterport, one in Belfast, one in Old Town . These men all reported to me by phone."
"AL:","So they were distributed around the state geographically."
"BM:","Yeah , and they would report to me. And the manufacturers would call them, but if they couldn't be satisfied from their work, then they would call me, then I would shoot it up and see if I could work with them. It was my job to train. Some of them taught me a lot, I learned from them . But it was a good career. A lot of people used to turn their nose down at the shoe industry. They called it the, as low as you could go, actually. To me, it was good. I had no education. I quit school, started the eighth grade, that was it. Never graduated . My education's been that big dictionary right there. Every time I'd hear a word I would look it up. And also, listening to people speak. This company I worked for had the best chemists in the world, because in the shoe industry there are a lot of toxic chemicals. And these chem ists would come down to help with problems, and I'd be right with them. I would ask them questions, they gave me the answers I wanted, so I learned. Mechanics is the same way. The electricians, in time I became a licenced electrician , because of their help, which was good. Of course, I built my first home because of the knowledge I had, down the road . And I built this one in '62 , where I am today. And also, in the chair where you are now sitting, in the evenings, there's another young lady that sits there. She's quite a bit older than you, but a bit younger than I, and we get along famously together. We love to sing and dance, and music. So I've had a good career, a good life. I married two beautiful women, beautiful inside and out, and this young lady I'm with now is the same way. And I'll be eighty-seven in two weeks. As I say, I've had a terrific life. My health is good. I have two steel knees and a steel shoulder, but other than that, it's okay. The steel knees dance well, that's all that matters."
"Al:","Tell me how the downturn in the shoe industry affected your job."
